	reads.in	reads.out
SRR5514924_1.fq.gz	978413	920491
SRR5514925_1.fq.gz	503172	452448
SRR5514926_1.fq.gz	8252	7824
SRR5514927_1.fq.gz	1076514	979647
SRR5514928_1.fq.gz	784230	716866
SRR5514929_1.fq.gz	894588	837387
SRR5514930_1.fq.gz	7348	6774
SRR5514931_1.fq.gz	1013009	947319
SRR5514932_1.fq.gz	702027	667753
SRR5514933_1.fq.gz	792844	762065
SRR5514934_1.fq.gz	665769	635574
SRR5514935_1.fq.gz	549392	522756
SRR5514936_1.fq.gz	721229	671131
SRR5514937_1.fq.gz	901224	851292
SRR5514938_1.fq.gz	742737	667983
SRR5514939_1.fq.gz	695522	654375
SRR5514940_1.fq.gz	668617	623189
SRR5514941_1.fq.gz	596180	557889
SRR5514942_1.fq.gz	783648	733317
SRR5514943_1.fq.gz	730228	675314
SRR5514944_1.fq.gz	738616	687093
SRR5514945_1.fq.gz	959038	892138
SRR5514946_1.fq.gz	751873	700867
SRR5514947_1.fq.gz	636664	592188
SRR5514948_1.fq.gz	717740	666652
SRR5514949_1.fq.gz	534243	475971
SRR5514950_1.fq.gz	710395	662726
SRR5514951_1.fq.gz	927769	858456
SRR5514952_1.fq.gz	591788	548605
SRR5514953_1.fq.gz	569552	538417
SRR5514954_1.fq.gz	922744	867171
SRR5514955_1.fq.gz	741880	706002
SRR5514956_1.fq.gz	653737	621631
SRR5514957_1.fq.gz	616145	557214
SRR5514958_1.fq.gz	791122	708199
SRR5514959_1.fq.gz	782938	697384
SRR5514960_1.fq.gz	641993	581391
SRR5514961_1.fq.gz	577694	524303
SRR5514962_1.fq.gz	573319	524071
SRR5514963_1.fq.gz	521833	469761
SRR5514964_1.fq.gz	551171	494622
SRR5514965_1.fq.gz	867804	780441
SRR5514966_1.fq.gz	1286836	1160702
SRR5514967_1.fq.gz	867284	768842
SRR5514968_1.fq.gz	459424	409725
SRR5514969_1.fq.gz	433805	389233
SRR5514970_1.fq.gz	561375	530210
SRR5514971_1.fq.gz	505348	451112
SRR5514972_1.fq.gz	719227	660031
SRR5514973_1.fq.gz	1037759	994647
SRR5514974_1.fq.gz	645669	613403
SRR5514975_1.fq.gz	699949	663974
SRR5514976_1.fq.gz	988443	956711
SRR5514977_1.fq.gz	656704	628343
SRR5514978_1.fq.gz	790296	737573
SRR5514979_1.fq.gz	737570	690248
SRR5514980_1.fq.gz	670964	626779
SRR5514981_1.fq.gz	680880	634215
SRR5514982_1.fq.gz	718363	642812
SRR5514983_1.fq.gz	660163	614035
SRR5514984_1.fq.gz	1027049	959609
SRR5514985_1.fq.gz	879818	795403
SRR5514986_1.fq.gz	862943	832607
SRR5514987_1.fq.gz	633231	598313
SRR5514988_1.fq.gz	825448	743831
SRR5514989_1.fq.gz	641788	575247
SRR5514990_1.fq.gz	463223	418430
SRR5514991_1.fq.gz	620433	555694
SRR5514992_1.fq.gz	353221	316124
SRR5514993_1.fq.gz	1009453	910850
SRR5514994_1.fq.gz	539815	488493
SRR5514995_1.fq.gz	593042	528978
SRR5514996_1.fq.gz	654854	585557
SRR5514997_1.fq.gz	476957	430014
SRR5514998_1.fq.gz	1285297	1167781
SRR5514999_1.fq.gz	594783	532470
SRR5515000_1.fq.gz	836527	751931
SRR5515001_1.fq.gz	946920	888735
SRR5515002_1.fq.gz	986152	932794
SRR5515003_1.fq.gz	1043516	985710
SRR5515004_1.fq.gz	421285	374039
SRR5515005_1.fq.gz	638396	601582
SRR5515006_1.fq.gz	640567	599846
SRR5515007_1.fq.gz	632092	597047
SRR5515008_1.fq.gz	596595	583934
SRR5515009_1.fq.gz	670840	650647
SRR5515010_1.fq.gz	721299	677325
SRR5515011_1.fq.gz	754782	710309
SRR5515012_1.fq.gz	637554	592874
SRR5515013_1.fq.gz	843672	790618
SRR5515014_1.fq.gz	1157100	1086063
SRR5515015_1.fq.gz	1104212	1037981
SRR5515016_1.fq.gz	846077	791986
SRR5515017_1.fq.gz	615272	574977
SRR5515018_1.fq.gz	682837	636088
SRR5515019_1.fq.gz	942852	854250
SRR5515020_1.fq.gz	797308	736117
SRR5515021_1.fq.gz	778209	728922
SRR5515022_1.fq.gz	606352	564863
SRR5515023_1.fq.gz	566407	543170
SRR5515024_1.fq.gz	267344	239960
SRR5515025_1.fq.gz	723611	688303
