	Var1	Freq
1	31	1
2	40	2
3	57	2
4	60	4
5	61	1
6	64	2
7	65	3
8	66	2
9	67	2
10	68	1
11	69	4
12	70	9
13	71	6
14	72	7
15	73	14
16	74	6
17	75	8
18	76	11
19	77	18
20	78	15
21	79	25
22	80	27
23	81	20
24	82	18
25	83	22
26	84	34
27	85	27
28	86	34
29	87	47
30	88	44
31	89	45
32	90	46
33	91	43
34	92	53
35	93	63
36	94	67
37	95	50
38	96	66
39	97	57
40	98	74
41	99	90
42	100	90
43	101	87
44	102	87
45	103	91
46	104	96
47	105	82
48	106	90
49	107	81
50	108	96
51	109	86
52	110	100
53	111	80
54	112	96
55	113	91
56	114	100
57	115	97
58	116	108
59	117	99
60	118	99
61	119	102
62	120	113
63	121	100
64	122	102
65	123	106
66	124	101
67	125	126
68	126	92
69	127	101
70	128	95
71	129	102
72	130	122
73	131	99
74	132	109
75	133	102
76	134	97
77	135	116
78	136	108
79	137	101
80	138	104
81	139	97
82	140	102
83	141	86
84	142	105
85	143	105
86	144	109
87	145	102
88	146	94
89	147	95
90	148	97
91	149	103
92	150	82
93	151	80
94	152	88
95	153	77
96	154	85
97	155	80
98	156	77
99	157	72
100	158	64
101	159	78
102	160	73
103	161	73
104	162	74
105	163	63
106	164	88
107	165	79
108	166	68
109	167	68
110	168	52
111	169	72
112	170	63
113	171	61
114	172	65
115	173	65
116	174	62
117	175	52
118	176	52
119	177	58
120	178	56
121	179	58
122	180	49
123	181	48
124	182	46
125	183	56
126	184	48
127	185	60
128	186	40
129	187	40
130	188	46
131	189	39
132	190	42
133	191	37
134	192	38
135	193	36
136	194	42
137	195	52
138	196	36
139	197	33
140	198	30
141	199	33
142	200	39
143	201	28
144	202	36
145	203	33
146	204	30
147	205	28
148	206	30
149	207	30
150	208	31
151	209	25
152	210	25
153	211	29
154	212	33
155	213	24
156	214	14
157	215	19
158	216	20
159	217	15
160	218	25
161	219	23
162	220	18
163	221	12
164	222	26
165	223	21
166	224	19
167	225	25
168	226	20
169	227	20
170	228	17
171	229	21
172	230	22
173	231	21
174	232	24
175	233	12
176	234	15
177	235	16
178	236	20
179	237	9
180	238	22
181	239	15
182	240	24
183	241	13
184	242	15
185	243	16
186	244	15
187	245	52
188	246	24
189	247	5
190	248	1
191	249	14
192	250	3332
193	251	181
194	252	120
195	253	117
196	254	123
197	255	116
198	256	101
199	257	138
200	258	97
201	259	155
202	260	137
203	261	90
204	262	99
205	263	138
206	264	390
207	265	368
208	266	160
209	267	181
210	268	297
211	269	393
212	270	175
213	271	125
214	272	282
215	273	482
216	274	875
217	275	555
218	276	1023
219	277	426
220	278	1312
221	279	1358
222	280	1199
223	281	718
224	282	2190
225	283	2204
226	284	657
227	285	798
228	286	983
229	287	327
230	288	1150
231	289	1365
232	290	494
233	291	283
234	292	123
235	293	231
236	294	400
237	295	785
238	296	939
239	297	547
240	298	303
241	299	2339
242	300	225
243	301	90
244	302	75
245	303	380
246	304	665
247	305	2739
248	306	14285
249	307	6719
250	308	1515
251	309	94
252	310	64
253	311	38
254	312	44
255	313	34
256	314	34
257	315	35
258	316	32
259	317	38
260	318	27
261	319	33
262	320	30
263	321	33
264	322	1677
265	323	444
266	324	41479
267	325	242722
268	326	9054
269	327	525
270	328	123
271	329	89
272	330	57
273	331	43
274	332	30
275	333	29
276	334	33
277	335	17
278	336	17
279	337	28
280	338	25
281	339	21
282	340	29
283	341	27
284	342	19
285	343	29
286	344	21
287	345	28
288	346	22
289	347	22
290	348	31
291	349	28
292	350	21
293	351	38
294	352	13
295	353	47
296	354	23
297	355	23
298	356	30
299	357	37
300	358	35
301	359	27
302	360	24
303	361	23
304	362	22
305	363	24
306	364	25
307	365	33
308	366	20
309	367	30
310	368	20
311	369	16
312	370	21
313	371	16
314	372	10
315	373	16
316	374	21
317	375	18
318	376	24
319	377	24
320	378	16
321	379	20
322	380	26
323	381	23
324	382	16
325	383	31
326	384	24
327	385	21
328	386	25
329	387	19
330	388	18
331	389	29
332	390	18
333	391	12
334	392	15
335	393	24
336	394	14
337	395	20
338	396	16
339	397	13
340	398	19
341	399	18
342	400	22
343	401	24
344	402	18
345	403	26
346	404	29
347	405	21
348	406	17
349	407	21
350	408	14
351	409	17
352	410	23
353	411	22
354	412	14
355	413	15
356	414	18
357	415	11
358	416	17
359	417	18
360	418	26
361	419	13
362	420	10
363	421	13
364	422	23
365	423	25
366	424	20
367	425	18
368	426	20
369	427	17
370	428	14
371	429	15
372	430	15
373	431	22
374	432	14
375	433	17
376	434	18
377	435	14
378	436	22
379	437	20
380	438	9
381	439	15
382	440	20
383	441	16
384	442	15
385	443	16
386	444	19
387	445	19
388	446	4
389	447	16
390	448	15
391	449	11
392	450	16
393	451	21
394	452	17
395	453	17
396	454	10
397	455	19
398	456	11
399	457	17
400	458	12
401	459	13
402	460	27
403	461	21
404	462	24
405	463	15
406	464	13
407	465	12
408	466	18
409	467	12
410	468	12
411	469	20
412	470	17
413	471	12
414	472	11
415	473	14
416	474	24
417	475	14
418	476	10
419	477	13
420	478	19
421	479	12
422	480	14
423	481	14
424	482	16
425	483	21
