	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR5514924	978413	920491	858075	847014	530593	266245
SRR5514925	503172	452448	410885	407013	344450	141343
SRR5514926	8252	7824	4000	4069	2416	2195
SRR5514927	1076514	979647	925291	927971	656111	319457
SRR5514928	784230	716866	689805	689811	451317	193330
SRR5514929	894588	837387	776590	775197	531227	277511
SRR5514930	7348	6774	4585	4245	2819	2439
SRR5514931	1013009	947319	882947	875299	603838	318518
SRR5514932	702027	667753	598077	590425	291320	145997
SRR5514933	792844	762065	645268	642882	365255	194219
SRR5514934	665769	635574	556770	560547	323843	151107
SRR5514935	549392	522756	448945	458342	264478	111277
SRR5514936	721229	671131	642365	643392	436298	209048
SRR5514937	901224	851292	804752	791766	594461	259901
SRR5514938	742737	667983	616610	613109	518373	239584
SRR5514939	695522	654375	614306	605899	418402	184607
SRR5514940	668617	623189	606159	603463	419694	175922
SRR5514941	596180	557889	532229	529970	356752	176209
SRR5514942	783648	733317	700580	692555	511334	260642
SRR5514943	730228	675314	645668	636603	492441	234568
SRR5514944	738616	687093	647678	647696	421723	225670
SRR5514945	959038	892138	858437	849455	588834	235413
SRR5514946	751873	700867	667235	655308	484218	265856
SRR5514947	636664	592188	558605	550509	384786	198020
SRR5514948	717740	666652	646032	644796	417962	160531
SRR5514949	534243	475971	429383	429006	365627	207260
SRR5514950	710395	662726	635319	627632	485593	224444
SRR5514951	927769	858456	805853	799711	554184	290864
SRR5514952	591788	548605	529925	526795	409358	165027
SRR5514953	569552	538417	397437	400351	169400	91743
SRR5514954	922744	867171	798129	810427	495560	188167
SRR5514955	741880	706002	615878	615317	391847	189622
SRR5514956	653737	621631	575638	575648	310938	150856
SRR5514957	616145	557214	504551	507360	331159	186631
SRR5514958	791122	708199	653417	656945	531166	311773
SRR5514959	782938	697384	648967	648348	527966	321231
SRR5514960	641993	581391	521716	513689	440452	247247
SRR5514961	577694	524303	473746	478064	386229	260359
SRR5514962	573319	524071	457989	459827	379087	224194
SRR5514963	521833	469761	439503	436011	362471	157782
SRR5514964	551171	494622	431743	423517	361380	194305
SRR5514965	867804	780441	736435	736867	610558	374261
SRR5514966	1286836	1160702	1063886	1062341	809883	448881
SRR5514967	867284	768842	713833	718338	590984	350528
SRR5514968	459424	409725	378677	379654	296530	148630
SRR5514969	433805	389233	366092	365174	320526	87965
SRR5514970	561375	530210	457020	441667	353289	119494
SRR5514971	505348	451112	430016	428934	330786	98692
SRR5514972	719227	660031	601413	595152	337833	211425
SRR5514973	1037759	994647	865281	896872	566043	173461
SRR5514974	645669	613403	567050	568814	371156	172269
SRR5514975	699949	663974	579474	585943	364173	168830
SRR5514976	988443	956711	762784	766750	268800	178827
SRR5514977	656704	628343	566889	569916	347016	158113
SRR5514978	790296	737573	701809	700120	485848	258784
SRR5514979	737570	690248	662316	657012	475460	234946
SRR5514980	670964	626779	601342	599414	406465	177753
SRR5514981	680880	634215	611209	603020	405120	213635
SRR5514982	718363	642812	573182	570133	488306	275496
SRR5514983	660163	614035	593529	591007	405424	177837
SRR5514984	1027049	959609	910861	896033	639043	271687
SRR5514985	879818	795403	766469	762303	540071	235943
SRR5514986	862943	832607	747960	750042	422523	208840
SRR5514987	633231	598313	554552	556391	374034	144506
SRR5514988	825448	743831	690987	685898	578388	266776
SRR5514989	641788	575247	525295	527210	429153	275780
SRR5514990	463223	418430	390075	384426	318431	147761
SRR5514991	620433	555694	482802	472003	405682	215827
SRR5514992	353221	316124	284428	284071	240823	149794
SRR5514993	1009453	910850	848207	848853	663780	400967
SRR5514994	539815	488493	429172	418710	349527	184301
SRR5514995	593042	528978	481570	481022	412378	175186
SRR5514996	654854	585557	544350	546945	443599	277947
SRR5514997	476957	430014	374052	380286	293032	206365
SRR5514998	1285297	1167781	1089021	1093154	857146	482380
SRR5514999	594783	532470	494303	492341	383910	137454
SRR5515000	836527	751931	691791	696858	540328	338519
SRR5515001	946920	888735	834673	824299	513806	278562
SRR5515002	986152	932794	870831	860902	572656	288895
SRR5515003	1043516	985710	917585	908696	553610	256998
SRR5515004	421285	374039	343108	347612	308163	118279
SRR5515005	638396	601582	538354	507541	424510	233394
SRR5515006	640567	599846	582902	581901	316240	143342
SRR5515007	632092	597047	565314	565038	390959	167334
SRR5515008	596595	583934	463023	466333	204656	94682
SRR5515009	670840	650647	554994	559885	301723	125629
SRR5515010	721299	677325	658912	653553	469025	167737
SRR5515011	754782	710309	682847	678086	502463	193780
SRR5515012	637554	592874	567546	559743	441372	224225
SRR5515013	843672	790618	759217	749190	551391	228588
SRR5515014	1157100	1086063	1011655	997881	660235	295431
SRR5515015	1104212	1037981	965709	960431	644342	310878
SRR5515016	846077	791986	756901	757282	501443	249574
SRR5515017	615272	574977	552925	549332	384451	177299
SRR5515018	682837	636088	612447	605717	460460	182720
SRR5515019	942852	854250	815983	812671	658466	235515
SRR5515020	797308	736117	703487	702297	513839	267556
SRR5515021	778209	728922	674923	666188	498948	182356
SRR5515022	606352	564863	545942	543101	371406	148934
SRR5515023	566407	543170	483668	486023	249271	121310
SRR5515024	267344	239960	223669	223207	148889	74637
SRR5515025	723611	688303	619859	615331	338144	168514
