ASV_ID	100_S103_L001	102_S105_L001	103_S106_L001	104_S107_L001	105_S108_L001	107_S110_L001	110_S113_L001	111_S114_L001	112_S115_L001	113_S116_L001	114_S117_L001	115_S118_L001	119_S123_L001	120_S124_L001	121_S125_L001	122_S126_L001	123_S127_L001	1257_S110_L001	1264_S117_L001	1265_S118_L001	127_S131_L001	1272_S125_L001	1273_S126_L001	128_S132_L001	1280_S133_L001	1288_S141_L001	129_S133_L001	1296_S149_L001	130_S134_L001	1304_S157_L001	1312_S165_L001	1317_S170_L001	1320_S173_L001	1325_S178_L001	1328_S181_L001	1336_S189_L001	135_S139_L001	136_S140_L001	137_S141_L001	141_S145_L001	143_S147_L001	144_S148_L001	149_S153_L001	15_S16_L001	150_S154_L001	151_S155_L001	152_S156_L001	153_S157_L001	154_S158_L001	156_S161_L001	157_S162_L001	158_S163_L001	159_S164_L001	161_S166_L001	167_S172_L001	169_S174_L001	175_S180_L001	176_S181_L001	177_S182_L001	180_S185_L001	182_S187_L001	184_S189_L001	185_S190_L001	187_S192_L001	22_S23_L001	23_S24_L001	284_S97_L001	285_S98_L001	286_S99_L001	289_S102_L001	290_S103_L001	291_S104_L001	292_S105_L001	293_S106_L001	294_S107_L001	295_S108_L001	297_S110_L001	298_S111_L001	299_S112_L001	30_S31_L001	300_S113_L001	301_S114_L001	302_S115_L001	305_S118_L001	306_S119_L001	308_S121_L001	309_S122_L001	31_S32_L001	310_S123_L001	311_S124_L001	312_S125_L001	313_S126_L001	315_S128_L001	317_S130_L001	320_S133_L001	321_S134_L001	324_S137_L001	325_S138_L001	326_S139_L001	327_S140_L001	333_S146_L001	334_S147_L001	335_S148_L001	337_S150_L001	38_S39_L001	39_S40_L001	46_S47_L001	47_S48_L001	55_S56_L001	7_S8_L001	77_S79_L001	85_S87_L001	86_S88_L001	93_S95_L001	94_S97_L001	95_S98_L001	97_S100_L001	98_S101_L001	99_S102_L001
ASV_1	49	176	391	340	82	68	466	318	564	77	43	557	53	91	923	279	29	0	0	0	163	0	0	30	0	0	317	0	452	0	0	0	0	0	0	0	97	0	57	462	420	0	475	490	623	51	60	183	586	373	399	102	58	561	93	29	32	343	45	184	0	490	94	398	633	398	0	863	0	0	11	0	375	460	726	806	0	0	0	138	773	730	720	0	0	970	788	757	915	2189	627	492	0	845	1679	149	939	635	740	228	699	0	210	0	13	153	663	516	716	1336	652	470	112	1022	188	513	149	31	136
ASV_2	47	120	350	304	89	50	377	243	553	76	49	550	45	76	930	290	21	0	0	0	116	0	0	10	0	0	308	0	436	0	0	0	0	0	0	0	115	0	53	399	383	0	356	426	553	59	54	213	527	349	368	82	28	515	64	27	34	369	43	160	0	497	84	364	430	377	0	767	0	0	0	0	345	481	589	672	0	0	0	130	737	656	714	0	0	842	691	491	798	1881	588	350	0	772	1498	121	849	688	652	206	642	0	185	0	8	92	601	471	599	878	515	309	117	712	176	518	150	28	125
ASV_3	44	150	362	281	80	47	421	235	485	46	40	455	28	82	784	263	32	0	0	0	119	0	0	22	0	0	262	0	410	0	0	0	0	0	0	0	115	0	56	365	323	0	342	418	495	75	40	151	458	332	350	80	31	496	73	24	36	302	38	128	24	409	81	324	553	346	0	709	0	0	0	0	366	411	585	668	0	0	0	144	682	625	595	0	0	754	639	646	775	1732	544	443	0	636	1370	120	744	601	590	168	573	0	199	0	38	104	583	465	602	1064	579	367	114	848	161	457	124	31	101
ASV_4	35	146	289	239	78	39	339	198	421	63	34	456	29	83	768	242	23	0	0	0	98	0	0	15	0	0	252	0	342	0	0	0	0	0	0	0	84	0	49	305	280	0	306	444	434	43	40	126	484	273	256	78	0	518	69	28	15	237	41	119	0	340	78	257	432	310	0	695	0	0	0	0	337	452	631	647	0	0	0	84	681	611	594	0	0	797	628	562	775	1681	558	368	0	646	1369	90	786	570	596	162	619	0	188	0	17	97	532	397	590	801	387	286	105	745	168	315	103	32	102
ASV_5	32	135	335	248	71	62	334	210	472	69	41	428	43	86	819	295	18	0	0	0	101	0	0	17	0	0	278	0	377	0	0	0	0	0	0	0	78	0	58	341	319	0	318	353	432	56	52	136	441	243	338	65	20	436	84	28	21	323	33	129	0	394	74	272	404	299	0	626	0	0	0	0	290	344	550	557	0	0	0	108	657	560	519	0	0	746	595	414	703	1535	463	279	0	596	1183	90	707	494	561	158	586	0	151	0	32	77	517	391	514	730	392	250	105	609	131	400	133	23	87
ASV_6	30	132	280	242	72	40	298	187	406	58	38	411	52	54	665	203	30	0	0	0	93	0	0	18	0	0	240	0	346	0	0	0	0	0	0	0	73	17	48	325	273	0	287	356	391	44	41	125	417	230	278	77	0	405	53	24	32	240	43	125	0	331	70	292	431	306	0	572	0	0	0	0	301	387	526	559	0	0	0	94	599	523	504	0	0	686	613	466	666	1486	512	351	0	586	1167	97	669	539	516	165	549	0	163	23	0	97	471	360	510	834	426	260	108	646	156	352	122	25	95
ASV_7	530	38	231	236	58	218	241	39	210	82	266	0	210	255	125	0	501	120	307	76	201	563	88	15	135	109	107	73	50	0	146	0	146	156	131	190	118	58	385	113	69	169	233	0	215	53	302	7	63	214	54	64	131	84	484	138	97	0	253	58	210	0	301	0	161	0	736	348	433	48	811	298	303	128	449	0	35	249	427	86	534	467	288	2400	776	709	324	139	457	0	176	0	466	592	0	102	501	543	228	46	264	270	108	141	193	447	105	0	0	192	164	168	226	183	33	304	246	319	452
ASV_8	50	107	277	213	53	51	412	175	405	55	43	410	37	71	632	503	25	0	0	0	93	0	0	24	0	0	207	0	437	0	0	0	0	0	0	0	78	0	54	336	269	0	319	379	377	38	37	137	387	290	287	71	24	388	84	26	24	243	36	117	0	333	56	321	467	325	0	571	0	0	0	0	270	338	498	464	0	0	0	101	547	480	515	0	0	590	479	650	607	1273	345	330	0	517	950	104	587	455	521	139	476	0	137	0	17	108	504	457	553	853	492	285	99	715	122	362	105	37	96
ASV_9	35	124	281	232	71	39	298	173	419	59	38	417	36	51	749	262	25	0	0	0	89	0	0	20	0	0	247	0	354	0	0	0	0	0	0	0	66	0	30	270	279	0	270	354	387	40	44	152	405	247	256	58	0	367	57	20	13	293	48	128	0	385	64	253	301	305	0	628	0	0	0	0	321	377	517	599	33	0	0	68	668	558	527	0	0	711	578	355	699	1543	451	276	0	587	1167	71	675	561	519	178	478	0	125	0	15	70	514	385	522	580	283	182	103	473	117	300	122	20	99
ASV_10	31	130	200	150	65	36	265	108	269	64	25	387	17	59	602	264	16	0	0	0	77	0	0	12	0	0	248	0	352	0	0	0	0	0	0	0	80	0	32	214	224	0	215	401	291	30	31	88	449	196	199	54	19	403	67	34	17	228	39	74	0	321	64	303	262	346	0	684	0	0	0	0	308	364	598	621	0	0	0	62	607	584	543	0	0	720	574	275	678	1703	520	292	0	685	1320	90	705	583	584	202	537	0	153	0	13	59	517	467	562	509	280	198	102	495	148	281	105	23	66
