	reads.in	reads.out
100_S103_L001_R1.gz	66505	43313
102_S105_L001_R1.gz	30644	19735
103_S106_L001_R1.gz	45021	29394
104_S107_L001_R1.gz	46166	30740
105_S108_L001_R1.gz	40274	25622
107_S110_L001_R1.gz	42437	27154
110_S113_L001_R1.gz	52246	34148
111_S114_L001_R1.gz	53558	34940
112_S115_L001_R1.gz	59725	39445
113_S116_L001_R1.gz	53093	32695
114_S117_L001_R1.gz	58495	38001
115_S118_L001_R1.gz	56284	35607
119_S123_L001_R1.gz	58164	38577
120_S124_L001_R1.gz	52264	32705
121_S125_L001_R1.gz	59420	38163
122_S126_L001_R1.gz	59067	37338
123_S127_L001_R1.gz	51232	32998
1257_S110_L001_R1.gz	55893	17948
1264_S117_L001_R1.gz	144121	41466
1265_S118_L001_R1.gz	62471	18536
127_S131_L001_R1.gz	60750	39679
1272_S125_L001_R1.gz	228615	70339
1273_S126_L001_R1.gz	84423	26393
128_S132_L001_R1.gz	48702	30076
1280_S133_L001_R1.gz	139829	39383
1288_S141_L001_R1.gz	92652	23816
129_S133_L001_R1.gz	50200	30810
1296_S149_L001_R1.gz	19906	5323
130_S134_L001_R1.gz	54043	32914
1304_S157_L001_R1.gz	17385	4165
1312_S165_L001_R1.gz	86513	22820
1317_S170_L001_R1.gz	17277	4430
1320_S173_L001_R1.gz	69973	19698
1325_S178_L001_R1.gz	68281	22722
1328_S181_L001_R1.gz	90842	27543
1336_S189_L001_R1.gz	150821	40605
135_S139_L001_R1.gz	54883	35521
136_S140_L001_R1.gz	57452	35554
137_S141_L001_R1.gz	53742	34292
141_S145_L001_R1.gz	51997	33528
143_S147_L001_R1.gz	60068	40143
144_S148_L001_R1.gz	47614	30710
149_S153_L001_R1.gz	54894	35326
15_S16_L001_R1.gz	63964	40411
150_S154_L001_R1.gz	51775	33513
151_S155_L001_R1.gz	43875	28228
152_S156_L001_R1.gz	42028	26128
153_S157_L001_R1.gz	43926	27675
154_S158_L001_R1.gz	45763	28504
156_S161_L001_R1.gz	52375	32788
157_S162_L001_R1.gz	58465	36055
158_S163_L001_R1.gz	57862	36537
159_S164_L001_R1.gz	58390	34917
161_S166_L001_R1.gz	65538	38079
167_S172_L001_R1.gz	58776	35708
169_S174_L001_R1.gz	54477	32599
175_S180_L001_R1.gz	39932	23278
176_S181_L001_R1.gz	44389	28126
177_S182_L001_R1.gz	46787	28830
180_S185_L001_R1.gz	50553	30843
182_S187_L001_R1.gz	65861	42513
184_S189_L001_R1.gz	52125	31599
185_S190_L001_R1.gz	60566	37531
187_S192_L001_R1.gz	52732	33701
22_S23_L001_R1.gz	60800	37929
23_S24_L001_R1.gz	63148	39622
284_S97_L001_R1.gz	77596	49486
285_S98_L001_R1.gz	87419	54693
286_S99_L001_R1.gz	91720	59054
289_S102_L001_R1.gz	124103	70868
290_S103_L001_R1.gz	80978	52370
291_S104_L001_R1.gz	43719	24175
292_S105_L001_R1.gz	64069	41476
293_S106_L001_R1.gz	70094	44173
294_S107_L001_R1.gz	66868	44283
295_S108_L001_R1.gz	77282	48478
297_S110_L001_R1.gz	79632	47446
298_S111_L001_R1.gz	32387	20223
299_S112_L001_R1.gz	57833	29270
30_S31_L001_R1.gz	44024	28883
300_S113_L001_R1.gz	76939	48387
301_S114_L001_R1.gz	76593	47705
302_S115_L001_R1.gz	78795	49949
305_S118_L001_R1.gz	780440	468604
306_S119_L001_R1.gz	87695	54299
308_S121_L001_R1.gz	89223	56837
309_S122_L001_R1.gz	75214	47160
31_S32_L001_R1.gz	53937	35257
310_S123_L001_R1.gz	85611	54899
311_S124_L001_R1.gz	140023	86831
312_S125_L001_R1.gz	65775	42400
313_S126_L001_R1.gz	84598	42064
315_S128_L001_R1.gz	82009	45317
317_S130_L001_R1.gz	75864	47796
320_S133_L001_R1.gz	95106	59909
321_S134_L001_R1.gz	56422	27631
324_S137_L001_R1.gz	73122	46501
325_S138_L001_R1.gz	72180	45521
326_S139_L001_R1.gz	68321	43715
327_S140_L001_R1.gz	44238	27245
333_S146_L001_R1.gz	58728	36925
334_S147_L001_R1.gz	78292	50395
335_S148_L001_R1.gz	54817	34105
337_S150_L001_R1.gz	51773	23344
38_S39_L001_R1.gz	50247	32264
39_S40_L001_R1.gz	60501	39894
46_S47_L001_R1.gz	66506	42727
47_S48_L001_R1.gz	65367	42025
55_S56_L001_R1.gz	78116	49130
7_S8_L001_R1.gz	57321	36886
77_S79_L001_R1.gz	69841	45666
85_S87_L001_R1.gz	66012	37443
86_S88_L001_R1.gz	65111	41685
93_S95_L001_R1.gz	73782	47778
94_S97_L001_R1.gz	55336	34119
95_S98_L001_R1.gz	53945	34499
97_S100_L001_R1.gz	56790	35323
98_S101_L001_R1.gz	48680	30555
99_S102_L001_R1.gz	51606	31858
