	Var1	Freq
1	295	140
2	296	1
3	298	2
4	304	1
5	305	1
6	306	4
7	307	10
8	308	3
9	309	7
10	310	1
11	311	3
12	312	8
13	313	5
14	314	3
15	315	2
16	316	2
17	317	2
18	318	7
19	319	3
20	320	4
21	321	2
22	322	1
23	323	3
24	324	3
25	325	7
26	326	3
27	327	3
28	328	7
29	329	3
30	330	1
31	331	1
32	332	6
33	333	1
34	334	17
35	335	1
36	336	3
37	337	1
38	339	4
39	340	4
40	341	4
41	342	13
42	343	4
43	344	14
44	345	3
45	346	3
46	347	5
47	348	6
48	349	7
49	350	2
50	352	4
51	354	2
52	355	1
53	356	3
54	358	4
55	360	4
56	361	1
57	362	6
58	363	2
59	364	1
60	365	4
61	366	4
62	367	3
63	368	4
64	369	7
65	370	2
66	371	3
67	372	5
68	373	1
69	375	7
70	376	1
71	377	2
72	378	3
73	380	4
74	381	2
75	382	3
76	383	1
77	384	3
78	385	1
79	386	3
80	387	2
81	388	19
82	389	5
83	392	5
84	395	2
85	396	1
86	398	1
87	399	4
88	407	2
89	408	4
90	409	2
91	410	1
92	411	6
93	412	3
94	414	1
95	415	2
96	416	6
97	417	7
98	418	3
99	419	2
100	420	1
101	421	4
102	422	2
103	423	2
104	424	5
105	426	3
106	428	6
107	429	1
108	430	2
109	431	2
110	432	1
111	433	5
112	435	3
113	437	2
114	438	496
115	439	1410
116	440	10957
117	441	1070
118	442	998
119	443	1410
120	444	751
121	445	4273
122	446	1936
123	447	785
124	448	217
125	449	362
126	450	20
127	451	89
128	452	9
129	453	51
130	454	10
131	455	1
132	456	10
133	457	85
134	458	105
135	459	441
136	460	2788
137	461	60
138	462	25
139	463	89
140	464	2694
141	465	22565
142	466	5640
143	467	304
144	468	1
145	469	1
146	470	1
147	471	2
148	472	1
149	474	5
150	475	1
151	476	4
152	477	3
153	478	3
154	479	1
155	483	1
156	484	2
157	485	1
158	486	1
159	493	2
