	input	filtered	denoisedF	denoisedR	merged	nonchim
100_S103_L001	66505	43313	42721	42775	42089	28262
102_S105_L001	30644	19735	19053	19374	18381	12780
103_S106_L001	45021	29394	28776	28989	28155	21813
104_S107_L001	46166	30740	30296	30543	29970	19941
105_S108_L001	40274	25622	24977	25183	24226	16352
107_S110_L001	42437	27154	26537	26863	25571	17254
110_S113_L001	52246	34148	33662	33826	33031	24428
111_S114_L001	53558	34940	34265	34743	33649	22146
112_S115_L001	59725	39445	38965	39229	38448	25869
113_S116_L001	53093	32695	31874	32206	30771	18730
114_S117_L001	58495	38001	37260	37659	35853	22853
115_S118_L001	56284	35607	34901	35329	33746	25185
119_S123_L001	58164	38577	37848	38111	36999	23417
120_S124_L001	52264	32705	32063	32331	31442	20883
121_S125_L001	59420	38163	37886	37986	36965	30048
122_S126_L001	59067	37338	36907	37083	35988	22913
123_S127_L001	51232	32998	32364	32691	31395	22498
1257_S110_L001	55893	17948	17600	17741	16842	8497
1264_S117_L001	144121	41466	40352	40786	39030	20580
1265_S118_L001	62471	18536	17495	18247	16926	10455
127_S131_L001	60750	39679	39031	39473	38307	22957
1272_S125_L001	228615	70339	69113	69689	67049	33271
1273_S126_L001	84423	26393	24959	25783	23604	12989
128_S132_L001	48702	30076	29513	29725	28688	15893
1280_S133_L001	139829	39383	37700	38582	35498	20618
1288_S141_L001	92652	23816	23289	23407	22495	13042
129_S133_L001	50200	30810	30118	30457	29447	19875
1296_S149_L001	19906	5323	4684	4575	2973	1677
130_S134_L001	54043	32914	32279	32662	31845	23068
1304_S157_L001	17385	4165	3739	3754	2641	2148
1312_S165_L001	86513	22820	21960	22389	21065	12235
1317_S170_L001	17277	4430	4100	4159	3549	2636
1320_S173_L001	69973	19698	19183	19444	18714	11580
1325_S178_L001	68281	22722	22160	22338	21078	11516
1328_S181_L001	90842	27543	26368	27057	25457	14023
1336_S189_L001	150821	40605	39555	39983	38325	21394
135_S139_L001	54883	35521	35026	35188	34375	22575
136_S140_L001	57452	35554	34766	35182	33865	18502
137_S141_L001	53742	34292	33674	33974	32785	23337
141_S145_L001	51997	33528	32775	33190	32235	24016
143_S147_L001	60068	40143	39733	39932	39156	26729
144_S148_L001	47614	30710	30201	30418	29399	19435
149_S153_L001	54894	35326	34560	34797	33814	25529
15_S16_L001	63964	40411	39516	40059	38162	26191
150_S154_L001	51775	33513	32980	33265	32232	25301
151_S155_L001	43875	28228	27557	27875	26655	17911
152_S156_L001	42028	26128	25577	25748	24714	18562
153_S157_L001	43926	27675	26740	27227	25573	17019
154_S158_L001	45763	28504	28279	28401	27639	21124
156_S161_L001	52375	32788	32014	32291	30968	21660
157_S162_L001	58465	36055	35212	35709	33882	22027
158_S163_L001	57862	36537	35618	35936	34365	21059
159_S164_L001	58390	34917	33802	34438	32392	20815
161_S166_L001	65538	38079	37285	37437	36644	26171
167_S172_L001	58776	35708	34796	35288	33631	23505
169_S174_L001	54477	32599	31712	32267	30619	18464
175_S180_L001	39932	23278	22435	22988	21564	14504
176_S181_L001	44389	28126	27494	27744	26648	19278
177_S182_L001	46787	28830	28048	28364	26671	18333
180_S185_L001	50553	30843	30157	30535	29614	16591
182_S187_L001	65861	42513	42039	42278	41390	25892
184_S189_L001	52125	31599	30814	31198	29856	22266
185_S190_L001	60566	37531	36931	37036	36013	24899
187_S192_L001	52732	33701	32907	33106	31495	21706
22_S23_L001	60800	37929	37461	37673	36811	22279
23_S24_L001	63148	39622	38839	39137	37584	25538
284_S97_L001	77596	49486	49240	49321	49004	29575
285_S98_L001	87419	54693	54187	54416	52581	39939
286_S99_L001	91720	59054	58360	58690	57689	36175
289_S102_L001	124103	70868	68394	69899	65854	27870
290_S103_L001	80978	52370	52129	52197	51684	34286
291_S104_L001	43719	24175	23938	23999	23766	16200
292_S105_L001	64069	41476	41039	41238	39474	27854
293_S106_L001	70094	44173	43343	43634	42272	26873
294_S107_L001	66868	44283	44038	44089	42839	33716
295_S108_L001	77282	48478	47942	48245	46644	34943
297_S110_L001	79632	47446	45466	46308	43187	20393
298_S111_L001	32387	20223	20025	20137	19607	12977
299_S112_L001	57833	29270	29037	29122	28602	19359
30_S31_L001	44024	28883	28046	28301	26738	20508
300_S113_L001	76939	48387	48174	48141	46929	37254
301_S114_L001	76593	47705	47418	47520	46518	36015
302_S115_L001	78795	49949	49620	49767	48862	36347
305_S118_L001	780440	468604	464699	466860	452871	203923
306_S119_L001	87695	54299	53992	54095	53296	37064
308_S121_L001	89223	56837	56480	56627	55658	43801
309_S122_L001	75214	47160	46834	46976	46088	35337
31_S32_L001	53937	35257	34923	35118	34752	26582
310_S123_L001	85611	54899	54645	54684	53148	41803
311_S124_L001	140023	86831	86070	86518	83171	65553
312_S125_L001	65775	42400	42084	42182	41304	31294
313_S126_L001	84598	42064	39590	39891	35523	23055
315_S128_L001	82009	45317	44676	45040	43771	27165
317_S130_L001	75864	47796	47622	47691	46768	37829
320_S133_L001	95106	59909	59601	59757	57055	44662
321_S134_L001	56422	27631	25347	25942	22596	14402
324_S137_L001	73122	46501	46243	46419	45603	37097
325_S138_L001	72180	45521	45184	45286	44222	35161
326_S139_L001	68321	43715	43228	43471	42041	31411
327_S140_L001	44238	27245	27057	26997	26579	18915
333_S146_L001	58728	36925	36714	36698	35905	28601
334_S147_L001	78292	50395	49920	50005	49067	31223
335_S148_L001	54817	34105	33769	33776	33260	21442
337_S150_L001	51773	23344	20031	20465	16163	7253
38_S39_L001	50247	32264	31118	31741	29819	17502
39_S40_L001	60501	39894	39371	39578	38879	29580
46_S47_L001	66506	42727	42139	42449	41275	29736
47_S48_L001	65367	42025	41431	41734	40853	28670
55_S56_L001	78116	49130	48339	48681	47360	32935
7_S8_L001	57321	36886	36613	36703	36420	30240
77_S79_L001	69841	45666	44845	45228	43852	32464
85_S87_L001	66012	37443	36377	36464	35839	22912
86_S88_L001	65111	41685	39679	40845	37591	22222
93_S95_L001	73782	47778	47375	47418	47011	37020
94_S97_L001	55336	34119	33260	33512	32479	20542
95_S98_L001	53945	34499	33771	34083	32999	25229
97_S100_L001	56790	35323	34501	34911	33779	22752
98_S101_L001	48680	30555	29914	30239	29095	21396
99_S102_L001	51606	31858	30940	31375	30017	21952
