	reads.in	reads.out
SRR19937265.fastq.gz	184349	140754
SRR19937266.fastq.gz	25455	21591
SRR19937267.fastq.gz	99273	75612
SRR19937268.fastq.gz	74768	51555
SRR19937269.fastq.gz	73714	48186
SRR19937270.fastq.gz	77899	31990
SRR19937271.fastq.gz	177842	124898
SRR19937272.fastq.gz	65390	41962
SRR19937273.fastq.gz	81651	52936
SRR19937274.fastq.gz	62401	36321
SRR19937275.fastq.gz	68632	44464
SRR19937276.fastq.gz	59375	27717
SRR19937277.fastq.gz	63798	55846
SRR19937278.fastq.gz	71860	42474
SRR19937279.fastq.gz	75797	50863
SRR19937280.fastq.gz	52079	30692
SRR19937281.fastq.gz	62906	41194
SRR19937282.fastq.gz	55575	36017
SRR19937283.fastq.gz	69508	45407
SRR19937284.fastq.gz	31650	10021
SRR19937285.fastq.gz	49344	31858
SRR19937286.fastq.gz	58533	39852
SRR19937287.fastq.gz	77253	16348
SRR19937288.fastq.gz	64310	54507
SRR19937289.fastq.gz	70488	45995
SRR19937290.fastq.gz	87759	51756
SRR19937291.fastq.gz	77569	52081
SRR19937292.fastq.gz	70815	45920
SRR19937293.fastq.gz	60739	39385
SRR19937294.fastq.gz	105874	36663
SRR19937295.fastq.gz	57844	38876
SRR19937296.fastq.gz	108326	76752
SRR19937297.fastq.gz	82834	55263
SRR19937298.fastq.gz	69578	46489
SRR19937299.fastq.gz	72398	56440
SRR19937300.fastq.gz	105297	31238
SRR19937301.fastq.gz	59231	37218
SRR19937302.fastq.gz	45311	30216
SRR19937303.fastq.gz	98078	78287
SRR19937304.fastq.gz	66682	43078
SRR19937305.fastq.gz	61328	35735
SRR19937306.fastq.gz	52475	33662
SRR19937307.fastq.gz	68613	27369
SRR19937308.fastq.gz	80225	51364
SRR19937309.fastq.gz	54662	34264
SRR19937310.fastq.gz	57965	51008
SRR19937311.fastq.gz	55240	37353
SRR19937312.fastq.gz	77544	49367
SRR19937313.fastq.gz	56049	31837
SRR19937314.fastq.gz	64475	23956
SRR19937315.fastq.gz	70467	27106
SRR19937316.fastq.gz	80634	33531
SRR19937317.fastq.gz	76480	50240
SRR19937318.fastq.gz	64941	24734
SRR19937319.fastq.gz	56996	44697
SRR19937320.fastq.gz	71463	48084
SRR19937321.fastq.gz	74111	45643
SRR19937322.fastq.gz	61655	41000
SRR19937323.fastq.gz	70333	45746
SRR19937324.fastq.gz	67948	24663
SRR19937325.fastq.gz	76363	62892
SRR19937326.fastq.gz	63975	51622
SRR19937327.fastq.gz	87994	69930
SRR19937328.fastq.gz	81149	65499
SRR19937329.fastq.gz	76340	35862
SRR19937330.fastq.gz	79374	63368
SRR19937331.fastq.gz	57335	45091
SRR19937332.fastq.gz	87805	70317
SRR19937333.fastq.gz	88710	37810
SRR19937334.fastq.gz	64445	52577
SRR19937335.fastq.gz	109725	87869
SRR19937336.fastq.gz	64959	51137
SRR19937337.fastq.gz	84454	66986
SRR19937338.fastq.gz	95846	53310
SRR19937339.fastq.gz	84518	46426
SRR19937340.fastq.gz	78066	58492
SRR19937341.fastq.gz	98155	77373
