	input	filtered	denoisedF	nonchim
SRR19937265	184349	140754	139127	76377
SRR19937266	25455	21591	21211	20625
SRR19937267	99273	75612	74615	61544
SRR19937268	74768	51555	50747	46937
SRR19937269	73714	48186	47399	43456
SRR19937270	77899	31990	31580	29397
SRR19937271	177842	124898	122845	76288
SRR19937272	65390	41962	41290	40362
SRR19937273	81651	52936	52231	48971
SRR19937274	62401	36321	35797	35510
SRR19937275	68632	44464	43980	40583
SRR19937276	59375	27717	27491	26538
SRR19937277	63798	55846	55193	52779
SRR19937278	71860	42474	41924	39864
SRR19937279	75797	50863	50390	47182
SRR19937280	52079	30692	30114	26339
SRR19937281	62906	41194	40690	39580
SRR19937282	55575	36017	35717	34282
SRR19937283	69508	45407	45047	44824
SRR19937284	31650	10021	9737	9448
SRR19937285	49344	31858	31628	31127
SRR19937286	58533	39852	39481	33277
SRR19937287	77253	16348	16020	15632
SRR19937288	64310	54507	54071	48068
SRR19937289	70488	45995	45504	44815
SRR19937290	87759	51756	51236	47287
SRR19937291	77569	52081	51673	47068
SRR19937292	70815	45920	45560	43002
SRR19937293	60739	39385	38981	35825
SRR19937294	105874	36663	36179	33351
SRR19937295	57844	38876	38498	38071
SRR19937296	108326	76752	75890	56377
SRR19937297	82834	55263	54283	53247
SRR19937298	69578	46489	45936	44412
SRR19937299	72398	56440	55532	42634
SRR19937300	105297	31238	30853	29117
SRR19937301	59231	37218	36635	34167
SRR19937302	45311	30216	29899	29853
SRR19937303	98078	78287	77488	63151
SRR19937304	66682	43078	42370	41379
SRR19937305	61328	35735	35478	35478
SRR19937306	52475	33662	33384	33125
SRR19937307	68613	27369	27065	25264
SRR19937308	80225	51364	50781	45765
SRR19937309	54662	34264	33824	32352
SRR19937310	57965	51008	50472	45517
SRR19937311	55240	37353	36890	35335
SRR19937312	77544	49367	49005	46196
SRR19937313	56049	31837	31282	28406
SRR19937314	64475	23956	23724	22183
SRR19937315	70467	27106	26813	24526
SRR19937316	80634	33531	33062	29594
SRR19937317	76480	50240	49588	47102
SRR19937318	64941	24734	24577	22933
SRR19937319	56996	44697	44117	29386
SRR19937320	71463	48084	47468	44650
SRR19937321	74111	45643	45532	43718
SRR19937322	61655	41000	40658	38907
SRR19937323	70333	45746	44965	40897
SRR19937324	67948	24663	24327	22833
SRR19937325	76363	62892	62370	48962
SRR19937326	63975	51622	50934	45800
SRR19937327	87994	69930	69156	60109
SRR19937328	81149	65499	64417	57390
SRR19937329	76340	35862	35695	33865
SRR19937330	79374	63368	62605	54440
SRR19937331	57335	45091	44436	39056
SRR19937332	87805	70317	69484	58765
SRR19937333	88710	37810	37560	36695
SRR19937334	64445	52577	51876	42921
SRR19937335	109725	87869	86891	52577
SRR19937336	64959	51137	50562	41304
SRR19937337	84454	66986	65883	55272
SRR19937338	95846	53310	53076	50791
SRR19937339	84518	46426	46235	41150
SRR19937340	78066	58492	57698	50881
SRR19937341	98155	77373	76508	50971
SRR19937342	67413	52601	51978	40835
SRR19937343	77048	60731	60094	53735
SRR19937344	117791	91664	90227	67012
SRR19937345	77814	42737	42542	38940
SRR19937346	68790	59401	58848	54854
SRR19937347	45460	36568	36155	28976
SRR19937348	84551	64384	63693	51229
SRR19937349	59331	28620	28476	27430
SRR19937350	88214	71686	70725	49669
SRR19937351	83998	64092	63192	38578
SRR19937352	63331	49625	48960	32473
SRR19937353	81785	41952	41707	40056
SRR19937354	56354	44196	43833	41888
SRR19937355	91990	73804	73237	59752
SRR19937356	81055	64077	63574	54654
SRR19937357	87995	68114	67513	43538
SRR19937358	82673	20104	20011	19170
SRR19937359	88101	28391	28201	26164
SRR19937360	87247	27581	27435	26958
SRR19937361	79230	66173	65455	59627
SRR19937362	89345	71109	70420	54037
SRR19937363	85980	68828	68095	59224
SRR19937364	104306	63732	63531	60902
SRR19937365	64765	15832	15599	15372
SRR19937366	94738	56817	56531	54803
SRR19937367	136257	106430	105660	69338
SRR19937368	125057	40622	40389	38003
SRR19937369	42852	23659	23362	22051
SRR19937370	88849	74723	73537	53950
SRR19937371	103877	83642	82620	61516
SRR19937372	67515	54371	53314	50806
SRR19937373	88730	69948	69367	55713
SRR19937374	97020	71595	71040	47901
SRR19937375	101382	80984	80311	60311
SRR19937376	103107	38831	38587	36192
SRR19937377	66762	55086	54601	41768
SRR19937378	107694	66608	66419	61077
