ASV_ID	SRR16821602	SRR16821603	SRR16821604	SRR16821605	SRR16821606	SRR16821607	SRR16821608	SRR16821609	SRR16821610	SRR16821611	SRR16821612	SRR16821613	SRR16821614	SRR16821615	SRR16821616	SRR16821617	SRR16821618	SRR16821619	SRR16821620	SRR16821621	SRR16821622	SRR16821623	SRR16821624	SRR16821625	SRR16821626	SRR16821627	SRR16821628	SRR16821629	SRR16821630	SRR16821631	SRR16821632	SRR16821633	SRR16821634	SRR16821635	SRR16821636	SRR16821637	SRR16821638	SRR16821639	SRR16821640	SRR16821641	SRR16821642	SRR16821643	SRR16821644	SRR16821645	SRR16821646	SRR16821647	SRR16821648	SRR16821649	SRR16821650	SRR16821651	SRR16821652	SRR16821653	SRR16821654	SRR16821655	SRR16821656	SRR16821657	SRR16821658	SRR16821659	SRR16821660	SRR16821661	SRR16821662	SRR16821663	SRR16821664	SRR16821665	SRR16821666	SRR16821667	SRR16821668	SRR16821669	SRR16821670	SRR16821671	SRR16821672	SRR16821673	SRR16821674	SRR16821675	SRR16821676	SRR16821677	SRR16821678	SRR16821679	SRR16821680	SRR16821681	SRR16821682	SRR16821683	SRR16821684	SRR16821685	SRR16821686	SRR16821687	SRR16821688	SRR16821689	SRR16821690	SRR16821691	SRR16821692	SRR16821693	SRR16821694	SRR16821695	SRR16821696	SRR16821697	SRR16821698	SRR16821699	SRR16821700	SRR16821701	SRR16821702	SRR16821703	SRR16821704	SRR16821705	SRR16821706	SRR16821707	SRR16821708	SRR16821709	SRR16821710	SRR16821711	SRR16821712	SRR16821713	SRR16821714	SRR16821715	SRR16821716	SRR16821717	SRR16821718	SRR16821719	SRR16821720	SRR16821721	SRR16821722	SRR16821723	SRR16821724	SRR16821725	SRR16821726	SRR16821727	SRR16821728	SRR16821729	SRR16821730	SRR16821731	SRR16821732	SRR16821733	SRR16821734	SRR16821735	SRR16821736	SRR16821737
ASV_1	98	0	0	0	0	0	81	45	72	67	152	0	0	0	0	0	0	180	73	0	57	0	66	53	0	15	77	0	169	134	57	59	0	215	0	0	0	0	0	0	48	0	129	62	83	67	243	58	169	154	136	143	0	144	84	70	142	0	0	0	0	0	448	0	546	354	39	33	74	197	0	205	290	124	0	322	79	164	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	94
ASV_2	85	0	0	0	0	0	91	0	63	0	130	0	0	0	0	0	0	207	63	106	0	0	0	40	0	0	69	78	150	0	0	0	65	184	0	0	0	0	0	0	55	0	0	58	86	66	247	53	132	158	175	153	0	163	91	0	155	0	0	0	0	0	538	0	547	343	41	38	65	270	0	259	311	117	0	400	91	164	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	85
ASV_3	95	0	0	0	0	0	93	0	52	54	127	0	0	0	0	0	0	150	70	0	0	0	46	30	54	0	58	0	130	0	59	22	0	158	0	0	0	0	0	0	40	0	0	41	91	45	225	45	134	132	134	129	0	130	78	66	147	0	0	0	0	0	494	0	461	336	42	36	57	234	0	205	298	107	0	383	71	133	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	75
ASV_4	44	53	84	70	25	76	0	27	31	83	23	32	0	0	0	0	0	0	39	118	0	77	0	46	31	36	0	17	0	39	53	40	66	42	0	76	51	44	28	57	222	0	132	145	97	128	15	88	54	36	37	42	0	65	81	90	65	68	69	93	233	62	32	0	21	0	80	102	93	107	20	29	0	0	0	0	0	0	86	21	26	19	24	17	30	0	0	12	23	42	110	62	77	78	113	60	86	47	18	61	43	22	24	46	58	110	21	15	0	36	39	33	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	53	46	125	23	0	51	31	32
ASV_5	26	54	82	75	18	68	0	13	20	100	12	36	0	0	0	0	0	0	39	111	34	81	0	39	24	59	0	18	0	52	37	47	60	20	0	69	48	48	24	61	224	0	143	143	55	117	22	83	64	44	51	59	0	62	67	81	71	50	85	66	238	59	40	0	17	18	90	98	96	98	29	0	0	0	0	0	0	0	0	23	17	11	22	15	33	0	46	28	12	0	105	64	74	84	142	59	63	79	17	86	41	15	13	39	45	120	9	24	47	11	30	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	70	106	35	91	67	27	27
ASV_6	103	0	0	0	0	0	71	89	73	0	126	0	0	0	0	0	0	193	50	0	0	0	0	42	0	0	60	76	165	0	0	34	76	164	0	0	0	0	0	0	28	0	0	53	64	46	177	65	138	130	138	116	0	118	77	0	137	0	0	0	0	0	404	0	537	262	39	43	42	213	0	208	267	92	0	328	53	158	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	93
ASV_7	27	6	6	12	8	13	268	10	21	25	23	55	67	149	82	42	0	375	3	56	0	36	72	23	35	22	48	28	279	33	35	49	59	57	0	56	37	52	18	78	0	0	0	0	13	54	0	0	0	0	0	138	0	83	110	86	67	93	0	0	0	0	58	0	217	80	0	0	0	0	0	0	0	0	0	280	173	0	0	0	0	0	0	0	36	31	53	22	44	18	51	141	83	72	77	51	91	80	53	45	71	0	0	0	0	0	49	84	106	40	92	34	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	46	0	0	50	94
ASV_8	78	0	0	0	0	0	74	0	85	0	144	0	0	0	0	0	0	164	76	0	0	0	0	48	0	0	70	0	136	0	0	40	0	172	0	0	0	0	0	0	29	0	0	51	82	57	207	41	129	125	131	117	0	109	76	39	135	0	0	0	0	0	453	0	461	343	23	37	48	180	0	212	247	84	0	326	56	144	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	53	85
ASV_9	38	75	128	92	43	48	0	38	25	48	19	35	0	0	0	0	0	0	37	50	38	48	102	36	18	21	34	24	0	33	22	20	51	24	354	0	10	8	11	0	0	259	0	0	0	0	21	13	14	21	8	0	370	0	0	0	0	29	32	12	21	32	0	609	0	0	14	0	0	13	7	25	19	20	501	0	0	29	45	0	0	4	0	0	32	30	23	59	250	60	0	0	0	0	0	55	59	35	86	12	89	162	18	42	39	67	0	0	0	34	0	0	26	24	30	25	14	0	0	0	21	0	0	0	0	0	0	0	41	49	69	43	43	46	33	20
ASV_10	27	9	3	8	11	15	320	15	17	30	17	0	64	135	83	44	0	351	9	0	0	35	71	24	21	35	27	16	245	36	39	38	50	76	0	37	36	47	32	77	0	0	0	0	0	43	0	0	0	0	0	139	0	69	131	83	85	0	0	0	0	0	64	0	198	59	0	0	0	0	0	0	0	0	0	339	206	0	0	0	0	0	0	0	29	30	51	32	53	18	80	149	101	63	61	65	86	96	63	50	62	0	0	0	0	0	72	79	101	35	100	48	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	32	0	0	37	98
ASV_11	19	75	126	88	47	43	0	50	19	36	20	27	0	0	0	0	0	0	38	44	46	50	84	55	17	17	39	20	0	48	25	21	50	25	253	0	5	3	4	0	0	282	0	0	0	0	24	21	8	18	21	0	359	0	0	0	0	31	28	20	16	26	0	576	0	0	6	15	0	20	7	27	16	34	563	0	0	18	33	0	0	7	0	0	19	39	27	90	227	47	0	0	0	0	0	59	51	23	75	10	83	147	18	52	49	61	0	0	0	22	0	0	25	24	28	28	31	0	0	0	28	0	0	0	0	0	0	0	29	32	85	42	63	27	36	27
ASV_12	33	63	94	81	29	32	0	44	20	31	10	29	0	0	0	0	0	0	42	49	43	58	114	47	15	21	24	25	0	37	26	18	32	16	307	0	5	10	19	0	0	300	0	0	0	0	34	8	21	17	23	0	354	0	0	0	0	13	25	0	15	30	0	594	0	0	14	15	0	30	5	37	22	41	547	0	0	15	46	0	0	1	0	0	25	28	16	79	184	59	0	0	0	0	0	71	40	33	77	10	76	144	22	47	50	56	0	0	0	16	0	0	18	29	42	23	27	0	0	0	28	0	0	0	0	0	0	0	41	42	79	35	67	59	18	42
ASV_13	32	53	80	84	22	85	0	21	37	76	20	33	0	0	0	0	0	0	24	120	0	82	0	47	45	33	59	28	0	57	55	42	31	32	0	65	34	61	16	61	192	0	122	141	67	98	16	72	58	48	0	48	0	60	64	80	81	53	65	76	202	60	17	0	42	31	92	73	65	97	25	0	0	0	0	52	0	0	0	24	0	13	15	15	22	56	0	25	14	0	96	57	74	61	160	39	68	44	29	48	52	20	10	43	64	99	18	0	0	24	27	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	58	133	24	0	58	32	37
ASV_14	21	30	4	6	2	3	280	12	18	27	21	56	61	157	79	42	0	342	15	80	0	24	65	17	12	14	31	28	275	36	33	60	54	60	0	73	49	49	22	77	0	0	0	0	0	63	0	0	0	0	0	119	0	68	153	86	65	0	0	0	0	0	44	0	202	63	0	0	0	0	0	0	0	0	0	263	207	0	0	0	0	0	0	0	17	34	49	23	51	15	63	127	93	85	78	37	66	89	68	34	64	0	0	0	0	0	66	79	88	41	71	33	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	31	0	0	53	85
ASV_15	0	45	62	65	19	80	0	17	28	53	8	20	0	0	0	0	0	0	32	94	94	71	0	49	19	47	0	17	0	39	44	57	56	41	0	45	40	38	18	46	222	0	129	124	62	114	14	68	33	31	0	34	0	56	71	73	65	53	63	61	207	38	0	0	20	21	75	64	91	100	21	0	0	0	0	0	0	0	0	25	21	13	20	15	32	0	49	24	0	0	122	48	85	79	119	40	72	44	44	40	43	21	18	55	69	83	35	17	56	25	20	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	47	130	30	0	49	47	38
ASV_16	0	365	310	271	213	187	40	22	35	35	32	14	22	43	42	31	0	16	0	21	0	6	0	24	23	10	71	120	36	10	0	20	12	0	83	93	13	11	15	37	39	56	57	17	63	28	0	0	0	0	0	0	32	10	20	21	9	0	0	50	14	0	0	187	14	23	36	41	15	31	9	0	0	0	73	0	0	0	0	35	55	30	38	52	0	0	0	50	0	0	17	7	17	13	36	125	151	75	75	81	76	29	17	72	155	110	24	43	0	37	24	30	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	76	35	80	0	28	9	0
ASV_17	0	366	367	299	217	217	0	31	24	33	22	28	27	27	39	31	0	13	0	21	0	9	0	20	20	13	72	102	30	14	0	3	11	0	78	82	16	20	10	26	45	42	54	17	51	18	0	0	0	0	0	0	24	6	18	23	13	0	0	0	20	0	0	145	19	12	27	35	35	38	16	0	0	0	58	0	0	0	61	30	55	38	42	42	0	0	0	56	0	0	25	6	23	25	26	111	175	66	79	90	92	22	23	56	119	88	16	34	21	53	16	34	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	53	95	0	79	0	27	11	0
ASV_18	0	126	58	39	42	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	85	92	99	84	106	0	0	0	0	0	0	0	0	0	37	28	38	25	53	0	0	0	0	0	0	0	0	0	0	0	150	0	150	201	265	242	0	107	71	163	185	0	0	0	0	220	189	138	192	74	0	0	0	0	0	0	0	0	52	56	56	56	42	0	0	0	0	0	0	65	89	68	65	108	0	0	0	0	0	0	0	0	0	0	0	65	52	38	0	84	38	0	0	0	0	21	56	123	50	0	54	78	27	39	17	80	57	0	0	0	0	0	0	0	0
