	reads.in	reads.out
SRR16821602_1.fastq.gz	66708	43057
SRR16821603_1.fastq.gz	116374	76871
SRR16821604_1.fastq.gz	134525	89353
SRR16821605_1.fastq.gz	130465	89245
SRR16821606_1.fastq.gz	115569	80211
SRR16821607_1.fastq.gz	120461	82853
SRR16821608_1.fastq.gz	40061	24958
SRR16821609_1.fastq.gz	58548	38590
SRR16821610_1.fastq.gz	62636	42357
SRR16821611_1.fastq.gz	71660	48878
SRR16821612_1.fastq.gz	77723	51231
SRR16821613_1.fastq.gz	40612	28290
SRR16821614_1.fastq.gz	52452	36179
SRR16821615_1.fastq.gz	60645	42724
SRR16821616_1.fastq.gz	54202	38681
SRR16821617_1.fastq.gz	37221	24616
SRR16821618_1.fastq.gz	47331	32291
SRR16821619_1.fastq.gz	63963	41860
SRR16821620_1.fastq.gz	65582	43677
SRR16821621_1.fastq.gz	60013	40746
SRR16821622_1.fastq.gz	37684	25504
SRR16821623_1.fastq.gz	44525	31763
SRR16821624_1.fastq.gz	50073	33589
SRR16821625_1.fastq.gz	46436	33086
SRR16821626_1.fastq.gz	34293	23595
SRR16821627_1.fastq.gz	42441	29604
SRR16821628_1.fastq.gz	43588	28416
SRR16821629_1.fastq.gz	46245	29811
SRR16821630_1.fastq.gz	55036	35834
SRR16821631_1.fastq.gz	40096	28024
SRR16821632_1.fastq.gz	34174	22694
SRR16821633_1.fastq.gz	37555	25596
SRR16821634_1.fastq.gz	46538	32510
SRR16821635_1.fastq.gz	52125	34702
SRR16821636_1.fastq.gz	52212	35837
SRR16821637_1.fastq.gz	122630	82300
SRR16821638_1.fastq.gz	69531	45790
SRR16821639_1.fastq.gz	93647	62814
SRR16821640_1.fastq.gz	84087	55406
SRR16821641_1.fastq.gz	91158	62298
SRR16821642_1.fastq.gz	79072	51185
SRR16821643_1.fastq.gz	43575	30631
SRR16821644_1.fastq.gz	56210	37030
SRR16821645_1.fastq.gz	74867	49842
SRR16821646_1.fastq.gz	84001	54382
SRR16821647_1.fastq.gz	91871	62459
