	Var1	Freq
1	301	36
2	302	2
3	304	1
4	308	1
5	309	1
6	314	2
7	318	2
8	320	4
9	321	2
10	323	3
11	325	1
12	326	2
13	327	2
14	328	1
15	329	1
16	331	1
17	332	1
18	336	2
19	339	1
20	342	4
21	347	1
22	348	2
23	349	1
24	350	3
25	352	1
26	353	1
27	354	1
28	355	5
29	360	1
30	361	1
31	362	3
32	363	1
33	364	1
34	365	1
35	366	2
36	367	3
37	370	1
38	371	1
39	372	1
40	373	5
41	374	1
42	375	1
43	378	1
44	379	7
45	380	1
46	381	5
47	382	4
48	383	2
49	388	2
50	393	1
51	395	1
52	397	5
53	398	1
54	400	2
55	401	1
56	406	1
57	409	4
58	412	2
59	414	1
60	415	1
61	418	1
62	420	1
63	421	1
64	422	3
65	424	96
66	425	1
67	426	3
68	427	1
69	428	1
70	430	1
71	431	1
72	432	1
73	435	1
74	437	7
75	438	20
76	439	2103
77	440	22506
78	441	4497
79	442	7330
80	443	3981
81	444	338
82	445	439
83	446	1423
84	447	133
85	448	13
86	449	43
87	450	5
88	452	1
89	453	5
90	455	3
91	456	31
92	457	27
93	458	222
94	459	2622
95	460	37287
96	461	390
97	462	8
98	463	64
99	464	1075
100	465	8763
101	466	1626
102	467	6
103	469	1
104	470	2
105	471	1
106	474	2
107	475	1
108	477	1
109	481	3
110	482	1
111	483	2
112	484	1
113	486	1
114	490	1
115	491	1
116	492	1
117	494	5
118	496	1
119	497	1
120	509	2
121	518	1
122	522	1
123	523	3
124	524	1
125	525	2
126	530	1
127	532	1
128	535	1
129	556	1
130	558	2
131	561	1
