	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR16821602	66708	43057	40475	41457	34885	23051
SRR16821603	116374	76871	75234	75566	69106	44672
SRR16821604	134525	89353	87135	88002	78926	51288
SRR16821605	130465	89245	86980	87812	78489	49572
SRR16821606	115569	80211	77704	78867	69872	42683
SRR16821607	120461	82853	80294	81360	73542	43692
SRR16821608	40061	24958	23574	24004	20813	14697
SRR16821609	58548	38590	36517	37135	32582	23275
SRR16821610	62636	42357	40171	40865	35364	24575
SRR16821611	71660	48878	46711	47068	41560	28553
SRR16821612	77723	51231	48439	49499	42696	27136
SRR16821613	40612	28290	26868	27322	24162	17199
SRR16821614	52452	36179	35116	35289	32017	22828
SRR16821615	60645	42724	41547	41588	37697	24471
SRR16821616	54202	38681	37298	37694	33674	21874
SRR16821617	37221	24616	23495	23771	20974	15050
SRR16821618	47331	32291	31559	31660	29942	20584
SRR16821619	63963	41860	40084	40681	35019	22648
SRR16821620	65582	43677	40675	41739	30885	22033
SRR16821621	60013	40746	38110	39226	33569	21790
SRR16821622	37684	25504	23716	24275	18793	13353
SRR16821623	44525	31763	30817	30888	28002	18992
SRR16821624	50073	33589	32529	32668	29191	18639
SRR16821625	46436	33086	31866	32089	28796	20091
SRR16821626	34293	23595	22505	22832	19790	14332
SRR16821627	42441	29604	28186	28667	25209	18212
SRR16821628	43588	28416	27096	27526	23776	17331
SRR16821629	46245	29811	28438	28877	25004	17856
SRR16821630	55036	35834	34122	34577	29138	20223
SRR16821631	40096	28024	26351	26784	22518	16421
SRR16821632	34174	22694	21142	21445	17894	13526
SRR16821633	37555	25596	23988	24251	20629	15461
SRR16821634	46538	32510	30705	31328	27101	19920
SRR16821635	52125	34702	32860	33527	29380	20359
SRR16821636	52212	35837	35001	34998	32464	21385
SRR16821637	122630	82300	75220	78693	61203	34389
SRR16821638	69531	45790	42213	43704	33753	22652
SRR16821639	93647	62814	58714	60526	47542	29656
SRR16821640	84087	55406	50396	52704	39773	20763
SRR16821641	91158	62298	57993	60124	48837	30416
SRR16821642	79072	51185	49038	49642	44160	29303
SRR16821643	43575	30631	29510	29952	27278	17391
SRR16821644	56210	37030	35112	35773	31768	21889
SRR16821645	74867	49842	47208	48286	42523	27577
SRR16821646	84001	54382	50499	52374	43788	27076
SRR16821647	91871	62459	58939	60175	52688	34499
SRR16821648	101013	66429	63204	64344	56162	35437
SRR16821649	86618	57655	54909	55781	49020	32515
SRR16821650	92016	61740	59038	59867	53484	33131
SRR16821651	72662	46231	43970	44643	38740	26373
SRR16821652	85518	56085	53126	54332	46887	29509
SRR16821653	65174	43910	41795	42387	37443	25708
SRR16821654	93112	63600	61566	62150	55965	33477
SRR16821655	77839	51349	47108	48851	39835	25739
SRR16821656	70254	47619	44279	45289	38119	24680
SRR16821657	70046	47910	45963	46277	41056	28465
SRR16821658	75805	50215	47769	48461	41937	28577
SRR16821659	64319	43192	41718	42179	37273	23061
SRR16821660	52538	33959	32566	32924	29473	19771
SRR16821661	60287	41048	39432	39428	34686	22945
SRR16821662	84293	59353	57491	58181	51664	31315
SRR16821663	78612	52465	49965	50928	43941	26307
SRR16821664	70330	45247	42176	43560	36254	21531
SRR16821665	109921	78064	76231	76799	71442	41875
SRR16821666	96328	64403	62386	63103	56596	36249
SRR16821667	71392	46686	44512	45476	41089	23877
SRR16821668	105483	72814	69204	70625	58483	37494
SRR16821669	78658	52878	49503	50845	41258	28119
SRR16821670	64128	43092	39537	41204	31306	21151
SRR16821671	100555	68003	63947	65759	54669	35673
SRR16821672	75856	50338	42779	45779	28993	16940
SRR16821673	81462	51045	45922	48874	38904	21683
SRR16821674	90931	55573	52659	53868	44564	27756
SRR16821675	95434	59765	56482	58102	47731	29590
SRR16821676	104787	73689	72113	72443	67094	39448
SRR16821677	67752	43535	41662	42301	37128	24227
SRR16821678	38398	25521	23804	24566	20128	14144
SRR16821679	92010	59158	55151	57161	45239	26885
SRR16821680	70358	44250	41077	42763	33312	21156
SRR16821681	86232	58397	55148	56025	48798	31683
SRR16821682	90849	61494	57602	59173	50175	31275
SRR16821683	99779	64456	57237	60477	43192	23415
SRR16821684	80197	54396	52167	52608	47258	33245
SRR16821685	81601	57504	55679	56110	51213	35334
SRR16821686	56951	34596	32597	33371	29691	19762
SRR16821687	61855	37650	35440	36122	31948	20518
SRR16821688	67687	44333	42120	42905	34088	22065
SRR16821689	49183	31859	30331	30824	27594	18243
SRR16821690	118645	80511	77547	78800	67708	38620
SRR16821691	54519	34448	32430	33131	29525	18441
SRR16821692	60285	41661	39615	40254	36165	24287
SRR16821693	70263	47336	45219	45957	41272	27824
SRR16821694	66674	45702	43930	44401	40260	27916
SRR16821695	48220	31776	30062	30741	26962	18362
SRR16821696	56638	39170	37612	38160	34104	22488
SRR16821697	61902	42970	41084	41604	36729	26744
SRR16821698	65058	43873	41504	42175	36684	26235
SRR16821699	56255	37519	35501	36028	31365	21237
SRR16821700	88121	57665	55520	56403	50361	29183
SRR16821701	66800	46317	44245	44804	39443	26482
SRR16821702	70044	47716	45326	46058	40281	28090
SRR16821703	66853	46439	45133	45599	41281	22619
SRR16821704	45509	26697	25558	25954	21706	13759
SRR16821705	52862	35296	33868	34366	30150	19796
SRR16821706	60520	40355	38869	39367	34978	23203
SRR16821707	68912	46648	45215	45360	40024	25425
SRR16821708	44620	29324	27671	28064	24568	18303
SRR16821709	58666	39128	37531	37737	34005	23348
SRR16821710	57375	37202	35425	35960	31306	22189
SRR16821711	54760	35782	33839	34772	30608	20584
SRR16821712	70932	47899	45923	46430	41292	27996
SRR16821713	43446	27216	25609	25949	22696	16342
SRR16821714	49604	32330	31192	31518	28952	18745
SRR16821715	58153	38797	37220	37764	33976	21187
SRR16821716	69346	46256	44648	45327	40998	24423
SRR16821717	42760	28752	27322	27727	24736	16959
SRR16821718	43408	29549	28452	28939	25863	15727
SRR16821719	52794	35454	33998	34505	29729	19512
SRR16821720	46681	32057	30716	30945	26964	19148
SRR16821721	24908	16161	15049	15290	12896	9865
SRR16821722	60632	38574	37114	37397	32880	21836
SRR16821723	42782	28691	26987	27616	23376	16334
SRR16821724	47676	33174	31472	31928	27298	19075
SRR16821725	54287	35220	33882	34319	31093	19839
SRR16821726	39986	26040	24808	24912	21858	15074
SRR16821727	50036	32673	30936	31537	26556	18646
SRR16821728	51022	33773	32381	32672	28810	17963
SRR16821729	107471	62698	60727	61470	54735	36448
SRR16821730	51895	35193	33492	34012	29841	18817
SRR16821731	49227	35312	33994	34211	30064	19373
SRR16821732	54924	39774	38547	38890	33761	19819
SRR16821733	56829	37962	36259	36747	32308	21058
SRR16821734	59630	41133	39568	39928	35474	19684
SRR16821735	60802	41329	39617	40291	35496	21969
