Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Location,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,UniqueSampleName
SRR18231040,AMPLICON,502,52052882,PRJNA812940,SAMN26442013,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",32148915,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372722,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV448,PAIRED,PCR,METAGENOMIC,D3,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV448,SRP362541,EV448
SRR18231041,AMPLICON,502,52823954,PRJNA812940,SAMN26442012,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31469984,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372721,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV445,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV445,SRP362541,EV445
SRR18231042,AMPLICON,502,58956888,PRJNA812940,SAMN26442011,"MIGS/MIMS/MIMARKS.human-gut,MIMARKS.survey",35879891,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",NonCeD,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372720,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV444,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV444,SRP362541,EV444
SRR18231043,AMPLICON,510,36973980,PRJNA812940,SAMN26441930,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23705609,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372719,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,LR171-EV204,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV204,SRP362541,EV204
SRR18231044,AMPLICON,502,59369532,PRJNA812940,SAMN26442010,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",35408526,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372718,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV443,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV443,SRP362541,EV443
SRR18231045,AMPLICON,502,38283524,PRJNA812940,SAMN26442009,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23782824,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372717,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV442,PAIRED,PCR,METAGENOMIC,D1,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV442,SRP362541,EV442
SRR18231046,AMPLICON,502,61309260,PRJNA812940,SAMN26442008,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",36428207,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372716,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV441,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV441,SRP362541,EV441
SRR18231047,AMPLICON,502,56762646,PRJNA812940,SAMN26442007,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",33323027,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372715,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV440,PAIRED,PCR,METAGENOMIC,D3,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV440,SRP362541,EV440
SRR18231048,AMPLICON,502,46467128,PRJNA812940,SAMN26442006,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",27126186,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372714,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV439,PAIRED,PCR,METAGENOMIC,ASPIRATE,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:25:00Z,1,EV439,SRP362541,EV439
SRR18231049,AMPLICON,502,59686796,PRJNA812940,SAMN26442005,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",35388776,MCMASTER UNIVERSITY,2015-01-01/2021-12-31,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Active,UBERON:0000467,UBERON:0005409,UBERON:0001555,SRX14372713,Canada,North America,Canada,Homo sapiens,Illumina MiSeq,43.25 N 79.87 W,Run999-EV438,PAIRED,PCR,METAGENOMIC,D2,gut metagenome,ILLUMINA,2022-10-28T00:00:00Z,2022-03-04T17:26:00Z,1,EV438,SRP362541,EV438
