ASV_ID	SRR18231040	SRR18231041	SRR18231042	SRR18231043	SRR18231044	SRR18231045	SRR18231046	SRR18231047	SRR18231048	SRR18231049	SRR18231050	SRR18231051	SRR18231052	SRR18231053	SRR18231054	SRR18231055	SRR18231056	SRR18231057	SRR18231058	SRR18231059	SRR18231060	SRR18231061	SRR18231062	SRR18231063	SRR18231064	SRR18231065	SRR18231066	SRR18231067	SRR18231068	SRR18231069	SRR18231070	SRR18231071	SRR18231072	SRR18231073	SRR18231074	SRR18231075	SRR18231076	SRR18231077	SRR18231078	SRR18231079	SRR18231080	SRR18231081	SRR18231082	SRR18231083	SRR18231084	SRR18231085	SRR18231086	SRR18231087	SRR18231088	SRR18231089	SRR18231090	SRR18231091	SRR18231092	SRR18231093	SRR18231094	SRR18231095	SRR18231096	SRR18231097	SRR18231098	SRR18231099	SRR18231100	SRR18231101	SRR18231104	SRR18231105	SRR18231106	SRR18231107	SRR18231108	SRR18231109	SRR18231110	SRR18231111	SRR18231112	SRR18231113	SRR18231114	SRR18231115	SRR18231116	SRR18231117	SRR18231118	SRR18231119	SRR18231120	SRR18231121	SRR18231122	SRR18231123	SRR18231124	SRR18231125	SRR18231126	SRR18231127	SRR18231128	SRR18231129	SRR18231130	SRR18231131	SRR18231132	SRR18231133	SRR18231134	SRR18231135	SRR18231136	SRR18231137	SRR18231138	SRR18231139	SRR18231140	SRR18231141	SRR18231142	SRR18231143	SRR18231144	SRR18231145	SRR18231146	SRR18231147	SRR18231148	SRR18231149	SRR18231150	SRR18231151	SRR18231152	SRR18231153	SRR18231154	SRR18231155	SRR18231156	SRR18231157	SRR18231158	SRR18231159	SRR18231160	SRR18231161	SRR18231162	SRR18231163	SRR18231164	SRR18231165	SRR18231166	SRR18231167	SRR18231168	SRR18231169	SRR18231170	SRR18231171	SRR18231172	SRR18231173	SRR18231174	SRR18231180	SRR18231191	SRR18231195	SRR18231196	SRR18231197	SRR18231198	SRR18231199	SRR18231200	SRR18231201	SRR18231202	SRR18231203	SRR18231204	SRR18231205	SRR18231206	SRR18231207	SRR18231208	SRR18231209	SRR18231210	SRR18231211	SRR18231212	SRR18231213	SRR18231214	SRR18231215	SRR18231216	SRR18231217	SRR18231218	SRR18231219	SRR18231220	SRR18231221	SRR18231222	SRR18231223	SRR18231224	SRR18231225	SRR18231226	SRR18231227	SRR18231228	SRR18231229	SRR18231230	SRR18231231	SRR18231232	SRR18231233	SRR18231234	SRR18231235	SRR18231236	SRR18231237	SRR18231238
ASV_1	6422	16224	15997	0	3969	2196	20	5501	17304	18	3512	17022	4748	14107	0	5985	13177	8547	12004	5237	8619	9662	11895	10663	13839	6982	14681	11262	3898	19574	12129	20415	5919	17455	1972	1767	3611	13442	4704	890	20565	4326	91	2481	3589	15830	603	992	4029	971	264	0	0	101	0	547	0	0	1552	61	106	70	0	111	2211	11	665	19	0	3053	0	478	749	294	183	697	635	1436	3918	0	11289	2320	3712	6364	10380	13888	8800	2613	7839	2902	7084	10937	2279	976	0	105	0	90	32	38	18212	0	196	0	7	38	67	49	24038	2110	8590	32890	12477	33405	3724	7270	13293	7547	6618	3017	2061	3368	19165	0	608	702	6258	4672	0	1109	1257	15038	2711	50726	90	0	208	33	17	782	326	73	1693	445	266	0	256	5629	2636	28921	30945	21346	9	20985	14826	7435	765	4634	8432	26346	41346	0	3319	30093	0	631	1919	0	7772	2657	15	2791	26373	11812	6738	2602	226	8864	7495
ASV_2	685	6	1590	1728	12	4723	2379	2261	70	20528	1082	307	70	55	9961	108	118	32	24	27	113	26	107	141	15	191	278	16	416	149	15	381	241	0	205	0	0	239	0	564	31	147	458	2394	6076	129	1283	616	1104	5	622	10371	0	0	233	2238	142	340	94	6	15	5653	2801	6642	7084	494	12835	8185	4994	5976	3996	12246	5436	18871	21007	12550	36746	27459	36235	27904	0	0	92	0	10	0	0	364	11184	16	281	0	158	27	0	84	1168	0	14	116	101	9	4027	1378	0	93	6	0	19	27	0	11355	0	0	0	0	5364	0	45	0	19	0	3770	301	16	0	8	26278	1505	4166	38447	11	2677	1775	386	23	5	2871	133	23933	589	0	8969	34	3	0	118	4	28	0	0	5	65	0	1591	0	0	0	22	0	0	0	15654	0	0	325	7	317	48	2211	3311	3133	17	3222	828	173	1191	931	4300
ASV_3	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	29	49	0	0	0	8	14	7	0	0	12	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	27946	27	37374	21472	286	121570	227	0	0	42776	30214	24038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	1941	975	2960	17801	12620	574	0	5591	13051	0	2520	2379	43	4011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	444	0	0	0	0	0	0	0	7070	26041	35191	1725	3367	42990	0	0	9489	0	13599	7665	0	0	0	0	0	0	0	0	0	0	0	57	0	0	55	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0
ASV_4	0	1583	0	13	20305	101	27	7450	4642	0	26	430	16255	8094	1057	1276	3490	9459	1359	8197	4394	2646	1107	8263	3051	10326	1202	10367	2182	1119	5334	4895	0	9739	0	619	2575	1241	0	21	95	283	0	0	373	9287	822	2844	285	9547	20581	0	29	183	0	873	0	446	5970	206	785	2632	0	0	539	24	0	0	0	263	0	0	0	30	0	0	540	0	0	0	2614	907	726	3287	3594	299	3213	0	2881	1883	982	1052	0	0	29	52	47	0	79	43	108	58	48	508	0	267	441	0	7255	1059	15564	0	16480	3319	10575	5138	13207	2193	19436	3976	9313	61	794	0	0	0	10781	0	1367	0	33	5949	0	5620	0	111	101	115	0	235	534	0	52	5578	70	137	43	2853	0	1716	6017	19165	0	54	276	1075	0	1737	109	832	712	1896	2752	3867	0	317	0	0	5898	0	0	0	1751	0	0	0	41	601	178
ASV_5	663	6709	9545	0	7916	133	0	2668	3730	0	2288	1408	9966	3768	0	270	889	1451	118	1901	1406	2434	105	1446	1327	36847	390	1820	264	459	730	563	560	4362	0	368	3752	1079	0	0	2162	0	0	0	148	7133	960	3217	149	15616	7673	21	0	72	0	820	0	125	4347	142	301	1598	0	0	0	0	56	0	0	0	0	1328	0	396	1241	0	0	2226	930	0	675	534	728	1482	4675	1582	3483	283	10672	1682	1518	3601	0	458	0	69	48	0	76	0	1667	194	30	43	0	115	347	12	3424	1378	2491	1398	32013	1798	4814	2506	7621	540	9181	546	0	60	644	0	1506	0	4192	0	1	0	0	7327	0	8241	0	25	70	18	0	160	296	0	0	798	32	70	76	17294	0	5090	2551	12691	0	31	509	46	0	0	0	1546	7377	19486	0	1750	1	0	0	0	5662	0	0	0	5417	0	938	0	0	447	150
ASV_6	15237	46	10714	8	62	15655	25174	14794	1435	28129	20798	2808	0	0	0	0	3	0	0	0	13	0	0	0	0	0	0	0	0	5	0	24	379	0	91	246	664	0	0	416	21	6	35	184	36	15	58	39	7	0	0	0	0	0	0	0	0	0	88	0	0	0	70	0	2195	0	96	55	7	579	171	1901	322	366	483	1367	6	202	0	214	0	68	117	22	0	0	0	136	0	248	193	31	167	647	0	0	0	0	0	0	6	0	0	0	0	0	0	0	40	0	0	82	0	21	0	0	0	103	0	0	0	106	350	0	0	0	51	3601	20428	39045	9535	38	14497	92	0	0	0	0	0	0	0	0	188	0	0	0	0	0	46	0	31	0	0	0	25	66	0	0	0	0	0	0	0	32	0	0	0	0	164	15559	9221	6363	89	7078	25933	11516	97	0	126
ASV_7	0	0	0	0	0	0	0	0	19	0	0	0	0	0	538	0	27	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	11187	268	4160	12344	6501	23432	1908	6893	0	27652	9537	8256	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600	1001	11790	3427	2038	363	0	946	7755	0	3663	94	0	670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4111	0	1656	2121	12152	16776	1942	0	0	2659	9904	21659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	268	7072	989	0	0	0	0	0	0	0
ASV_8	0	0	0	1095	0	0	0	0	0	0	0	0	0	0	1124	0	21	0	0	0	0	27	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	63	0	0	0	0	557	12	82	0	74	0	420	20467	1872	240	3990	3955	777	3114	386	30386	0	7714	469	3198	0	22	421	0	640	12	0	0	0	0	0	583	0	35	0	122	0	64	0	0	0	0	0	0	0	0	427	0	0	0	0	0	2875	3148	8590	2726	890	0	0	2351	410	1378	1358	3546	0	238	0	0	0	38	0	0	8	0	0	0	0	0	4	0	0	0	28	0	0	0	0	0	941	0	0	0	0	1729	970	7817	884	252	3632	41905	107	2418	3228	4639	1285	0	0	0	0	0	15	0	22	0	0	0	0	0	0	0	0	0	3299	379	0	0	18	0	0	0	0	0	0	0	263	1084	1143
ASV_9	925	3614	2325	0	7068	0	1619	1361	3340	1273	466	1553	0	34	228	1902	6235	7370	3101	2300	4263	1784	1845	3510	3729	87	2515	8829	606	1191	9039	5053	320	3088	33	263	910	2701	0	0	0	1535	106	859	1259	2681	544	1232	94	0	0	0	0	0	0	0	0	0	1310	0	0	0	0	0	108	65	0	4	0	0	0	496	0	0	0	0	113	0	0	51	1039	92	654	366	731	224	688	245	790	231	606	368	686	757	0	0	0	0	0	0	83	0	0	0	0	0	0	0	10459	0	0	25	530	4172	327	380	0	1412	2870	0	7	240	93	0	0	0	5156	352	0	7	0	17998	836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	99	4710	453	39	3	0	590	0	0	0	4133	302	2103	0	7075	1163	124	0	2190	979	5	0	0	2059	316	475	0	0	160	22
ASV_10	4	3105	2647	0	2034	1	0	1989	626	0	2	2927	32	10389	0	334	368	1545	540	1158	1684	1442	494	3609	699	3828	71	1741	440	893	798	851	5	1904	0	4	15	434	0	0	39	131	0	0	3	1936	182	385	159	1220	1921	16	0	175	43	177	6	20	193	19	77	4	0	861	0	0	1	0	0	555	0	5	0	350	1	0	988	298	2	0	872	430	659	1638	642	781	1780	4	1319	4	1077	1387	0	3	0	0	36	0	21	0	50	44	37	42	0	17	20	19	1279	91	12010	10	7269	1294	6903	4549	10856	1034	9153	529	2158	136	7	0	2	0	1828	0	249	0	0	1711	2699	2264	0	39	49	12	0	37	63	21	0	255	9	15	39	56	0	758	2773	18544	0	2843	272	546	720	0	0	737	47	0	0	3207	30	0	0	4638	1226	0	0	0	2124	0	5	0	0	753	155
