	reads.in	reads.out
SRR18231040_1_trimmed.fastq.gz	103590	99482
SRR18231041_1_trimmed.fastq.gz	105204	102851
SRR18231042_1_trimmed.fastq.gz	117378	113625
SRR18231043_1_trimmed.fastq.gz	72469	70550
SRR18231044_1_trimmed.fastq.gz	118249	114692
SRR18231045_1_trimmed.fastq.gz	76197	73366
SRR18231046_1_trimmed.fastq.gz	122054	118648
SRR18231047_1_trimmed.fastq.gz	113018	110103
SRR18231048_1_trimmed.fastq.gz	92548	90369
SRR18231049_1_trimmed.fastq.gz	118823	115940
SRR18231050_1_trimmed.fastq.gz	102876	99663
SRR18231051_1_trimmed.fastq.gz	103839	100997
SRR18231052_1_trimmed.fastq.gz	76825	75809
SRR18231053_1_trimmed.fastq.gz	70235	69392
SRR18231054_1_trimmed.fastq.gz	72258	70578
SRR18231055_1_trimmed.fastq.gz	28235	27746
SRR18231056_1_trimmed.fastq.gz	86794	85831
SRR18231057_1_trimmed.fastq.gz	82240	81086
SRR18231058_1_trimmed.fastq.gz	76093	75163
SRR18231059_1_trimmed.fastq.gz	74894	74031
SRR18231060_1_trimmed.fastq.gz	74660	73703
SRR18231061_1_trimmed.fastq.gz	70788	70069
SRR18231062_1_trimmed.fastq.gz	57093	56520
SRR18231063_1_trimmed.fastq.gz	81758	80777
SRR18231064_1_trimmed.fastq.gz	75919	74949
SRR18231065_1_trimmed.fastq.gz	74695	73817
SRR18231066_1_trimmed.fastq.gz	85335	84333
SRR18231067_1_trimmed.fastq.gz	89329	88336
SRR18231068_1_trimmed.fastq.gz	32731	32302
SRR18231069_1_trimmed.fastq.gz	73995	73163
SRR18231070_1_trimmed.fastq.gz	65619	64976
SRR18231071_1_trimmed.fastq.gz	74099	73151
SRR18231072_1_trimmed.fastq.gz	36484	35898
SRR18231073_1_trimmed.fastq.gz	68992	68417
SRR18231074_1_trimmed.fastq.gz	26443	26092
SRR18231075_1_trimmed.fastq.gz	44511	43603
SRR18231076_1_trimmed.fastq.gz	47524	46875
SRR18231077_1_trimmed.fastq.gz	79883	78362
SRR18231078_1_trimmed.fastq.gz	42740	41516
SRR18231079_1_trimmed.fastq.gz	51915	51049
SRR18231080_1_trimmed.fastq.gz	54483	53873
SRR18231081_1_trimmed.fastq.gz	28331	27642
SRR18231082_1_trimmed.fastq.gz	31996	29921
SRR18231083_1_trimmed.fastq.gz	41326	39316
SRR18231084_1_trimmed.fastq.gz	59246	57070
SRR18231085_1_trimmed.fastq.gz	93256	91399
SRR18231086_1_trimmed.fastq.gz	20871	20123
SRR18231087_1_trimmed.fastq.gz	35465	34376
SRR18231088_1_trimmed.fastq.gz	42029	40878
SRR18231089_1_trimmed.fastq.gz	267801	264672
SRR18231090_1_trimmed.fastq.gz	276307	272980
SRR18231091_1_trimmed.fastq.gz	177367	174213
SRR18231092_1_trimmed.fastq.gz	224920	222614
SRR18231093_1_trimmed.fastq.gz	373555	370458
SRR18231094_1_trimmed.fastq.gz	247617	244070
SRR18231095_1_trimmed.fastq.gz	317120	313776
SRR18231096_1_trimmed.fastq.gz	31451	30973
SRR18231097_1_trimmed.fastq.gz	274446	272069
SRR18231098_1_trimmed.fastq.gz	60641	58518
