ASV_ID	Mean ASV length (>100 reads filter)	Assumed Region
SRR18231040	206.745098	V3
SRR18231041	191.6756757	V3
SRR18231042	199.1052632	V3
SRR18231043	179.7777778	V3
SRR18231044	192.6811594	V3
SRR18231045	199.0344828	V3
SRR18231046	206.5076923	V3
SRR18231047	204.203125	V3
SRR18231048	194.7454545	V3
SRR18231049	210.6346154	V3
SRR18231050	207.2926829	V3
SRR18231051	197.3448276	V3
SRR18231052	186.4565217	V3
SRR18231053	194.3103448	V3
SRR18231054	185.8	V3
SRR18231055	194.8421053	V3
SRR18231056	195.1666667	V3
SRR18231057	193.5681818	V3
SRR18231058	191.3076923	V3
SRR18231059	193.90625	V3
SRR18231060	191	V3
SRR18231061	190.7446809	V3
SRR18231062	190.0769231	V3
SRR18231063	193.2727273	V3
SRR18231064	192.9583333	V3
SRR18231065	197.4313725	V3
SRR18231066	193.8	V3
SRR18231067	190.1428571	V3
SRR18231068	190.875	V3
SRR18231069	191.372549	V3
SRR18231070	190.4318182	V3
SRR18231071	194.4081633	V3
SRR18231072	197.4634146	V3
SRR18231073	195.3541667	V3
SRR18231074	193.7368421	V3
SRR18231075	205.9666667	V3
SRR18231076	200.6969697	V3
SRR18231077	190.8076923	V3
SRR18231078	215.5925926	V3
SRR18231079	200.3055556	V3
SRR18231080	198.1470588	V3
SRR18231081	187.35	V3
SRR18231082	194.6875	V3
SRR18231083	196.6363636	V3
SRR18231084	191.7894737	V3
SRR18231085	193.1346154	V3
SRR18231086	187.8461538	V3
SRR18231087	189.3333333	V3
SRR18231088	183.3478261	V3
SRR18231089	179.1707317	V3
SRR18231090	179.411215	V3
SRR18231091	178.183908	V3
SRR18231092	177.1041667	V3
SRR18231093	181.6781609	V3
SRR18231094	178.4508197	V3
SRR18231095	177.18	V3
SRR18231096	179.7142857	V3
SRR18231097	177.6511628	V3
SRR18231098	191.5416667	V3
SRR18231099	175.0877193	V3
SRR18231100	181.8770492	V3
SRR18231101	180.25	V3
SRR18231102	408.3793103	V3-V4
SRR18231103	414.7115385	V3-V4
SRR18231104	193.9722222	V3
SRR18231105	206.4814815	V3
SRR18231106	197.7407407	V3
SRR18231107	190.75	V3
SRR18231108	187.4090909	V3
SRR18231109	208.1	V3
SRR18231110	207.8571429	V3
SRR18231111	197.075	V3
SRR18231112	220.9047619	V3
SRR18231113	205.12	V3
SRR18231114	207.6153846	V3
SRR18231115	192.1914894	V3
SRR18231116	196.6304348	V3
SRR18231117	208.4074074	V3
SRR18231118	199.5217391	V3
SRR18231119	192.4385965	V3
SRR18231120	207.7230769	V3
SRR18231121	202.4339623	V3
SRR18231122	193.5714286	V3
SRR18231123	209.8846154	V3
SRR18231124	198.5348837	V3
SRR18231125	215.137931	V3
SRR18231126	192.7368421	V3
SRR18231127	197.2608696	V3
SRR18231128	192.6603774	V3
SRR18231129	219.375	V3
SRR18231130	188.9074074	V3
SRR18231131	221.0384615	V3
SRR18231132	197.3939394	V3
SRR18231133	194.9333333	V3
SRR18231134	212.3448276	V3
SRR18231135	199.25	V3
SRR18231136	176.5	V3
SRR18231137	177.9166667	V3
SRR18231138	177.4102564	V3
SRR18231139	175.6164384	V3
SRR18231140	179.4157303	V3
SRR18231141	188.5714286	V3
SRR18231142	191.6956522	V3
SRR18231143	176.2758621	V3
SRR18231144	184.0793651	V3
SRR18231145	178.6181818	V3
SRR18231146	184.3090909	V3
SRR18231147	178.2352941	V3
SRR18231148	173	V3
SRR18231149	177.7916667	V3
SRR18231150	194.5084746	V3
SRR18231151	209.9444444	V3
SRR18231152	195.0444444	V3
SRR18231153	197.9487179	V3
SRR18231154	194.6666667	V3
SRR18231155	194.5	V3
SRR18231156	196.6363636	V3
SRR18231157	193.5714286	V3
SRR18231158	195.8292683	V3
SRR18231159	193.9583333	V3
SRR18231160	196.9354839	V3
SRR18231161	195.6923077	V3
SRR18231162	191.625	V3
SRR18231163	190.125	V3
SRR18231164	193.2142857	V3
SRR18231165	198	V3
SRR18231166	180.7857143	V3
SRR18231167	267.6666667	V3
SRR18231168	193.171875	V3
SRR18231169	200.1864407	V3
SRR18231170	203.097561	V3
SRR18231171	204.7555556	V3
SRR18231172	206.3448276	V3
SRR18231173	194.3506494	V3
SRR18231174	216.1428571	V3
SRR18231175	411.5084746	V3-V4
SRR18231176	409.9130435	V3-V4
SRR18231177	410.3035714	V3-V4
SRR18231178	413.1774194	V3-V4
SRR18231179	409.6428571	V3-V4
SRR18231180	197.8297872	V3
SRR18231181	415.7307692	V3-V4
SRR18231182	411	V3-V4
SRR18231183	408.5365854	V3-V4
SRR18231184	410.5679012	V3-V4
SRR18231185	409.5952381	V3-V4
SRR18231186	408.3061224	V3-V4
SRR18231187	409	V3-V4
SRR18231188	408.7	V3-V4
SRR18231189	408.53125	V3-V4
SRR18231190	408.9873418	V3-V4
SRR18231191	182	V3
SRR18231192	412	V3-V4
SRR18231193	409.9390244	V3-V4
SRR18231194	411.0689655	V3-V4
SRR18231195	175.5616438	V3
SRR18231196	175.8222222	V3
SRR18231197	179.0650407	V3
SRR18231198	180.1445783	V3
SRR18231199	188.7922078	V3
SRR18231200	176.9285714	V3
SRR18231201	179.0930233	V3
SRR18231202	194.3703704	V3
SRR18231203	179.425	V3
SRR18231204	178.2527473	V3
SRR18231205	177.8861789	V3
SRR18231206	175.1272727	V3
SRR18231207	196.8787879	V3
SRR18231208	186.8333333	V3
SRR18231209	197.7083333	V3
SRR18231210	193.7692308	V3
SRR18231211	196.2153846	V3
SRR18231212	176.6666667	V3
SRR18231213	194.3913043	V3
SRR18231214	191.7619048	V3
SRR18231215	190.2	V3
SRR18231216	179.5	V3
SRR18231217	192.7272727	V3
SRR18231218	208.45	V3
SRR18231219	192.8518519	V3
SRR18231220	198.9811321	V3
SRR18231221	196.5897436	V3
SRR18231222	193.8333333	V3
SRR18231223	192.030303	V3
SRR18231224	185.46875	V3
SRR18231225	185.4444444	V3
SRR18231226	175.9583333	V3
SRR18231227	188.4117647	V3
SRR18231228	188.04	V3
SRR18231229	197.7741935	V3
SRR18231230	193.9545455	V3
SRR18231231	201.2142857	V3
SRR18231232	194.4067797	V3
SRR18231233	208.6896552	V3
SRR18231234	200.4615385	V3
SRR18231235	202.9444444	V3
SRR18231236	185.7272727	V3
SRR18231237	184	V3
SRR18231238	186.2352941	V3
