	Var1	Freq
1	110	26
2	111	47
3	112	28
4	113	44
5	114	44
6	115	45
7	116	58
8	117	32
9	118	52
10	119	57
11	120	31
12	121	43
13	122	51
14	123	62
15	124	40
16	125	66
17	126	53
18	127	37
19	128	65
20	129	25
21	130	34
22	131	72
23	132	38
24	133	45
25	134	67
26	135	1486
27	136	315
28	137	314
29	138	598
30	139	93
31	140	128
32	141	52
33	142	57
34	143	61
35	144	57
36	145	26
37	146	43
38	147	25
39	148	28
40	149	34
41	150	53
42	151	100
43	152	89
44	153	114
45	154	119
46	155	1016
47	156	146
48	157	134
49	158	46
50	159	78
51	160	1136
52	161	922
53	162	39
54	163	59
55	164	21
56	165	41
57	166	19
58	167	91
59	168	40
60	169	16
61	170	30
62	171	16
63	172	19
64	173	11
65	174	31
66	175	18
67	176	25
68	177	23
69	178	28
70	179	17
71	180	38
72	181	25
73	182	34
74	183	17
75	184	20
76	185	22
77	186	27
78	187	23
79	188	14
80	189	22
81	190	21
82	191	27
83	192	19
84	193	22
85	194	15
86	195	28
87	196	28
88	197	15
89	198	26
90	199	26
91	200	20
92	201	16
93	202	19
94	203	25
95	204	17
96	205	21
97	206	37
98	207	22
99	208	20
