	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR18231040	103590	99482	97923	96525	88542	69618
SRR18231041	105204	102851	102191	102073	100301	95720
SRR18231042	117378	113625	112291	111910	108074	100091
SRR18231043	72469	70550	70116	70229	67713	67556
SRR18231044	118249	114692	114007	114060	112145	109346
SRR18231045	76197	73366	71975	70294	66387	49280
SRR18231046	122054	118648	117049	116087	109298	76863
SRR18231047	113018	110103	108725	108298	103310	93064
SRR18231048	92548	90369	89695	89554	88533	85394
SRR18231049	118823	115940	114543	113577	106665	91612
SRR18231050	102876	99663	98103	96900	89768	76406
SRR18231051	103839	100997	99833	99228	97001	92128
SRR18231052	76825	75809	75474	75503	74061	70118
SRR18231053	70235	69392	69070	69121	67618	67091
SRR18231054	72258	70578	69797	69915	67976	66361
SRR18231055	28235	27746	26919	26776	26248	25859
SRR18231056	86794	85831	85506	85569	84292	83736
SRR18231057	82240	81086	80716	80681	79345	78704
SRR18231058	76093	75163	74800	74854	73548	72962
SRR18231059	74894	74031	73594	73748	72015	71139
SRR18231060	74660	73703	73085	73109	71528	68446
SRR18231061	70788	70069	69713	69727	68207	66497
SRR18231062	57093	56520	56216	56266	54632	53643
SRR18231063	81758	80777	80350	80247	78276	75717
SRR18231064	75919	74949	74520	74550	72009	70085
SRR18231065	74695	73817	73456	73569	72983	72739
SRR18231066	85335	84333	83755	83577	81100	74832
SRR18231067	89329	88336	87988	87998	85539	80779
SRR18231068	32731	32302	31699	31730	31027	30662
SRR18231069	73995	73163	72724	72783	71045	69721
SRR18231070	65619	64976	64672	64679	63064	60765
SRR18231071	74099	73151	72589	72613	70923	68211
SRR18231072	36484	35898	35163	35019	33423	31326
SRR18231073	68992	68417	68017	68123	67185	66268
SRR18231074	26443	26092	25380	25196	24226	22613
SRR18231075	44511	43603	42368	41884	39159	33565
SRR18231076	47524	46875	46152	45931	43747	40551
SRR18231077	79883	78362	77826	77996	75902	75498
SRR18231078	42740	41516	39946	39305	33693	28328
SRR18231079	51915	51049	49792	49304	46734	42510
SRR18231080	54483	53873	53361	53366	50600	50261
SRR18231081	28331	27642	27400	27391	26603	25879
SRR18231082	31996	29921	29014	28194	24302	9780
SRR18231083	41326	39316	38364	37820	34105	20603
SRR18231084	59246	57070	55808	55250	51799	34488
SRR18231085	93256	91399	90621	90947	88277	87095
SRR18231086	20871	20123	19395	19035	17902	12917
SRR18231087	35465	34376	33541	33384	32127	27583
SRR18231088	42029	40878	40456	40672	39420	39297
SRR18231089	267801	264672	263431	264037	254415	229632
SRR18231090	276307	272980	271517	271637	244970	209119
SRR18231091	177367	174213	173233	173428	166679	152681
SRR18231092	224920	222614	221580	221923	205052	163157
SRR18231093	373555	370458	368710	369803	352384	331005
SRR18231094	247617	244070	242381	242473	231666	223276
