Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Attribute,isolation_source
SRR7442256,AMPLICON,502,21749150,PRJNA445279,SAMN09500868,Metagenome or environmental,11379267,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312875,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV292,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV292,SRP136344,,Duodenal sample 19
SRR7442257,AMPLICON,502,25074900,PRJNA445279,SAMN09500869,Metagenome or environmental,13526527,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312874,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV294,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV294,SRP136344,,Duodenal sample 20
SRR7442258,AMPLICON,510,9852180,PRJNA445279,SAMN09500860,Metagenome or environmental,6668905,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312873,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV217,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV217,SRP136344,,Duodenal sample 11
SRR7442259,AMPLICON,510,21093600,PRJNA445279,SAMN09500861,Metagenome or environmental,13985572,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312872,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV224,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV224,SRP136344,,Duodenal sample 12
SRR7442260,AMPLICON,502,31175706,PRJNA445279,SAMN09500862,Metagenome or environmental,16230669,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312871,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV253,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV253,SRP136344,,Duodenal sample 13
SRR7442261,AMPLICON,502,17167396,PRJNA445279,SAMN09500863,Metagenome or environmental,8909646,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312870,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV257,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV257,SRP136344,,Duodenal sample 14
SRR7442262,AMPLICON,502,19092566,PRJNA445279,SAMN09500864,Metagenome or environmental,10289346,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312869,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV264,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV264,SRP136344,,Duodenal sample 15
SRR7442263,AMPLICON,502,21376666,PRJNA445279,SAMN09500865,Metagenome or environmental,11826783,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312868,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV276,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV276,SRP136344,,Duodenal sample 16
SRR7442264,AMPLICON,502,13426492,PRJNA445279,SAMN09500866,Metagenome or environmental,7893115,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312867,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV284,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV284,SRP136344,,Duodenal sample 17
SRR7442265,AMPLICON,502,24613562,PRJNA445279,SAMN09500867,Metagenome or environmental,13344607,MCMASTER UNIVERSITY,missing,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4312866,Canada,North America,Canada: Hamilton,Homo sapiens,Illumina MiSeq,43.25 N 75.87 W,EV288,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2018-06-27T00:00:00Z,2018-06-27T13:03:00Z,1,EV288,SRP136344,,Duodenal sample 18
