ASV_ID	SRR6885556	SRR6885557	SRR6885558	SRR6885559	SRR6885560	SRR6885561	SRR6885562	SRR6885563	SRR6885564	SRR6885565	SRR6885566	SRR6885567	SRR6885568	SRR6885569	SRR6885570	SRR6885571	SRR6885572	SRR6885573	SRR6885574	SRR6885575
ASV_1	0	0	0	0	55717	0	41346	60050	28249	26574	85300	73157	24352	41309	33864	1832	17777	12924	27158	30538
ASV_2	9	0	0	8	519	28779	898	468	4	40	118	65	0	14057	15011	41217	2	12042	16638	18041
ASV_3	5	11	0	11	6816	6397	44214	35937	729	368	21986	8616	2040	8	38	49	1083	7	13	9
ASV_4	0	10051	0	5730	0	9	0	0	0	0	0	0	0	3679	2244	51	0	56679	20188	15113
ASV_5	43994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6	27813	7444	0	5132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12687	0	9690	832	0
ASV_8	1245	18316	0	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	16068
ASV_10	0	0	0	15749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_11	128	180	0	14511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	143	623	0	8156	0	25	0	0	0	0	0	0	0	176	2177	2340	0	164	34	151
ASV_13	0	43	0	256	0	10299	0	0	0	0	0	0	0	113	0	0	0	1939	985	260
ASV_14	0	0	0	0	4148	0	1148	5468	55	279	329	1658	76	15	17	39	330	4	13	108
ASV_15	1428	1293	0	9379	0	0	0	0	0	0	0	0	0	16	39	0	0	0	0	119
ASV_16	16	269	0	477	0	9161	0	0	0	7	0	0	0	79	0	0	0	882	258	315
ASV_17	10162	0	0	169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_18	5401	4340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	314	5848	0	308	0	0	0	0	0	0	0	0	0	49	49	0	13	2322	274	125
ASV_20	1626	3481	0	3323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	1739	1542	0	4994	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0
ASV_22	1952	2376	0	3400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_23	7528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	157	775	0	5417	0	22	0	0	0	0	0	0	0	53	0	110	0	363	11	364
ASV_25	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6950
ASV_26	5958	818	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	30	0	0	0	0	0	0	0	0	0	0	0	0	34	94	0	0	4903	1274	143
ASV_28	0	6284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	2201	3545	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	1306	3671	0	121	0	0	0	0	0	0	0	0	0	0	20	0	0	0	189	0
ASV_31	189	300	0	47	0	0	0	0	0	34	0	0	0	28	126	51	0	1748	2502	77
ASV_32	1339	1272	0	1034	0	0	0	0	0	0	0	0	0	574	401	0	0	0	86	0
ASV_33	0	860	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	133	2674
ASV_34	0	7	0	34	8	10	0	5	0	0	0	0	0	650	2558	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1870	112	0	285	0	589
ASV_36	140	2219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	112
ASV_37	0	0	0	0	36	14	2080	182	13	0	42	70	19	0	85	24	14	0	0	4
ASV_38	161	305	0	54	0	0	0	0	0	0	0	0	0	172	134	0	0	1190	390	113
ASV_39	0	2479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_40	73	2398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_41	407	1936	0	0	0	0	0	0	0	0	0	0	0	27	25	20	0	0	0	0
ASV_42	0	2227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_43	2201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	2155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	315	1608	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_46	575	179	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	516	103	208
ASV_47	0	1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	16	23	0	63	0	0	0	0	0	0	0	0	0	39	45	0	0	1091	313	152
ASV_49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	1091	314	17
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	1432	28	0
ASV_51	260	343	0	726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395
ASV_52	0	1647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	1642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_54	23	40	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	408	803	269
ASV_55	1441	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_56	0	133	0	262	0	0	0	0	0	0	0	0	0	26	72	0	0	1068	0	0
ASV_57	0	1492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	1326	0	0	0	0	0	0	0	0	0	0	0	0	116	38	0	0	0	0	0
ASV_59	0	0	0	0	0	270	0	0	0	0	0	0	0	111	0	521	0	121	173	235
ASV_60	69	1328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	27	25	2	0	0	0	1326
ASV_62	555	739	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1103	102	166
ASV_64	0	1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	497	606	0	46	0	0	0	0	0	0	0	0	0	58	74	34	0	0	0	0
ASV_66	13	900	0	0	7	91	4	27	23	0	7	0	0	13	172	0	28	0	10	7
ASV_67	1257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_68	131	948	0	88	0	0	0	0	0	0	0	0	0	52	31	0	0	0	0	0
ASV_69	0	0	0	0	13	0	540	127	30	0	158	48	151	122	0	0	37	0	0	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301	894
ASV_71	0	1145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	1044	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	856	285	0
ASV_74	0	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_75	85	467	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_76	126	341	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_77	302	722	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_78	132	910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
ASV_79	0	1034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_80	0	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_81	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	478	0	0	0	344
ASV_82	56	697	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_83	70	203	0	697	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
ASV_84	187	751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	0	0	0	358	0	0	0	0	0	0	0	0	0	263	309	0	0	0	0	0
ASV_86	0	929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	651	228	44
ASV_88	141	773	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0
ASV_89	23	101	0	54	0	0	0	0	0	0	0	0	0	42	0	0	0	422	272	0
ASV_90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	110	0	196	0	357
ASV_91	160	151	0	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_92	21	37	0	376	0	0	0	0	0	0	0	0	0	0	0	217	0	164	0	28
ASV_93	0	841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	435	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	0	827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_96	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_97	0	0	0	0	0	190	0	0	0	0	0	0	0	0	367	0	0	0	0	228
ASV_98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	214	0
ASV_99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	558
ASV_100	0	0	0	193	0	0	0	0	0	0	0	0	0	0	559	0	0	0	0	0
ASV_101	0	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	25	16	0	0	9	16	678
ASV_103	718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	0	682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	5	278	0	292	0	33	0	0	0	0	0	0	0	0	0	9	0	42	0	0
ASV_106	49	608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	0	0	0	0	0	114	0	0	0	0	0	0	0	83	105	201	0	45	52	38
ASV_108	0	412	0	57	0	32	0	0	0	0	0	0	0	118	0	17	0	0	0	0
ASV_109	0	0	0	0	0	0	0	0	0	0	0	0	0	252	352	0	0	0	0	0
ASV_110	27	119	0	198	13	73	42	30	0	0	19	15	0	0	13	21	0	0	5	10
ASV_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	6	527
ASV_112	30	30	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	220	52	0
ASV_113	0	468	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_114	0	101	0	373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_115	0	26	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_116	441	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0
ASV_117	418	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	152	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_119	439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_120	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
ASV_122	0	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_123	65	290	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
