	Var1	Freq
1	100	4
2	101	5
3	102	4
4	103	8
5	104	6
6	105	13
7	106	11
8	107	12
9	108	7
10	109	10
11	110	7
12	111	10
13	112	9
14	113	7
15	114	14
16	115	11
17	116	4
18	117	4
19	118	7
20	119	11
21	120	5
22	121	5
23	122	13
24	123	3
25	124	6
26	125	9
27	126	10
28	127	6
29	128	1
30	129	2
31	130	3
32	131	3
33	132	10
34	133	30
35	134	8
36	135	347
37	136	52
38	137	79
39	138	149
40	139	13
41	140	14
42	141	18
43	142	7
44	143	5
45	144	9
46	145	8
47	146	2
48	147	9
49	148	3
50	150	3
51	151	11
52	152	13
53	153	8
54	154	6
55	155	246
56	156	26
57	157	8
58	158	4
59	159	12
60	160	153
61	161	77
62	162	5
63	163	6
64	164	6
65	165	7
66	166	3
67	167	16
68	168	6
69	169	49
70	170	20
71	171	10
72	172	21
73	173	5
74	174	2
75	175	8
76	176	10
77	177	5
78	178	2
79	179	3
80	180	4
81	181	2
82	182	2
83	183	5
84	184	5
85	185	5
86	186	18
87	188	11
