	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR6885556	163238	160128	159610	159490	150912	137001
SRR6885557	156822	153151	152539	152516	139680	128375
SRR6885558	102463	100436	100386	100022	74712	0
SRR6885559	111453	107638	107183	107043	101867	92540
SRR6885560	68796	68270	68043	68017	67873	67396
SRR6885561	78136	75626	73801	72622	63323	59913
SRR6885562	93778	92657	92302	92170	91850	90442
SRR6885563	106232	105025	104682	104461	104102	102585
SRR6885564	29584	29291	29195	29199	29153	29110
SRR6885565	27827	27521	27457	27455	27386	27386
SRR6885566	111536	110251	110132	110093	109828	108007
SRR6885567	85656	84683	84559	84530	84378	83725
SRR6885568	27347	26996	26928	26947	26806	26695
SRR6885569	88639	82318	81143	80216	68962	65634
SRR6885570	94439	85439	83464	82521	68778	65576
SRR6885571	91010	85230	84136	83219	68991	65232
SRR6885572	19794	19566	19528	19347	19304	19290
SRR6885573	130545	124682	123986	123759	119479	117885
SRR6885574	95096	89230	88181	87756	79688	76979
SRR6885575	125325	118026	116889	116150	104645	101614
