	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR19846914	17778	12818	12008	11913	8203	3658
SRR19846915	17748	11126	10287	10022	5767	3433
SRR19846916	34985	23053	21606	21213	15331	5172
SRR19846917	8323	5816	5319	5354	2692	2029
SRR19846918	23337	15842	14444	14914	9147	4388
SRR19846919	16164	9254	8177	8269	5024	2821
SRR19846920	7960	5810	5329	5246	2865	2238
SRR19846921	13091	8921	8641	8451	7092	2265
SRR19846922	18433	13027	12578	12387	9265	3110
SRR19846923	5825	4060	3739	3773	2651	1742
SRR19846924	8087	5450	5069	5154	3286	2234
SRR19846925	10435	7789	7322	7287	4916	3005
SRR19846926	32803	22262	20763	20868	12740	6271
SRR19846927	8860	5276	4637	4676	2229	1523
SRR19846928	15662	11507	10750	10656	6448	3166
SRR19846929	42906	27456	26585	26369	20318	7434
SRR19846930	9864	6439	6217	6118	5529	3966
SRR19846931	6783	4193	3839	3926	2712	1856
SRR19846932	19122	11805	10786	10970	6380	4166
SRR19846933	17568	10161	9615	9643	6894	3859
