ASV_ID	SRR14642225	SRR14642226	SRR14642227	SRR14642228	SRR14642229	SRR14642230	SRR14642231	SRR14642232	SRR14642233	SRR14642234	SRR14642235	SRR14642236	SRR14642237	SRR14642238	SRR14642239	SRR14642240	SRR14642241	SRR14642242	SRR14642243	SRR14642244	SRR14642245	SRR14642246	SRR14642247	SRR14642248	SRR14642249	SRR14642250	SRR14642251	SRR14642252	SRR14642253	SRR14642254	SRR14642255	SRR14642256	SRR14642257	SRR14642258	SRR14642259	SRR14642260	SRR14642261	SRR14642262	SRR14642263	SRR14642264	SRR14642265	SRR14642266	SRR14642267	SRR14642268	SRR14642269	SRR14642270	SRR14642271	SRR14642272	SRR14642273	SRR14642274	SRR14642275	SRR14642276	SRR14642277	SRR14642278	SRR14642279	SRR14642280	SRR14642281	SRR14642282	SRR14642283	SRR14642284	SRR14642285	SRR14642286	SRR14642287	SRR14642288	SRR14642289	SRR14642290	SRR14642291	SRR14642292	SRR14642293	SRR14642294	SRR14642295	SRR14642296	SRR14642297	SRR14642298	SRR14642299	SRR14642300	SRR14642301	SRR14642302	SRR14642303	SRR14642304	SRR14642305	SRR14642306	SRR14642307	SRR14642308	SRR14642309	SRR14642310	SRR14642311	SRR14642312	SRR14642313	SRR14642314	SRR14642315	SRR14642316	SRR14642317	SRR14642318	SRR14642319	SRR14642320	SRR14642321	SRR14642322	SRR14642323	SRR14642324	SRR14642325	SRR14642326	SRR14642327	SRR14642328	SRR14642329	SRR14642330	SRR14642331	SRR14642332	SRR14642333	SRR14642334	SRR14642335	SRR14642336	SRR14642337	SRR14642338	SRR14642339	SRR14642340	SRR14642341	SRR14642342	SRR14642343	SRR14642344	SRR14642345	SRR14642346	SRR14642347	SRR14642348	SRR14642349	SRR14642350	SRR14642351	SRR14642352	SRR14642353	SRR14642354	SRR14642355	SRR14642356	SRR14642357	SRR14642358	SRR14642359	SRR14642360	SRR14642361	SRR14642362	SRR14642363	SRR14642364	SRR14642365	SRR14642366	SRR14642367	SRR14642368	SRR14642369	SRR14642370	SRR14642371	SRR14642372	SRR14642373	SRR14642374	SRR14642375	SRR14642376	SRR14642377	SRR14642378	SRR14642379	SRR14642380	SRR14642381	SRR14642382	SRR14642383	SRR14642384	SRR14642385	SRR14642386	SRR14642387	SRR14642388	SRR14642389	SRR14642390	SRR14642391	SRR14642392	SRR14642393	SRR14642394	SRR14642395	SRR14642396	SRR14642397	SRR14642398	SRR14642399	SRR14642400	SRR14642401	SRR14642402	SRR14642403	SRR14642404	SRR14642405	SRR14642406	SRR14642407	SRR14642408	SRR14642409	SRR14642410	SRR14642411	SRR14642412	SRR14642413	SRR14642414	SRR14642415	SRR14642416	SRR14642417	SRR14642418	SRR14642419	SRR14642420	SRR14642421	SRR14642422	SRR14642423	SRR14642424	SRR14642425	SRR14642426	SRR14642427	SRR14642428	SRR14642429	SRR14642430	SRR14642431	SRR14642432	SRR14642433	SRR14642434	SRR14642435	SRR14642436	SRR14642437	SRR14642438	SRR14642439	SRR14642440	SRR14642441	SRR14642442	SRR14642443	SRR14642444	SRR14642445	SRR14642446	SRR14642447	SRR14642448	SRR14642449	SRR14642450	SRR14642451
ASV_1	199	67	135	47	80	0	103	76	125	78	107	33	38	23	20	39	0	28	22	48	30	128	89	0	83	83	50	40	0	68	267	61	85	18	42	0	51	73	91	46	109	20	137	0	39	62	89	37	31	37	159	186	62	28	0	0	38	38	46	60	0	25	74	80	688	29	342	125	69	190	147	0	0	0	23	329	26	56	121	117	136	77	42	245	417	224	499	144	65	99	90	57	24	26	63	37	28	160	104	38	345	312	299	30	166	68	27	42	752	38	29	107	51	20	34	53	51	51	210	38	55	20	81	38	102	79	57	0	39	68	82	104	214	311	150	54	50	88	127	89	84	345	28	55	9	69	26	0	178	204	95	313	36	120	0	195	144	324	24	28	125	28	19	45	304	125	182	56	160	200	256	16	97	45	147	74	637	1112	113	55	58	129	28	184	533	60	85	91	29	251	24	69	79	0	0	0	204	125	109	0	41	41	0	17	26	40	43	20	14	14	0	223	33	228	0	60	99	31	58	0	20	30	102	23	325	217	23
ASV_2	43	149	46	31	55	24	78	276	224	36	140	28	64	101	27	25	89	57	66	17	207	137	64	35	15	70	47	57	52	32	0	37	127	22	0	0	61	61	123	18	46	56	32	22	42	151	82	19	24	0	0	0	0	61	108	32	204	107	64	32	251	156	64	19	0	50	67	255	79	290	29	72	85	36	35	0	33	31	53	72	55	39	73	115	130	47	0	20	83	111	98	30	63	17	20	46	40	256	0	55	115	79	67	100	117	23	38	135	37	51	16	60	60	122	208	27	25	0	67	20	24	20	44	32	35	19	370	86	30	0	105	53	47	124	389	169	47	156	551	419	0	627	79	380	187	161	403	57	413	229	322	0	125	324	329	210	133	86	134	27	157	38	116	220	0	170	148	104	87	56	127	92	117	116	198	0	0	0	114	25	162	70	0	49	129	74	35	101	18	35	81	177	138	109	153	91	48	87	39	38	0	14	124	71	207	85	150	87	38	24	27	171	23	0	25	48	22	129	40	11	202	85	325	50	47	166	72
ASV_3	169	71	119	9	81	101	64	93	113	57	58	19	28	30	19	28	0	19	19	40	30	104	45	0	61	87	32	35	0	56	223	51	74	28	56	51	46	86	90	39	82	18	92	0	39	49	68	41	20	32	133	185	69	18	71	0	50	27	32	20	23	36	49	64	493	21	277	108	68	151	107	0	47	0	22	232	18	44	98	98	100	65	30	184	398	155	391	105	48	75	71	47	37	14	0	20	33	125	0	36	270	243	288	26	127	45	11	35	682	31	16	60	49	13	47	46	25	24	127	19	46	21	46	18	71	52	38	0	34	76	67	86	159	239	124	36	0	70	144	72	68	309	17	62	35	52	13	82	151	132	0	278	31	131	37	160	132	270	17	29	97	30	25	0	269	104	135	51	152	188	269	12	100	39	111	61	464	1053	101	18	41	101	24	133	372	40	44	52	13	173	0	66	71	0	0	0	200	99	92	0	27	33	0	24	30	28	49	13	18	0	66	166	16	210	0	60	70	19	0	0	24	33	72	19	257	179	32
ASV_4	38	113	39	14	56	23	63	246	193	41	130	37	51	75	40	23	57	48	51	13	180	140	45	19	17	55	38	37	50	36	0	50	108	13	0	0	57	46	95	10	50	41	33	25	32	130	79	30	20	0	0	0	0	68	73	17	182	96	71	23	231	155	59	34	0	0	60	207	62	224	20	69	48	34	32	0	16	36	52	64	56	43	45	90	103	55	0	22	72	112	96	24	60	18	19	44	32	187	92	38	88	67	49	81	118	16	20	122	34	41	24	59	64	90	167	35	35	0	57	26	16	14	43	27	22	26	273	59	17	0	77	42	59	108	284	126	53	104	472	386	0	515	66	333	136	120	369	51	341	192	254	0	74	266	265	165	112	77	104	16	144	35	79	182	0	136	140	86	60	82	132	68	110	90	153	0	0	0	84	30	135	55	0	23	96	53	35	79	14	36	65	167	118	112	150	84	29	83	41	34	30	14	99	63	145	65	130	70	56	31	26	176	29	0	10	34	25	107	38	13	166	78	272	38	37	139	74
ASV_5	141	48	104	28	63	0	78	66	99	63	84	30	22	23	24	23	0	26	16	24	22	98	45	0	53	67	29	18	0	47	191	44	57	21	30	0	43	48	62	37	97	16	103	121	28	34	49	36	23	33	129	139	63	22	0	0	45	32	24	26	52	17	0	49	547	17	263	87	38	123	101	20	0	0	17	262	30	45	104	96	70	44	28	155	333	208	307	105	51	60	56	26	28	21	0	35	35	109	0	26	307	210	203	38	121	46	9	28	566	13	20	57	30	9	35	39	28	0	127	21	31	15	34	23	71	0	30	0	40	69	69	84	147	229	104	28	0	93	134	74	45	245	20	22	16	49	20	0	144	120	0	233	35	91	0	124	121	220	19	39	84	23	14	0	249	104	124	51	108	171	243	26	77	33	96	46	474	948	115	0	32	97	27	121	366	53	52	73	22	155	66	50	79	0	0	0	169	91	108	0	19	22	0	13	15	0	40	16	8	31	0	149	24	182	0	55	79	34	0	0	17	15	80	11	264	180	29
ASV_6	143	48	96	25	62	0	84	60	116	49	74	17	24	15	15	37	0	16	24	37	29	85	42	0	53	67	33	31	0	52	226	43	54	19	49	69	36	46	62	31	99	7	81	42	29	42	68	36	19	26	114	122	64	19	0	0	31	20	26	0	22	23	21	54	454	17	219	108	61	115	90	69	57	0	24	269	29	46	97	89	66	40	24	152	273	156	366	85	42	51	71	30	32	10	15	21	25	107	0	31	238	206	194	15	100	38	19	29	516	21	15	58	33	9	31	37	18	0	162	0	42	20	55	26	73	0	19	0	27	45	61	79	157	203	108	26	71	61	90	68	47	278	21	37	28	49	33	44	140	117	0	248	27	76	0	113	97	191	14	29	86	19	14	0	189	98	113	58	96	140	226	14	65	30	97	46	437	852	74	12	45	84	15	104	377	37	64	84	22	187	29	49	55	0	0	0	134	86	86	0	16	25	0	14	18	10	38	15	0	11	57	140	16	201	0	47	57	33	41	0	15	23	93	14	217	191	13
ASV_7	29	115	27	11	47	20	52	237	172	22	126	28	50	75	41	25	51	43	51	15	142	107	54	22	14	52	23	24	52	22	0	19	91	12	0	0	55	46	77	12	38	36	31	28	42	118	61	27	19	0	0	0	0	89	65	17	161	95	49	24	191	99	51	24	0	0	53	178	60	214	12	50	39	26	16	0	22	23	57	50	45	31	52	89	101	46	0	21	71	91	92	17	59	11	17	31	16	176	0	38	80	57	53	94	91	29	24	96	36	44	23	54	52	96	168	21	29	0	58	15	25	20	40	23	17	25	277	37	26	0	62	33	47	90	298	104	32	77	457	302	0	372	74	285	168	116	307	53	298	180	226	0	82	283	201	155	80	76	94	12	132	30	59	170	0	134	134	63	69	51	91	68	83	81	170	0	0	0	76	26	114	60	0	34	101	53	23	75	10	26	45	127	91	95	119	97	34	65	47	28	0	9	68	56	113	65	123	65	39	14	19	137	20	0	18	38	21	82	22	19	134	67	249	38	43	100	54
ASV_8	30	132	35	19	53	30	55	227	140	23	106	39	51	52	37	15	67	47	55	16	157	131	44	24	12	67	44	42	49	21	0	27	67	22	0	0	52	42	93	18	29	40	28	11	33	119	72	15	26	0	0	0	0	59	57	16	159	118	56	30	189	104	46	24	0	0	53	176	60	197	16	69	57	24	37	0	15	24	58	44	44	21	46	73	88	35	0	23	60	83	82	24	58	10	18	27	25	164	0	21	84	65	55	55	102	21	23	78	17	30	15	58	63	84	164	33	27	0	64	15	24	17	39	21	32	28	223	43	18	0	60	34	43	101	239	109	23	79	417	313	0	419	44	265	148	114	278	42	311	156	207	0	70	227	231	156	90	71	66	22	120	27	58	159	0	111	120	51	61	65	131	72	64	72	152	0	0	0	78	21	94	54	0	35	94	47	23	67	15	30	59	152	105	79	134	66	37	69	37	32	23	11	79	51	111	58	112	65	36	29	17	148	14	0	13	30	13	92	23	22	144	54	226	31	26	125	56
ASV_9	152	40	100	8	32	0	56	54	101	33	58	7	19	0	0	13	0	7	11	44	14	71	31	0	30	34	16	19	0	23	194	28	54	18	41	0	32	39	51	22	71	11	83	0	22	29	45	26	10	24	89	86	38	18	0	0	17	21	32	0	0	20	33	50	428	18	166	75	73	126	60	0	0	0	15	230	22	27	82	78	87	40	21	157	344	133	330	95	41	73	66	20	24	3	0	37	17	113	0	14	238	189	208	21	93	30	9	17	455	27	9	60	24	7	31	39	36	11	123	14	30	11	39	19	36	0	23	0	20	54	44	80	118	206	106	9	0	51	97	71	45	209	25	35	9	48	13	0	163	107	44	180	18	59	0	90	110	204	21	25	90	17	12	0	255	82	114	30	95	156	178	15	45	25	82	65	511	896	91	51	44	85	17	126	318	38	59	59	16	164	16	52	35	0	0	0	186	76	70	0	21	20	0	20	15	18	28	12	22	9	0	121	11	198	0	39	67	36	19	0	19	16	43	8	223	142	9
ASV_10	139	31	105	17	47	0	69	45	88	54	54	18	31	18	20	20	0	17	36	33	12	78	23	0	34	55	25	25	0	51	179	35	40	22	37	0	36	58	61	24	96	14	72	0	21	29	62	29	14	21	111	106	53	23	120	0	29	15	24	0	19	17	0	51	389	25	225	77	58	105	93	0	0	0	12	237	9	32	101	93	68	20	21	172	251	140	289	84	32	63	66	29	16	23	0	11	24	110	0	15	235	189	198	23	94	29	19	35	467	24	13	63	32	15	29	35	25	0	128	14	29	18	43	13	53	16	31	0	26	71	66	75	116	215	85	20	0	65	97	43	56	202	18	29	18	43	12	0	134	106	0	202	29	68	48	110	83	187	14	32	80	30	14	0	214	91	92	49	98	144	173	18	61	34	72	45	369	738	80	0	45	66	14	111	342	31	40	58	26	141	0	29	48	0	0	0	122	85	75	0	16	18	0	8	13	0	31	16	44	9	0	127	37	154	0	55	51	36	17	0	13	20	55	9	202	160	27
