	reads.in	reads.out
SRR14642225_1.fastq.gz	102300	52456
SRR14642226_1.fastq.gz	131392	53193
SRR14642227_1.fastq.gz	115101	37501
SRR14642228_1.fastq.gz	56153	20194
SRR14642229_1.fastq.gz	123744	44614
SRR14642230_1.fastq.gz	121598	50081
SRR14642231_1.fastq.gz	123428	51625
SRR14642232_1.fastq.gz	201605	80953
SRR14642233_1.fastq.gz	130377	67028
SRR14642234_1.fastq.gz	183224	18303
SRR14642235_1.fastq.gz	417048	154644
SRR14642236_1.fastq.gz	112352	41345
SRR14642237_1.fastq.gz	130437	44724
SRR14642238_1.fastq.gz	118862	43657
SRR14642239_1.fastq.gz	134204	56934
SRR14642240_1.fastq.gz	124605	52287
SRR14642241_1.fastq.gz	72786	26868
SRR14642242_1.fastq.gz	100040	29945
SRR14642243_1.fastq.gz	114068	45475
SRR14642244_1.fastq.gz	66355	36287
SRR14642245_1.fastq.gz	122184	51466
SRR14642246_1.fastq.gz	156858	66180
SRR14642247_1.fastq.gz	236641	106790
SRR14642248_1.fastq.gz	127258	39890
SRR14642249_1.fastq.gz	114553	49709
SRR14642250_1.fastq.gz	126718	36494
SRR14642251_1.fastq.gz	127117	42131
SRR14642252_1.fastq.gz	107249	35009
SRR14642253_1.fastq.gz	96426	29555
SRR14642254_1.fastq.gz	76635	30820
SRR14642255_1.fastq.gz	75195	43919
SRR14642256_1.fastq.gz	114604	55915
SRR14642257_1.fastq.gz	81526	28259
SRR14642258_1.fastq.gz	98117	40415
SRR14642259_1.fastq.gz	100819	36189
SRR14642260_1.fastq.gz	103236	39461
SRR14642261_1.fastq.gz	89986	19383
SRR14642262_1.fastq.gz	130188	48948
SRR14642263_1.fastq.gz	131887	56221
SRR14642264_1.fastq.gz	128299	55797
SRR14642265_1.fastq.gz	459721	140844
SRR14642266_1.fastq.gz	72231	23557
SRR14642267_1.fastq.gz	90145	41648
SRR14642268_1.fastq.gz	85038	27379
SRR14642269_1.fastq.gz	59964	22261
SRR14642270_1.fastq.gz	85431	27980
SRR14642271_1.fastq.gz	72458	26206
SRR14642272_1.fastq.gz	82372	28000
SRR14642273_1.fastq.gz	79530	27085
SRR14642274_1.fastq.gz	82653	23597
SRR14642275_1.fastq.gz	75142	26046
SRR14642276_1.fastq.gz	90208	33976
SRR14642277_1.fastq.gz	75954	30074
SRR14642278_1.fastq.gz	94986	48568
SRR14642279_1.fastq.gz	158435	57824
SRR14642280_1.fastq.gz	155938	63025
SRR14642281_1.fastq.gz	127971	50672
SRR14642282_1.fastq.gz	77347	37142
SRR14642283_1.fastq.gz	105875	42905
SRR14642284_1.fastq.gz	137193	51876
SRR14642285_1.fastq.gz	196837	66857
SRR14642286_1.fastq.gz	125032	52474
SRR14642287_1.fastq.gz	148678	59036
SRR14642288_1.fastq.gz	130224	54500
SRR14642289_1.fastq.gz	87778	48442
SRR14642290_1.fastq.gz	121507	51658
SRR14642291_1.fastq.gz	326424	150241
SRR14642292_1.fastq.gz	129113	49293
SRR14642293_1.fastq.gz	118137	44757
SRR14642294_1.fastq.gz	207956	78899
SRR14642295_1.fastq.gz	68873	25922
SRR14642296_1.fastq.gz	111128	32073
SRR14642297_1.fastq.gz	160634	59992
SRR14642298_1.fastq.gz	150079	56473
SRR14642299_1.fastq.gz	146444	60662
SRR14642300_1.fastq.gz	135938	80256
SRR14642301_1.fastq.gz	83327	33789
SRR14642302_1.fastq.gz	119848	42346
SRR14642303_1.fastq.gz	153043	56386
SRR14642304_1.fastq.gz	155688	59779
SRR14642305_1.fastq.gz	128921	67646
SRR14642306_1.fastq.gz	105737	57386
SRR14642307_1.fastq.gz	110711	54531
SRR14642308_1.fastq.gz	83530	41174
SRR14642309_1.fastq.gz	101789	59832
SRR14642310_1.fastq.gz	121420	60216
SRR14642311_1.fastq.gz	49370	28096
SRR14642312_1.fastq.gz	124082	59848
SRR14642313_1.fastq.gz	109514	57836
SRR14642314_1.fastq.gz	188244	101155
SRR14642315_1.fastq.gz	86363	43703
SRR14642316_1.fastq.gz	70141	35188
SRR14642317_1.fastq.gz	89856	44938
SRR14642318_1.fastq.gz	80121	43424
SRR14642319_1.fastq.gz	98407	52274
SRR14642320_1.fastq.gz	112578	56554
SRR14642321_1.fastq.gz	72570	32274
SRR14642322_1.fastq.gz	195349	106154
SRR14642323_1.fastq.gz	70158	13209
SRR14642324_1.fastq.gz	93887	35910
SRR14642325_1.fastq.gz	80735	42362
SRR14642326_1.fastq.gz	111813	54364
SRR14642327_1.fastq.gz	106825	55141
SRR14642328_1.fastq.gz	97379	47487
SRR14642329_1.fastq.gz	115113	57606
SRR14642330_1.fastq.gz	49063	26210
SRR14642331_1.fastq.gz	83462	39438
SRR14642332_1.fastq.gz	100188	52153
SRR14642333_1.fastq.gz	123826	59167
SRR14642334_1.fastq.gz	62853	35341
SRR14642335_1.fastq.gz	102326	49820
SRR14642336_1.fastq.gz	120070	62295
SRR14642337_1.fastq.gz	95323	47087
SRR14642338_1.fastq.gz	117463	61958
SRR14642339_1.fastq.gz	109692	37447
SRR14642340_1.fastq.gz	115187	60998
SRR14642341_1.fastq.gz	110077	57256
SRR14642342_1.fastq.gz	106288	47383
SRR14642343_1.fastq.gz	73881	43221
SRR14642344_1.fastq.gz	114131	62119
SRR14642345_1.fastq.gz	123737	67528
SRR14642346_1.fastq.gz	85254	42918
SRR14642347_1.fastq.gz	76242	47412
SRR14642348_1.fastq.gz	95976	49755
SRR14642349_1.fastq.gz	122495	69772
SRR14642350_1.fastq.gz	107646	58124
SRR14642351_1.fastq.gz	92871	53094
SRR14642352_1.fastq.gz	116901	67583
SRR14642353_1.fastq.gz	108561	48533
SRR14642354_1.fastq.gz	88612	44019
SRR14642355_1.fastq.gz	116702	56571
SRR14642356_1.fastq.gz	174620	87396
SRR14642357_1.fastq.gz	116912	58880
SRR14642358_1.fastq.gz	124161	72832
SRR14642359_1.fastq.gz	146579	84620
SRR14642360_1.fastq.gz	172085	80618
SRR14642361_1.fastq.gz	120502	61669
SRR14642362_1.fastq.gz	127857	58343
SRR14642363_1.fastq.gz	130977	66626
SRR14642364_1.fastq.gz	131328	69507
SRR14642365_1.fastq.gz	78668	27091
SRR14642366_1.fastq.gz	164313	89837
SRR14642367_1.fastq.gz	77879	41622
SRR14642368_1.fastq.gz	140498	66561
SRR14642369_1.fastq.gz	115558	59100
SRR14642370_1.fastq.gz	175975	86115
SRR14642371_1.fastq.gz	138154	69751
SRR14642372_1.fastq.gz	90349	21421
SRR14642373_1.fastq.gz	143685	74545
SRR14642374_1.fastq.gz	131804	71688
SRR14642375_1.fastq.gz	134308	70109
SRR14642376_1.fastq.gz	178830	96637
SRR14642377_1.fastq.gz	155230	76293
SRR14642378_1.fastq.gz	169668	87378
SRR14642379_1.fastq.gz	106742	51923
SRR14642380_1.fastq.gz	102976	58816
SRR14642381_1.fastq.gz	123664	62944
SRR14642382_1.fastq.gz	139203	73638
SRR14642383_1.fastq.gz	144509	75388
SRR14642384_1.fastq.gz	151129	84736
SRR14642385_1.fastq.gz	161334	88133
SRR14642386_1.fastq.gz	136331	73110
SRR14642387_1.fastq.gz	68913	34971
SRR14642388_1.fastq.gz	154483	79508
SRR14642389_1.fastq.gz	152462	72990
SRR14642390_1.fastq.gz	124076	62463
SRR14642391_1.fastq.gz	118254	57522
SRR14642392_1.fastq.gz	97356	45644
SRR14642393_1.fastq.gz	67268	40290
SRR14642394_1.fastq.gz	107017	57418
SRR14642395_1.fastq.gz	134847	76904
SRR14642396_1.fastq.gz	136246	64793
SRR14642397_1.fastq.gz	73117	31653
SRR14642398_1.fastq.gz	91732	50633
SRR14642399_1.fastq.gz	122035	44920
SRR14642400_1.fastq.gz	138040	49408
SRR14642401_1.fastq.gz	140687	68598
SRR14642402_1.fastq.gz	183886	91630
SRR14642403_1.fastq.gz	97615	47733
SRR14642404_1.fastq.gz	51768	24594
SRR14642405_1.fastq.gz	98939	44954
SRR14642406_1.fastq.gz	67428	37600
SRR14642407_1.fastq.gz	35400	11538
SRR14642408_1.fastq.gz	55693	24431
SRR14642409_1.fastq.gz	124099	64803
SRR14642410_1.fastq.gz	101109	44827
SRR14642411_1.fastq.gz	64002	30125
SRR14642412_1.fastq.gz	81811	32903
SRR14642413_1.fastq.gz	78907	32451
SRR14642414_1.fastq.gz	95034	44586
SRR14642415_1.fastq.gz	76376	34111
SRR14642416_1.fastq.gz	125795	73548
SRR14642417_1.fastq.gz	99154	47121
SRR14642418_1.fastq.gz	84153	39220
SRR14642419_1.fastq.gz	93177	42370
SRR14642420_1.fastq.gz	108722	45086
SRR14642421_1.fastq.gz	94366	49940
SRR14642422_1.fastq.gz	132579	71274
SRR14642423_1.fastq.gz	150648	82279
SRR14642424_1.fastq.gz	157383	69769
SRR14642425_1.fastq.gz	79611	38265
SRR14642426_1.fastq.gz	55252	28364
SRR14642427_1.fastq.gz	128248	75370
SRR14642428_1.fastq.gz	132089	71745
SRR14642429_1.fastq.gz	85049	45436
SRR14642430_1.fastq.gz	97411	53544
SRR14642431_1.fastq.gz	123902	54121
SRR14642432_1.fastq.gz	92795	45355
SRR14642433_1.fastq.gz	145803	66906
SRR14642434_1.fastq.gz	70548	31802
SRR14642435_1.fastq.gz	71618	31876
SRR14642436_1.fastq.gz	141405	62487
SRR14642437_1.fastq.gz	56193	29247
SRR14642438_1.fastq.gz	95142	54485
SRR14642439_1.fastq.gz	76650	30765
SRR14642440_1.fastq.gz	93939	47866
SRR14642441_1.fastq.gz	89733	46377
SRR14642442_1.fastq.gz	89066	46689
SRR14642443_1.fastq.gz	83288	37895
SRR14642444_1.fastq.gz	98265	38056
SRR14642445_1.fastq.gz	104994	46785
SRR14642446_1.fastq.gz	107754	49061
SRR14642447_1.fastq.gz	107604	50385
SRR14642448_1.fastq.gz	88980	43969
SRR14642449_1.fastq.gz	142512	80326
SRR14642450_1.fastq.gz	117936	61196
SRR14642451_1.fastq.gz	83607	36388
