	Var1	Freq
1	281	2
2	296	4
3	298	17
4	338	19
5	340	1
6	342	7
7	357	3
8	362	5
9	365	1
10	372	1
11	374	1
12	379	1
13	380	1
14	381	1
15	382	7
16	386	1
17	388	32
18	392	1
19	396	1
20	399	1
21	400	1
22	404	1
23	421	1
24	424	66
25	426	6
26	430	4
27	438	3
28	439	1044
29	440	23054
30	441	1844
31	442	3994
32	443	1507
33	444	218
34	445	229
35	446	813
36	447	17
37	448	5
38	449	3
39	450	15
40	453	2
41	456	22
42	457	4
43	458	86
44	459	1559
45	460	51907
46	461	1098
47	462	7
48	463	7
49	464	542
50	465	6900
51	466	1497
52	539	1
53	545	1
