	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR14642225	102300	52456	51291	51575	47999	15010
SRR14642226	131392	53193	51813	52361	49170	13114
SRR14642227	115101	37501	36632	36916	34447	12308
SRR14642228	56153	20194	19624	19957	18701	11305
SRR14642229	123744	44614	43440	43714	37237	14002
SRR14642230	121598	50081	48310	48970	43391	9833
SRR14642231	123428	51625	50489	51127	48250	8965
SRR14642232	201605	80953	78958	79921	72878	23221
SRR14642233	130377	67028	65890	65879	60787	34604
SRR14642234	183224	18303	17387	17743	13798	5859
SRR14642235	417048	154644	152288	152865	139519	30375
SRR14642236	112352	41345	39766	40379	36263	9204
SRR14642237	130437	44724	43538	43999	37112	10815
SRR14642238	118862	43657	41926	42627	37342	12420
SRR14642239	134204	56934	55380	55972	51503	8879
SRR14642240	124605	52287	50684	51214	46058	9678
SRR14642241	72786	26868	25737	26077	21093	14968
SRR14642242	100040	29945	29257	29400	27267	13199
SRR14642243	114068	45475	44289	44603	40589	15119
SRR14642244	66355	36287	35647	35693	33062	9794
SRR14642245	122184	51466	49869	50481	45992	16166
SRR14642246	156858	66180	65073	65402	61038	14528
SRR14642247	236641	106790	105653	106082	96227	14771
SRR14642248	127258	39890	39123	39386	35374	13312
SRR14642249	114553	49709	48921	49158	45948	14585
SRR14642250	126718	36494	35482	35867	32979	10820
SRR14642251	127117	42131	41221	41539	38379	8054
SRR14642252	107249	35009	34097	34267	31714	12207
SRR14642253	96426	29555	28895	28882	26324	9549
SRR14642254	76635	30820	29920	30220	27991	14238
SRR14642255	75195	43919	43094	43325	39877	11239
SRR14642256	114604	55915	54544	55110	51633	15076
SRR14642257	81526	28259	27393	27751	25106	14674
SRR14642258	98117	40415	39700	39633	36014	14609
SRR14642259	100819	36189	34907	35516	32740	8465
SRR14642260	103236	39461	37714	38475	34141	10229
SRR14642261	89986	19383	18903	19008	17829	10027
SRR14642262	130188	48948	47759	48166	43786	9735
SRR14642263	131887	56221	54947	55377	51292	11541
SRR14642264	128299	55797	54413	54907	49424	8733
SRR14642265	459721	140844	138645	139261	129899	15320
SRR14642266	72231	23557	22631	22985	20872	5206
SRR14642267	90145	41648	40558	40881	37153	6267
SRR14642268	85038	27379	26274	26657	23117	4811
SRR14642269	59964	22261	20997	21398	18552	8551
SRR14642270	85431	27980	26953	27079	23347	10367
SRR14642271	72458	26206	25151	25397	22321	6922
SRR14642272	82372	28000	26897	27305	24943	7301
SRR14642273	79530	27085	26056	26579	24843	7648
SRR14642274	82653	23597	22689	23070	20494	5875
SRR14642275	75142	26046	25281	25558	22978	5575
SRR14642276	90208	33976	32896	33385	29602	6896
SRR14642277	75954	30074	29358	29592	26773	4055
SRR14642278	94986	48568	47332	47668	43736	12791
SRR14642279	158435	57824	55916	56821	51137	13085
SRR14642280	155938	63025	61409	62166	55675	16206
SRR14642281	127971	50672	49361	49775	44639	12435
SRR14642282	77347	37142	35861	36356	32912	13636
SRR14642283	105875	42905	41577	41905	38198	10942
SRR14642284	137193	51876	50434	51013	46984	21058
SRR14642285	196837	66857	64765	65600	50678	25196
SRR14642286	125032	52474	51038	51431	47661	15581
SRR14642287	148678	59036	56988	57609	50504	23910
SRR14642288	130224	54500	53035	53571	48012	11253
SRR14642289	87778	48442	47578	47941	45236	22782
SRR14642290	121507	51658	50586	50959	45754	6886
SRR14642291	326424	150241	148286	149119	140511	35320
SRR14642292	129113	49293	47891	48294	43792	21963
SRR14642293	118137	44757	43747	44132	39475	18555
SRR14642294	207956	78899	76842	77737	69188	33855
SRR14642295	68873	25922	25366	25543	23264	8894
SRR14642296	111128	32073	31357	31378	29776	20328
SRR14642297	160634	59992	59033	59353	54590	38556
SRR14642298	150079	56473	54438	55212	49818	19546
SRR14642299	146444	60662	58509	59458	54055	19381
SRR14642300	135938	80256	79254	79495	73773	27364
SRR14642301	83327	33789	32737	32967	30391	12186
SRR14642302	119848	42346	40671	41258	36200	13574
SRR14642303	153043	56386	54281	55089	48559	23951
SRR14642304	155688	59779	57870	58711	52785	16681
SRR14642305	128921	67646	66134	66822	62791	27194
SRR14642306	105737	57386	55974	56318	50900	11863
SRR14642307	110711	54531	53351	53890	50543	23892
SRR14642308	83530	41174	40442	40652	36957	26449
SRR14642309	101789	59832	58979	59172	55809	21550
SRR14642310	121420	60216	58599	59158	51168	19761
SRR14642311	49370	28096	27588	27695	26482	12527
SRR14642312	124082	59848	58549	59021	55228	20367
SRR14642313	109514	57836	56463	56836	51039	19879
SRR14642314	188244	101155	99226	99982	92477	28921
SRR14642315	86363	43703	42669	43041	40020	13005
SRR14642316	70141	35188	34289	34651	31364	7743
SRR14642317	89856	44938	44035	44157	40635	9008
SRR14642318	80121	43424	42150	42623	38052	5448
SRR14642319	98407	52274	50850	51380	47202	8359
SRR14642320	112578	56554	55037	55576	50622	12351
SRR14642321	72570	32274	31630	31866	30079	4202
SRR14642322	195349	106154	104085	104880	96541	29383
SRR14642323	70158	13209	12708	12571	10594	3751
SRR14642324	93887	35910	34993	35335	32480	12005
SRR14642325	80735	42362	41414	41825	37752	15594
SRR14642326	111813	54364	53214	53601	49931	13353
SRR14642327	106825	55141	53980	54230	50332	13345
SRR14642328	97379	47487	45943	46558	42319	13197
SRR14642329	115113	57606	55993	56544	48589	13928
SRR14642330	49063	26210	25065	25447	22596	6019
SRR14642331	83462	39438	38247	38489	34844	8529
SRR14642332	100188	52153	50649	51349	46016	13903
SRR14642333	123826	59167	57393	57941	52921	29585
SRR14642334	62853	35341	34174	34637	31658	12656
SRR14642335	102326	49820	48212	48893	44258	15270
SRR14642336	120070	62295	60666	61244	55673	18333
SRR14642337	95323	47087	45851	46208	42757	9041
SRR14642338	117463	61958	60541	61086	56739	14276
SRR14642339	109692	37447	36550	36785	33770	14328
SRR14642340	115187	60998	59374	59878	54191	8309
SRR14642341	110077	57256	56118	56507	52641	19790
SRR14642342	106288	47383	45872	46662	42757	9515
SRR14642343	73881	43221	42252	42583	38567	11838
SRR14642344	114131	62119	60657	61051	55486	14371
SRR14642345	123737	67528	65906	66440	61851	21476
SRR14642346	85254	42918	41527	42155	38740	16450
SRR14642347	76242	47412	46219	46696	43191	11928
SRR14642348	95976	49755	48658	48998	45584	10446
SRR14642349	122495	69772	68422	68743	64079	17645
SRR14642350	107646	58124	56339	57152	51854	19244
SRR14642351	92871	53094	51795	52062	46554	14347
SRR14642352	116901	67583	65762	66517	57872	13137
SRR14642353	108561	48533	47206	47774	44277	11643
SRR14642354	88612	44019	42865	43423	40361	12604
SRR14642355	116702	56571	55766	56027	54045	16656
SRR14642356	174620	87396	85089	86008	75149	15481
SRR14642357	116912	58880	58021	58347	50523	26438
SRR14642358	124161	72832	71855	72083	67896	22106
SRR14642359	146579	84620	83574	83741	80005	21646
SRR14642360	172085	80618	78518	79355	71255	20116
SRR14642361	120502	61669	60644	60937	58016	8627
SRR14642362	127857	58343	57365	57542	54650	32642
SRR14642363	130977	66626	65460	65705	60421	21479
SRR14642364	131328	69507	68242	68517	61375	20088
SRR14642365	78668	27091	26541	26642	25159	11851
SRR14642366	164313	89837	88658	88901	83033	26979
SRR14642367	77879	41622	40498	40899	37556	9380
SRR14642368	140498	66561	65379	65707	59638	27740
SRR14642369	115558	59100	57675	58174	52828	14925
SRR14642370	175975	86115	84472	84847	76705	31661
SRR14642371	138154	69751	68406	68815	62070	38267
SRR14642372	90349	21421	20781	20785	18894	12474
SRR14642373	143685	74545	73417	73646	68819	33048
SRR14642374	131804	71688	70313	70675	64924	25549
SRR14642375	134308	70109	68747	69189	59891	30918
SRR14642376	178830	96637	95650	95920	92914	17053
SRR14642377	155230	76293	74712	75226	68496	18579
SRR14642378	169668	87378	85455	85887	78841	27742
SRR14642379	106742	51923	50593	50852	43879	18611
SRR14642380	102976	58816	56928	57716	52372	25295
SRR14642381	123664	62944	60935	61613	56063	28375
SRR14642382	139203	73638	71537	72175	65014	33237
SRR14642383	144509	75388	73492	74386	66624	25518
SRR14642384	151129	84736	83840	83673	74461	43413
SRR14642385	161334	88133	86446	86821	76049	42765
SRR14642386	136331	73110	71995	72397	68063	7472
SRR14642387	68913	34971	34258	34649	33005	7022
SRR14642388	154483	79508	78196	78707	74244	13209
SRR14642389	152462	72990	72351	72561	70585	28847
SRR14642390	124076	62463	61395	61637	58230	10121
SRR14642391	118254	57522	56276	56555	53271	22117
SRR14642392	97356	45644	44829	44967	42438	18077
SRR14642393	67268	40290	39415	39434	36163	13582
SRR14642394	107017	57418	56013	56206	50998	17293
SRR14642395	134847	76904	75054	75543	69036	22984
SRR14642396	136246	64793	62994	63487	56647	25745
SRR14642397	73117	31653	31100	31141	29781	17942
SRR14642398	91732	50633	49832	49990	47000	6690
SRR14642399	122035	44920	43777	44002	39509	25085
SRR14642400	138040	49408	48748	49064	43782	20267
SRR14642401	140687	68598	67921	68039	64177	24368
SRR14642402	183886	91630	90697	90889	83929	35951
SRR14642403	97615	47733	46781	46965	43734	15919
SRR14642404	51768	24594	23623	24011	20890	7139
SRR14642405	98939	44954	43996	44383	40607	13435
SRR14642406	67428	37600	36165	36697	32286	10326
SRR14642407	35400	11538	11212	11181	10352	3805
SRR14642408	55693	24431	23906	23901	22099	11509
SRR14642409	124099	64803	64141	64240	61430	16830
SRR14642410	101109	44827	43273	43827	39852	15005
SRR14642411	64002	30125	28570	29245	25964	9989
SRR14642412	81811	32903	31731	32157	29463	12376
SRR14642413	78907	32451	31469	31665	28883	9320
SRR14642414	95034	44586	43560	43812	40668	17690
SRR14642415	76376	34111	33109	33511	30242	9888
SRR14642416	125795	73548	72422	72585	67958	15664
SRR14642417	99154	47121	45636	46134	39343	23783
SRR14642418	84153	39220	38606	38495	31768	19394
SRR14642419	93177	42370	41608	41932	37164	19027
SRR14642420	108722	45086	44510	44490	42415	18532
SRR14642421	94366	49940	49028	49229	45848	20899
SRR14642422	132579	71274	69905	70659	65462	19260
SRR14642423	150648	82279	80661	81296	71029	24523
SRR14642424	157383	69769	67710	68381	53206	24735
SRR14642425	79611	38265	36427	36832	31621	8333
SRR14642426	55252	28364	27222	27372	23179	9464
SRR14642427	128248	75370	74167	74615	69405	16009
SRR14642428	132089	71745	70432	70786	64757	8511
SRR14642429	85049	45436	44729	44905	42275	7607
SRR14642430	97411	53544	52338	52743	46785	7072
SRR14642431	123902	54121	51725	52764	46462	17423
SRR14642432	92795	45355	44277	44577	40667	14457
SRR14642433	145803	66906	63198	64919	50456	21006
SRR14642434	70548	31802	30732	30844	27665	6839
