ASV_ID	SRR3924089	SRR3925385	SRR3925387	SRR3925388	SRR3925390	SRR3925392	SRR3925393	SRR3925394	SRR3925407	SRR3925441	SRR3926149	SRR3926154	SRR3926156	SRR3926176	SRR3926177	SRR3926178	SRR3926179	SRR3926187	SRR3926188	SRR3926189	SRR3926190	SRR3926191	SRR3926192	SRR3926193
ASV_1	90399	59075	64977	103839	53153	74771	53401	57982	21557	63550	62560	46968	132985	73133	42639	80177	80080	34283	46808	34396	26277	86748	69460	39026
ASV_2	55438	77840	71259	81645	20501	63969	50217	42608	20326	54181	59907	35936	98850	72736	28112	60105	69629	34017	37281	29190	24570	83218	52080	57068
ASV_3	4632	1598	176	5576	1343	8400	2245	3917	565	7217	1151	4182	6172	6094	2	6457	2197	831	4150	1323	314	13440	4328	373
ASV_4	3531	2454	2630	4128	1688	3037	1929	2475	743	2449	2322	1901	5138	2724	1567	3105	3051	1272	1821	1436	972	3580	2509	1632
ASV_5	111	7235	5839	1500	91	344	4602	216	639	354	1599	181	427	474	6816	123	4334	1330	37	325	567	204	621	7519
ASV_6	1579	2530	2255	2455	739	1894	1367	1340	768	1717	1642	1012	2954	2058	1102	1690	1972	1310	1094	873	897	2594	1446	1662
ASV_7	2305	641	564	3060	1180	1761	552	1404	178	1806	521	1431	2840	2195	0	2777	2064	251	1339	741	301	2638	1649	0
ASV_8	60	5191	4044	306	44	193	2690	294	434	177	1656	109	307	137	2257	156	2398	989	11	358	468	92	275	4117
ASV_9	580	877	803	847	0	727	526	491	0	615	672	452	1047	610	0	656	703	0	398	375	0	868	501	678
ASV_10	0	0	0	0	90	425	0	185	838	0	0	0	0	2428	0	0	198	0	159	357	2038	0	1198	0
ASV_11	29	0	433	93	0	0	676	137	199	32	336	37	163	24	1203	31	1139	276	0	115	256	76	205	2127
ASV_12	24	0	0	88	28	245	0	172	992	242	1048	26	402	385	0	262	0	195	247	1994	362	106	418	0
ASV_13	362	1055	207	127	137	349	687	138	50	274	621	331	226	488	0	284	168	316	180	133	174	225	162	451
ASV_14	0	0	0	0	0	0	0	0	3637	0	0	0	0	1441	0	0	0	0	711	1335	0	0	0	0
ASV_15	19	1577	644	50	25	52	890	35	134	51	702	38	39	13	454	64	131	216	0	86	137	69	115	1503
ASV_16	293	906	0	519	129	209	13	269	0	219	128	145	549	352	131	309	438	39	126	97	66	252	249	36
ASV_17	0	0	0	0	0	0	0	1466	0	0	0	0	0	0	0	0	3684	0	0	0	0	68	0	0
ASV_18	138	455	575	157	109	116	92	86	78	54	66	90	148	352	284	96	223	156	41	25	178	242	126	585
ASV_19	0	569	464	6	0	121	646	71	0	0	0	0	185	0	0	0	1360	0	0	16	0	0	178	571
ASV_20	0	0	157	151	0	34	1352	27	208	34	213	67	25	0	834	59	295	208	0	0	0	30	0	185
ASV_21	0	1300	0	66	0	0	653	0	89	39	207	0	0	0	201	0	137	0	0	0	46	0	64	934
ASV_22	0	0	0	0	73	269	0	0	297	0	736	53	0	1140	605	0	0	0	350	168	0	0	0	0
ASV_23	0	0	521	58	26	48	397	16	0	69	436	75	0	0	0	0	403	253	0	36	230	68	0	1030
ASV_24	0	0	0	0	0	0	3604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	2937	0	0	0	0	0	0	84	0	0	227	0	0	0	0	0	0	17	0	0	319	0	0
ASV_26	194	71	0	236	0	397	83	206	0	339	52	201	291	242	0	251	82	0	150	45	0	561	174	0
ASV_27	0	14	506	18	0	78	194	56	0	18	0	0	9	0	828	59	459	28	0	0	200	0	117	861
ASV_28	0	0	0	0	0	338	0	0	50	536	0	0	339	0	0	211	0	0	0	0	244	166	652	770
ASV_29	0	0	0	0	0	0	0	0	676	0	0	0	0	431	0	0	0	0	381	1535	0	0	0	0
ASV_30	0	153	0	123	0	47	0	0	0	0	457	0	0	0	0	168	880	0	0	60	0	28	41	771
ASV_31	209	0	0	0	43	231	0	52	0	252	165	108	129	77	0	390	0	0	170	109	264	303	197	0
ASV_32	0	0	0	0	18	0	0	0	0	0	0	0	0	354	0	0	1653	0	0	0	263	0	0	280
ASV_33	0	308	199	0	92	0	102	21	69	41	539	15	15	0	130	16	294	27	0	17	0	24	76	548
ASV_34	0	0	0	0	0	0	0	0	548	0	0	0	0	881	0	0	0	0	248	839	0	0	0	0
ASV_35	0	779	119	0	0	159	0	0	96	37	0	86	260	25	0	527	0	0	0	97	0	57	228	0
ASV_36	0	0	0	0	38	103	582	0	906	0	360	0	0	0	0	0	0	0	146	228	101	0	0	0
ASV_37	0	0	0	0	7	0	0	0	319	147	510	190	0	154	0	83	0	0	352	99	0	420	127	0
ASV_38	0	1076	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	272	84	811	0
ASV_39	25	0	0	0	11	38	690	207	199	0	0	15	83	55	0	0	339	0	66	132	409	44	0	0
ASV_40	162	501	216	0	58	19	30	103	125	43	0	245	156	25	16	119	63	10	84	41	0	141	121	0
