	reads.in	reads.out
SRR3924089_1.fq.gz	350504	169591
SRR3925385_1.fq.gz	505859	227334
SRR3925387_1.fq.gz	385895	179315
SRR3925388_1.fq.gz	493411	228563
SRR3925390_1.fq.gz	250415	98498
SRR3925392_1.fq.gz	491879	221221
SRR3925393_1.fq.gz	559337	257376
SRR3925394_1.fq.gz	424415	199929
SRR3925407_1.fq.gz	280533	105675
SRR3925441_1.fq.gz	372615	167804
SRR3926149_1.fq.gz	552572	263963
SRR3926154_1.fq.gz	292203	136483
SRR3926156_1.fq.gz	677610	315736
SRR3926176_1.fq.gz	465129	230877
SRR3926177_1.fq.gz	284995	113429
SRR3926178_1.fq.gz	430418	200562
SRR3926179_1.fq.gz	561918	266892
SRR3926187_1.fq.gz	280999	116738
SRR3926188_1.fq.gz	325772	146236
SRR3926189_1.fq.gz	284760	131296
SRR3926190_1.fq.gz	279399	112275
SRR3926191_1.fq.gz	523891	248879
SRR3926192_1.fq.gz	349646	172176
SRR3926193_1.fq.gz	327255	162933
