	Var1	Freq
1	215	24
2	216	1
3	217	1
4	218	14
5	219	5
6	220	1
7	222	2
8	224	2
9	225	3
10	226	3
11	227	8
12	228	1
13	229	2
14	230	3
15	231	4
16	232	8
17	234	6
18	235	2
19	236	114
20	237	1
21	238	9
22	239	6
23	240	2
24	241	17
25	242	1
26	243	9
27	244	26
28	245	10
29	246	9
30	247	14
31	248	2
32	249	1
33	250	10
34	251	6
35	252	4
36	254	2
37	255	3
38	256	2
39	257	1
40	258	8
41	259	3
42	260	16
43	261	3
44	262	2
45	263	3
46	264	8
47	265	35
48	266	6
49	267	5
50	268	21
51	269	30
52	270	9
53	272	84
54	273	55
55	274	37
56	276	1
57	278	5
58	279	7
59	280	3
60	281	12
61	282	3
62	283	13
63	284	6
64	285	4
65	287	1
66	289	1
67	293	1
68	295	1
69	297	2
70	300	3
71	305	1
72	309	1
73	311	1
74	314	1
75	315	2
76	316	1
77	317	4
78	318	1
79	319	2
80	320	2
81	321	2
82	322	1
83	327	1
84	336	2
85	342	4
86	343	2
87	344	1
88	345	1
89	347	1
90	348	1
91	359	2
92	360	1
93	365	2
94	366	1
95	374	2
96	376	1
97	377	2
98	378	1
99	390	1
100	395	1
101	396	2
102	400	10
103	401	137
104	402	2144
105	403	55
106	404	99
107	405	99
108	406	22
109	407	147
110	408	19
111	409	13
112	410	7
113	411	2
114	413	1
115	414	15
116	415	14
117	416	5
118	417	4
119	418	4
120	419	3
121	420	8
122	421	113
123	422	894
124	423	43
125	424	5
126	425	5
127	426	190
128	427	2726
129	428	236
130	429	7
131	430	1
132	438	1
133	443	1
134	447	1
135	454	1
136	456	1
137	457	1
138	459	1
139	462	1
140	463	1
141	466	2
142	476	2
143	483	1
