	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR3924089	350504	169591	169331	169485	168812	161200
SRR3925385	505859	227334	226751	226905	222049	177385
SRR3925387	385895	179315	178901	179155	177552	163257
SRR3925388	493411	228563	228238	228423	226972	206538
SRR3925390	250415	98498	97998	97973	96120	81178
SRR3925392	491879	221221	220267	220836	216574	162231
SRR3925393	559337	257376	255665	256387	242991	140559
SRR3925394	424415	199929	198760	199447	192626	118130
SRR3925407	280533	105675	104375	105177	99257	61391
SRR3925441	372615	167804	167164	167563	165527	136144
SRR3926149	552572	263963	262452	263260	250900	148814
SRR3926154	292203	136483	135815	136123	132634	95743
SRR3926156	677610	315736	314906	315445	312224	256495
SRR3926176	465129	230877	229174	230250	225048	180794
SRR3926177	284995	113429	113043	113223	110983	93663
SRR3926178	430418	200562	199869	200271	197384	159645
SRR3926179	561918	266892	265476	266318	257027	193145
SRR3926187	280999	116738	116249	116500	112547	77409
SRR3926188	325772	146236	143449	145114	138763	100338
SRR3926189	284760	131296	129508	130541	123819	89044
SRR3926190	279399	112275	110732	111305	104012	70968
SRR3926191	523891	248879	248038	248564	245392	198112
SRR3926192	349646	172176	171487	171882	169485	141536
SRR3926193	327255	162933	162632	162808	160150	132220
