Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Label,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR1107499,AMPLICON,541,1518818,PRJNA231837,SAMN02444835,3474410,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426126,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_10,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC10,SRP035361
SRR1107500,AMPLICON,541,1283235,PRJNA231837,SAMN02444836,2970005,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426127,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_11,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC11,SRP035361
SRR1107501,AMPLICON,531,1735604,PRJNA231837,SAMN02444837,4000167,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426128,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_12,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC12,SRP035361
SRR1107502,AMPLICON,527,1723466,PRJNA231837,SAMN02444838,3905033,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426129,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_13,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC13,SRP035361
SRR1107503,AMPLICON,541,1481380,PRJNA231837,SAMN02444839,3395939,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426130,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_14,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC14,SRP035361
SRR1107504,AMPLICON,546,1807638,PRJNA231837,SAMN02444840,4136017,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426131,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_15,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC15,SRP035361
SRR1107505,AMPLICON,541,1791273,PRJNA231837,SAMN02444841,4099797,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426132,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_16,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC16,SRP035361
SRR1107506,AMPLICON,549,2056910,PRJNA231837,SAMN02444842,4764624,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426133,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_17,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC17,SRP035361
SRR1107507,AMPLICON,546,2102713,PRJNA231837,SAMN02444843,4757046,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426134,Italy,Europe,Italy: Northern Italy,454 GS Junior,healthy_child_saliva_19,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,HC19,SRP035361
SRR1107508,AMPLICON,462,2214373,PRJNA231837,SAMN02444844,5337371,UNIVERSITÀ DI NAPOLI FEDERICO II - DIPARTIMENTO DI,2013-05,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX426135,Italy,Europe,Italy: Northern Italy,454 GS Junior,celiac_child_saliva_7,SINGLE,PCR,METAGENOMIC,human oral metagenome,LS454,2014-04-07T00:00:00Z,2014-01-14T03:48:00Z,1,CD7,SRP035361
