ASV_ID	SRR1107499	SRR1107500	SRR1107501	SRR1107502	SRR1107503	SRR1107504	SRR1107505	SRR1107506	SRR1107507	SRR1107508	SRR1107509	SRR1107510	SRR1107511	SRR1107512	SRR1107513	SRR1107514	SRR1107515	SRR1107516	SRR1107517	SRR1107518	SRR1107519	SRR1107520	SRR1107521	SRR1107522	SRR1107523
ASV_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	639	0	0	0	0
ASV_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	465	0	0	0	0	0	465	0	0	0	0
ASV_3	0	0	0	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	0	0	0	0	0	0	0	0	0	826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	393	0	0	0	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	388	0	0	0	0	388
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	0	0	0	0	380	0	0	0
ASV_8	0	0	0	0	0	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	0	304	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	0	0	0	0	304
ASV_11	0	0	0	0	0	0	0	0	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0
ASV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	292	0
ASV_13	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	275
ASV_15	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	260	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	254	0	0
ASV_18	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	244	0
ASV_20	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_21	0	0	0	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	228	0	0
ASV_23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	225	0	0
ASV_24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	225
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	216	0	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	212	0	0
ASV_27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	210	0	0
ASV_28	0	0	0	0	419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	0	0	205	0	0
ASV_31	0	0	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_32	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0	0	0	0	202	0	0
ASV_34	0	0	0	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	0	0	0	0	0
ASV_35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	198	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	197
ASV_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	196	0
ASV_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	195	0	0	0	0
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	195	0	0	0	0
ASV_40	0	0	0	0	0	0	0	0	0	0	0	0	0	389	0	0	0	0	0	0	0	0	0	0	0
ASV_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	194	0	0	0	0
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	192	0	0	0
ASV_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0	0	190
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	189	0	0	0
ASV_45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	0	0	0	187	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	186	0
ASV_47	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	184	0	0	0
ASV_49	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	180	0	0	0	0
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	174
ASV_52	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	171	0
ASV_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	171	0
ASV_55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	170	0
ASV_56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	169	0	0	0	0
ASV_57	0	0	0	0	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	167
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	163	0	0	0	0
ASV_60	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	159	0	0	0	0
ASV_62	315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	154
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	153	0
ASV_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	153	0
ASV_66	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	150	0
ASV_68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	150	0
ASV_69	0	0	298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	149	0	0
ASV_71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	147	0	0
ASV_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	146	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	145	0	0	0
ASV_74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	145	0	0	0
ASV_75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	143	0
