	reads.in	reads.out
SRR1107499.fq.gz	2803	1611
SRR1107500.fq.gz	2369	1199
SRR1107501.fq.gz	3268	1805
SRR1107502.fq.gz	3267	2174
SRR1107503.fq.gz	2736	1582
SRR1107504.fq.gz	3309	1698
SRR1107505.fq.gz	3311	1859
SRR1107506.fq.gz	3741	1652
SRR1107507.fq.gz	3850	2231
SRR1107508.fq.gz	4785	1894
SRR1107509.fq.gz	3626	1772
SRR1107510.fq.gz	3354	2047
SRR1107511.fq.gz	3777	2238
SRR1107512.fq.gz	3865	2207
SRR1107513.fq.gz	15812	7492
SRR1107514.fq.gz	12073	5769
SRR1107515.fq.gz	13387	6044
SRR1107516.fq.gz	685	337
SRR1107517.fq.gz	13779	6906
SRR1107518.fq.gz	15641	7344
SRR1107519.fq.gz	15812	7492
SRR1107520.fq.gz	12073	5769
SRR1107521.fq.gz	13387	6044
SRR1107522.fq.gz	13779	6906
SRR1107523.fq.gz	15641	7344
