	input	filtered	denoisedF	nonchim
SRR1107499	2803	1611	1563	1427
SRR1107500	2369	1199	1179	1179
SRR1107501	3268	1805	1792	1609
SRR1107502	3267	2174	2158	2158
SRR1107503	2736	1582	1558	1537
SRR1107504	3309	1698	1631	1574
SRR1107505	3311	1859	1838	1755
SRR1107506	3741	1652	1630	1357
SRR1107507	3850	2231	2204	1943
SRR1107508	4785	1894	1857	1857
SRR1107509	3626	1772	1702	1572
SRR1107510	3354	2047	1999	1735
SRR1107511	3777	2238	2228	1825
SRR1107512	3865	2207	2198	1989
SRR1107513	15812	7492	7101	6732
SRR1107514	12073	5769	5438	4946
SRR1107515	13387	6044	5613	5279
SRR1107516	685	337	240	240
SRR1107517	13779	6906	6547	5914
SRR1107518	15641	7344	6946	6051
SRR1107519	15812	7492	7101	6732
SRR1107520	12073	5769	5438	4946
SRR1107521	13387	6044	5613	5279
SRR1107522	13779	6906	6547	5914
SRR1107523	15641	7344	6946	6051
