ASV_ID	SRR15291910	SRR15291911	SRR15291912	SRR15291913	SRR15291914	SRR15291915	SRR15291916	SRR15291917	SRR15291918	SRR15291919	SRR15291920	SRR15291921	SRR15291922	SRR15291923	SRR15291924	SRR15291925	SRR15291926	SRR15291927	SRR15291928	SRR15291929	SRR15291930	SRR15291931	SRR15291932	SRR15291933	SRR15291934	SRR15291935	SRR15291936
ASV_1	351	475	436	180	376	363	53	405	404	496	357	485	371	407	402	489	395	405	382	321	374	517	399	172	394	423	415
ASV_2	351	386	365	167	357	355	0	359	289	389	351	401	367	356	336	412	364	375	411	323	438	461	403	123	398	377	352
ASV_3	296	380	312	146	301	325	0	249	275	386	281	321	300	333	316	335	278	317	353	267	383	395	339	46	301	324	338
ASV_4	276	330	320	151	296	351	0	263	246	352	275	339	270	310	317	336	275	328	321	264	345	391	332	0	362	333	323
ASV_5	262	320	328	101	258	300	0	269	267	304	290	333	300	265	293	359	284	327	301	247	291	367	339	99	306	322	283
ASV_6	235	284	266	137	258	272	0	235	204	329	267	293	285	222	236	322	205	332	304	222	312	352	319	68	299	262	241
ASV_7	214	247	256	128	242	276	0	204	189	267	186	273	232	225	220	244	211	253	233	165	287	297	293	20	215	218	263
ASV_8	192	253	244	124	188	251	0	233	170	264	213	260	272	235	202	248	195	268	251	181	234	293	272	0	226	229	225
ASV_9	219	288	236	93	191	207	0	211	209	252	189	243	231	236	195	235	206	282	239	234	237	303	233	0	264	218	219
ASV_10	219	241	246	106	224	209	0	209	192	246	201	214	216	210	202	235	204	220	200	167	217	296	254	0	261	215	212
ASV_11	205	273	238	55	214	217	0	193	162	214	219	222	229	197	189	228	183	229	198	177	225	271	233	0	218	207	207
ASV_12	188	222	199	70	164	199	0	180	173	276	209	212	179	191	193	226	183	209	211	172	210	261	214	0	225	206	175
ASV_13	187	229	229	97	173	162	0	172	163	221	181	215	177	204	185	216	192	172	182	159	201	238	211	0	213	205	201
ASV_14	172	209	173	99	173	188	0	176	169	210	176	201	183	160	193	229	155	215	207	150	213	234	206	0	174	209	177
ASV_15	197	206	164	71	195	164	0	199	145	241	162	205	176	174	127	212	167	169	162	158	241	205	225	0	198	231	169
ASV_16	176	181	212	81	159	155	0	158	146	202	171	173	189	201	164	200	163	171	192	134	188	227	207	0	215	200	166
ASV_17	201	182	190	74	168	140	0	137	157	177	153	208	173	177	163	171	177	194	164	128	183	206	231	0	169	176	152
