	Var1	Freq
1	90	1
2	112	2
3	139	1
4	149	2
5	161	10
6	163	1
7	166	1
8	170	1
9	176	2
10	179	2
11	198	1
12	214	1
13	217	1
14	237	1
15	251	1
16	256	2
17	263	1
18	278	1
19	285	31
20	286	72
21	287	19
22	289	49
23	290	148
24	297	13
25	298	56
26	305	2
27	313	1
28	330	1
29	335	7
30	350	1
31	392	1
32	421	1
33	434	1
34	438	1
35	439	21
36	440	123
37	441	31
38	442	33
39	443	125
40	444	11
41	445	67
42	446	12
43	447	4
44	448	1
45	449	1
46	452	1
47	454	2
48	456	2
49	457	23
50	458	42
51	459	80
52	460	628
53	461	20
54	462	1
55	463	2
56	464	38
57	465	1363
58	466	766
59	467	1
60	468	1
61	473	1
62	481	2
