	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR15291910	18810	15111	14997	14989	14713	8969
SRR15291911	95431	76198	75445	75668	72825	33271
SRR15291912	32021	25168	24824	24911	24067	15909
SRR15291913	8775	6795	6684	6718	6547	4411
SRR15291914	17972	14310	14157	14198	14013	9049
SRR15291915	18041	14478	14318	14337	14199	9079
SRR15291916	39164	29914	29381	29214	26983	14274
SRR15291917	18301	14286	14111	14148	13868	8811
SRR15291918	17098	13558	13389	13402	13214	8125
SRR15291919	23665	18865	18752	18712	18630	10600
SRR15291920	18238	14460	14299	14344	14088	9073
SRR15291921	53065	41683	41140	41240	39953	23617
SRR15291922	28640	22895	22629	22568	21900	13282
SRR15291923	25870	20100	19852	19799	19362	9952
SRR15291924	18007	14533	14415	14406	14299	8819
SRR15291925	20098	16195	16068	16102	15871	10082
SRR15291926	19593	15498	15277	15321	14869	9691
SRR15291927	28570	22305	22007	22047	21582	14672
SRR15291928	23288	17435	17174	17139	16778	10128
SRR15291929	20285	16038	15711	15826	15119	9611
SRR15291930	26254	20809	20559	20580	19830	9899
SRR15291931	54941	43587	43144	43257	41822	22102
SRR15291932	23461	18618	18348	18369	17663	11020
SRR15291933	21447	9210	8598	8625	7498	6452
SRR15291934	22966	18410	18276	18317	17908	11268
SRR15291935	23539	18849	18696	18695	18280	11997
SRR15291936	20189	15951	15774	15828	15686	9772
