ASV_ID	CD_20	CD_21	CD_22	CD_23	CD_24	CD_25	CD_26	CD_27	CD_28	CTR_1	CTR_2	CTR_3	CTR_4	CTR_5	CTR_6	CTR_7	CTR_8	GFD_30	GFD_31	GFD_32	GFD_33	GFD_34	GFD_35	GFD_36	GFD_37	GFD_38	GFD_39
ASV_1	0	622	589	0	1256	0	0	0	1765	19612	0	0	253	7924	7564	0	7232	0	0	0	8401	13141	859	4586	3609	10087	424
ASV_2	2989	385	0	337	953	6014	0	944	3407	0	5360	247	752	0	0	4148	0	548	3665	7602	6883	3259	19029	0	831	4242	5134
ASV_3	951	2422	1631	443	404	2348	8079	2822	2529	1639	1662	3117	1087	3610	7839	72	2405	713	362	9128	1642	950	1745	302	1157	3359	3959
ASV_4	607	3024	4815	0	9807	2117	4167	2486	0	0	7218	0	3933	5	0	0	976	536	1327	0	3187	4235	1955	0	863	2381	8376
ASV_5	143	2078	1048	7348	10808	723	2779	581	469	761	1900	221	7411	156	182	473	69	41	4030	697	1131	291	596	819	567	1484	1671
ASV_6	876	0	176	505	903	8631	1643	170	977	1795	8007	0	264	2752	2434	2397	4014	164	440	0	3709	3578	0	0	0	3244	0
ASV_7	0	795	2967	0	3361	0	4175	199	2608	971	1340	8906	1092	0	3185	96	371	1285	1979	189	445	2088	133	6124	75	2968	584
ASV_8	141	2565	4094	760	155	73	2572	1658	1396	1770	2091	8826	372	2369	718	101	2233	744	5795	224	886	1590	466	2739	72	264	0
ASV_9	215	2828	2415	0	1075	266	4098	1697	1250	1723	1119	4496	290	1524	7501	26	564	694	1218	476	792	507	484	3816	166	112	577
ASV_10	0	921	0	0	0	11977	0	0	10347	7002	6226	0	0	0	0	1685	0	0	0	0	0	0	0	0	0	0	0
ASV_11	185	0	20	36	0	4936	433	36	70	3460	53	0	0	749	243	21175	2618	0	113	0	0	0	1195	0	744	515	352
ASV_12	0	0	230	96	0	0	0	3	3085	0	0	7	11769	4	0	4438	0	3844	0	6290	4980	1644	0	0	0	10	2
ASV_13	31	367	4125	3314	1067	222	601	420	1787	154	115	9595	761	44	910	88	937	146	3417	81	71	1684	314	3571	88	1661	462
ASV_14	188	1150	5018	99	96	0	2829	593	1497	509	1203	6360	700	1234	2004	39	584	2106	2892	154	1897	333	222	1955	99	392	1684
ASV_15	0	1798	4806	243	87	1287	2197	1820	1333	1847	710	1223	494	0	2184	110	1103	997	4776	262	1321	518	389	1545	134	997	915
ASV_16	784	1488	540	48	269	98	1994	1215	0	1484	811	28	352	3291	125	0	2338	361	816	13824	303	340	984	329	273	933	0
ASV_17	69	374	1787	758	7098	173	1847	326	0	146	403	237	11662	179	349	40	17	47	1724	37	14	359	80	204	68	396	6
ASV_18	40	640	0	188	765	81	385	287	88	0	413	12	185	195	934	2257	2884	0	4	6922	1514	6801	788	133	944	680	38
