	reads.in	reads.out
CD_20.R1.fastq.gz	47256	37439
CD_21.R1.fastq.gz	96562	78166
CD_22.R1.fastq.gz	88195	67395
CD_23.R1.fastq.gz	86923	63829
CD_24.R1.fastq.gz	87484	72783
CD_25.R1.fastq.gz	88595	72599
CD_26.R1.fastq.gz	102662	78786
CD_27.R1.fastq.gz	89695	72617
CD_28.R1.fastq.gz	84477	62538
CTR_1.R1.fastq.gz	91285	72719
CTR_2.R1.fastq.gz	84549	69831
CTR_3.R1.fastq.gz	97796	75742
CTR_4.R1.fastq.gz	73013	60628
CTR_5.R1.fastq.gz	67277	51987
CTR_6.R1.fastq.gz	80471	62061
CTR_7.R1.fastq.gz	70946	57924
CTR_8.R1.fastq.gz	79991	60871
GFD_30.R1.fastq.gz	52263	33719
GFD_31.R1.fastq.gz	95730	70619
GFD_32.R1.fastq.gz	101315	81597
GFD_33.R1.fastq.gz	101039	70916
GFD_34.R1.fastq.gz	114831	96999
GFD_35.R1.fastq.gz	96253	77536
GFD_36.R1.fastq.gz	105418	79460
GFD_37.R1.fastq.gz	70898	51334
GFD_38.R1.fastq.gz	125600	93850
GFD_39.R1.fastq.gz	96498	60451
