	input	filtered	denoisedF	nonchim
CD_20	47256	37439	37172	37168
CD_21	96562	78166	77781	77276
CD_22	88195	67395	67217	66780
CD_23	86923	63829	63613	63461
CD_24	87484	72783	72474	72150
CD_25	88595	72599	72318	72035
CD_26	102662	78786	78374	77748
CD_27	89695	72617	72296	71590
CD_28	84477	62538	62301	62067
CTR_1	91285	72719	72575	72475
CTR_2	84549	69831	69628	69609
CTR_3	97796	75742	75638	75471
CTR_4	73013	60628	60484	60457
CTR_5	67277	51987	51862	51767
CTR_6	80471	62061	61900	61709
CTR_7	70946	57924	57742	57626
CTR_8	79991	60871	60612	60604
GFD_30	52263	33719	33563	33553
GFD_31	95730	70619	70456	70385
GFD_32	101315	81597	81414	80993
GFD_33	101039	70916	70707	70602
GFD_34	114831	96999	96719	96596
GFD_35	96253	77536	77243	77040
GFD_36	105418	79460	79194	78922
GFD_37	70898	51334	51055	51031
GFD_38	125600	93850	93554	93319
GFD_39	96498	60451	60247	60175
