Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study,Submitter_Id
ERR2190371,AMPLICON,502,5151524,PRJEB23313,SAMEA104368294,3670041,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246486,SAMEA104368294,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:58Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-12-10T06:24:00Z,1,SAMEA104368294,Proficel_C1-4,ERP105056,Proficel_C1-4
ERR2190448,AMPLICON,502,5151524,PRJEB23313,SAMEA104368294,3670041,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246563,SAMEA104368294,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:58Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:00:00Z,1,SAMEA104368294,Proficel_C1-4,ERP105056,Proficel_C1-4
ERR2190449,AMPLICON,502,4817694,PRJEB23313,SAMEA104368295,3313141,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246564,SAMEA104368295,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:58Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:00:00Z,1,SAMEA104368295,Proficel_C1-6,ERP105056,Proficel_C1-6
ERR2190450,AMPLICON,502,5199214,PRJEB23313,SAMEA104368296,3424161,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246565,SAMEA104368296,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:58Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:00:00Z,1,SAMEA104368296,Proficel_C2-4,ERP105056,Proficel_C2-4
ERR2190451,AMPLICON,502,4818196,PRJEB23313,SAMEA104368297,3316862,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246566,SAMEA104368297,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:58Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:00:00Z,1,SAMEA104368297,Proficel_C2-6,ERP105056,Proficel_C2-6
ERR2190452,AMPLICON,502,10983258,PRJEB23313,SAMEA104368298,6971112,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246567,SAMEA104368298,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:00:00Z,1,SAMEA104368298,Proficel_C3-4,ERP105056,Proficel_C3-4
ERR2190453,AMPLICON,502,15051968,PRJEB23313,SAMEA104368299,9737433,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246568,SAMEA104368299,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:01:00Z,1,SAMEA104368299,Proficel_C3-6,ERP105056,Proficel_C3-6
ERR2190454,AMPLICON,502,11887360,PRJEB23313,SAMEA104368300,7834300,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246569,SAMEA104368300,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:01:00Z,1,SAMEA104368300,Proficel_C4-4,ERP105056,Proficel_C4-4
ERR2190455,AMPLICON,502,11751318,PRJEB23313,SAMEA104368301,7440973,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246570,SAMEA104368301,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:01:00Z,1,SAMEA104368301,Proficel_C4-6,ERP105056,Proficel_C4-6
ERR2190456,AMPLICON,502,5515976,PRJEB23313,SAMEA104368302,3520476,NUTRITION & HEALTH,human,public,"fastq,run.zq,sra","ena,gs,ncbi,s3","ena,gs.us-east1,ncbi.public,s3.us-east-1",2017-11-06,2017-11-06,2018-11-16,2017-11-03,ERX2246571,SAMEA104368302,Nutrition & Health,Nutrition & Health,2017-11-06T12:48:02Z,2017-11-03T08:32:59Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,SYNTHETIC,Homo sapiens,ILLUMINA,2017-11-07T00:00:00Z,2017-11-07T15:01:00Z,1,SAMEA104368302,Proficel_C5-4,ERP105056,Proficel_C5-4
