ASV_ID	ERR2190371	ERR2190448	ERR2190449	ERR2190450	ERR2190451	ERR2190452	ERR2190453	ERR2190454	ERR2190455	ERR2190456	ERR2190457	ERR2190458	ERR2190459	ERR2190460	ERR2190461	ERR2190462	ERR2190463	ERR2190464	ERR2190465	ERR2190466	ERR2190467	ERR2190468	ERR2190469	ERR2190470	ERR2190471	ERR2190472	ERR2190473	ERR2190474	ERR2190475	ERR2190476	ERR2190477	ERR2190478	ERR2190479	ERR2190480	ERR2190481	ERR2190482	ERR2190483	ERR2190484	ERR2190485
ASV_1	0	0	0	0	0	14	0	15936	10308	7615	7438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	1921	675	0	3047	0	0	0	2801	0
ASV_2	3433	3433	1790	0	0	0	0	3	0	0	81	4964	0	0	8	0	0	0	6912	0	0	0	5383	5855	6910	131	0	0	0	0	720	2936	0	0	3497	7	0	0	37
ASV_3	629	629	173	1839	1290	0	1473	0	0	0	74	72	7	7571	4240	0	131	0	0	257	0	0	0	0	0	0	211	0	1487	914	2690	4181	0	165	0	27	107	204	0
ASV_4	0	0	0	0	0	0	2074	0	0	0	0	312	0	128	0	4	0	10208	1904	816	0	0	0	0	0	0	65	0	774	1056	1077	1246	0	0	0	0	390	737	0
ASV_5	335	335	14	404	809	0	0	0	0	0	0	0	0	5562	4296	0	38	0	0	0	0	0	0	0	0	0	534	73	42	156	0	0	0	0	0	0	0	0	0
ASV_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7776	3156	0
ASV_7	0	0	66	5672	3861	0	0	0	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0	0
ASV_8	0	0	437	0	0	5475	1201	0	0	0	0	0	0	0	0	0	0	0	0	872	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1498
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6872	1945	0	0	0	0	0
ASV_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8186	0	0	0
ASV_11	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	1126	4617	0	0	0	0	0	382	1649	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0
ASV_12	0	0	0	0	0	7	0	0	0	33	0	0	0	0	0	2465	3284	0	0	0	0	0	0	0	0	0	903	0	0	0	0	0	0	0	0	0	0	0	0
ASV_13	51	51	559	12	22	2	739	0	94	0	0	3	0	18	0	0	0	327	34	2951	0	0	90	421	0	151	4	0	49	44	0	111	313	293	6	0	0	0	0
ASV_14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5380	47	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	0	0	0	34	0	0	0	0	0	47	796	0	0	0	0	3348	964	0	0	0	222	146	0	0	32	0	83	311	57	0	0	0	0	0	0	21	0	0	0
ASV_16	89	89	139	0	0	3428	751	863	272	0	0	0	0	0	0	75	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	111	135	0	0	0	0	51	2396	0	0	2413	758	0
ASV_18	0	0	0	0	0	0	0	0	0	44	543	0	0	0	286	2999	964	0	0	0	0	0	0	0	93	0	0	0	49	9	0	0	0	0	0	112	0	89	0
ASV_19	0	0	0	0	0	0	0	0	0	0	0	0	0	1443	385	0	0	2376	242	0	0	0	0	0	6	44	0	0	609	0	0	0	0	0	0	0	0	0	0
ASV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3383	1030	0	0	0	0	0
ASV_21	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	190	3533	0	0	0	0	0	0	0	0	145	0	0	191	0	57	0	0	0
ASV_22	35	35	391	106	5	0	1305	0	41	13	0	23	18	0	0	0	0	72	65	0	50	338	84	37	0	172	191	0	0	0	0	0	19	8	0	22	0	1152	0
ASV_23	34	34	0	32	31	221	0	87	1547	3	104	43	0	14	15	2	367	0	36	57	0	0	0	0	0	0	20	0	109	0	90	98	0	1019	0	58	17	0	23
ASV_24	0	0	0	0	0	3418	261	0	0	0	0	0	0	0	0	0	240	0	106	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3867
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	2551	967	0	0	0	0	0	0	0	0	0
ASV_27	0	0	10	0	0	0	0	0	0	0	0	336	0	0	0	0	0	0	0	0	0	0	1128	903	0	0	516	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	74	74	907	0	0	0	0	10	0	0	0	0	42	0	0	0	0	0	0	601	75	0	126	304	0	0	0	0	56	46	0	0	184	127	0	0	90	45	0
ASV_29	0	0	0	0	0	0	0	301	94	0	0	379	1198	0	0	13	7	0	0	0	87	59	0	0	0	0	111	349	0	0	0	0	0	0	0	0	0	131	0
ASV_30	0	0	0	0	0	0	0	0	0	0	502	0	0	1479	472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0
ASV_31	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	11	0
ASV_32	31	31	0	0	0	0	2301	0	0	0	0	0	0	0	0	0	10	0	25	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	0	0	345	0	180	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	353	231	0	217	0	83	0	0	0	0	0	433	0	0	0	0	0
ASV_34	416	416	18	0	0	0	0	0	0	0	0	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	215	0
ASV_35	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	20	0	2097	0	0	0	271	0	0	0	0	0	0	0
ASV_36	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	850	1097	0	0	0	0	0	0	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0
