	reads.in	reads.out
ERR2190371_1.fq.gz	10262	7282
ERR2190448_1.fq.gz	10262	7282
ERR2190449_1.fq.gz	9597	7763
ERR2190450_1.fq.gz	10357	8760
ERR2190451_1.fq.gz	9598	7872
ERR2190452_1.fq.gz	21879	16267
ERR2190453_1.fq.gz	29984	20491
ERR2190454_1.fq.gz	23680	17809
ERR2190455_1.fq.gz	23409	17723
ERR2190456_1.fq.gz	10988	8382
ERR2190457_1.fq.gz	16331	12442
ERR2190458_1.fq.gz	11259	9216
ERR2190459_1.fq.gz	9311	6879
ERR2190460_1.fq.gz	24569	19164
ERR2190461_1.fq.gz	18172	13837
ERR2190462_1.fq.gz	20188	14772
ERR2190463_1.fq.gz	25001	19189
ERR2190464_1.fq.gz	24505	18779
ERR2190465_1.fq.gz	14356	11025
ERR2190466_1.fq.gz	16821	12568
ERR2190467_1.fq.gz	8853	3823
ERR2190468_1.fq.gz	14513	8023
ERR2190469_1.fq.gz	10706	9057
ERR2190470_1.fq.gz	14510	12295
ERR2190471_1.fq.gz	12005	8488
ERR2190472_1.fq.gz	8745	5077
ERR2190473_1.fq.gz	7927	6434
ERR2190474_1.fq.gz	11967	9246
ERR2190475_1.fq.gz	10534	8603
ERR2190476_1.fq.gz	5859	4809
ERR2190477_1.fq.gz	11589	9989
ERR2190478_1.fq.gz	15729	13432
ERR2190479_1.fq.gz	15247	12788
ERR2190480_1.fq.gz	21097	16198
ERR2190481_1.fq.gz	6510	5031
ERR2190482_1.fq.gz	16712	13195
ERR2190483_1.fq.gz	18343	13709
ERR2190484_1.fq.gz	21243	16556
ERR2190485_1.fq.gz	21727	15524
