	input	filtered	denoisedF	denoisedR	merged	nonchim
ERR2190371	10262	7282	7209	7247	7090	7064
ERR2190448	10262	7282	7209	7247	7090	7064
ERR2190449	9597	7763	7686	7714	7533	7496
ERR2190450	10357	8760	8710	8713	8629	8587
ERR2190451	9598	7872	7794	7842	7695	7561
ERR2190452	21879	16267	16238	16250	16203	15924
ERR2190453	29984	20491	20303	20429	20062	19647
ERR2190454	23680	17809	17741	17757	17652	17602
ERR2190455	23409	17723	17660	17670	17521	17146
ERR2190456	10988	8382	8321	8343	8238	8199
ERR2190457	16331	12442	12401	12398	12226	11895
ERR2190458	11259	9216	9162	9187	9095	9044
ERR2190459	9311	6879	6814	6839	6661	6661
ERR2190460	24569	19164	19108	19110	19035	18795
ERR2190461	18172	13837	13733	13789	13613	13404
ERR2190462	20188	14772	14702	14729	14459	14155
ERR2190463	25001	19189	19077	19101	18733	18023
ERR2190464	24505	18779	18727	18741	18709	18640
ERR2190465	14356	11025	10989	10985	10927	10859
ERR2190466	16821	12568	12462	12504	12253	12134
ERR2190467	8853	3823	3759	3801	3597	3422
ERR2190468	14513	8023	7939	7970	7377	7239
ERR2190469	10706	9057	8995	9035	8921	8898
ERR2190470	14510	12295	12217	12251	12074	11723
ERR2190471	12005	8488	8462	8473	8448	8447
ERR2190472	8745	5077	4998	5011	4653	4652
ERR2190473	7927	6434	6383	6415	6336	6336
ERR2190474	11967	9246	9140	9216	9053	9038
ERR2190475	10534	8603	8475	8573	8245	7723
ERR2190476	5859	4809	4753	4778	4653	4535
ERR2190477	11589	9989	9954	9947	9779	9287
ERR2190478	15729	13432	13259	13384	13045	12623
ERR2190479	15247	12788	12757	12765	12697	12546
ERR2190480	21097	16198	16099	16149	15791	15166
ERR2190481	6510	5031	5007	5012	4984	4984
ERR2190482	16712	13195	13144	13153	13043	11196
ERR2190483	18343	13709	13652	13661	13591	13340
ERR2190484	21243	16556	16453	16468	16213	16025
ERR2190485	21727	15524	15459	15485	15302	15104
