ASV_ID	ERR11549398	ERR11549399	ERR11549400	ERR11549401	ERR11549402	ERR11549403	ERR11549404	ERR11549405	ERR11549406	ERR11549407	ERR11549408	ERR11549409	ERR11549410	ERR11549411	ERR11549412	ERR11549413	ERR11549414	ERR11549415	ERR11549416	ERR11549417	ERR11549418	ERR11549419	ERR11549420	ERR11549421	ERR11549422	ERR11549423	ERR11549424	ERR11549425	ERR11549426	ERR11549427	ERR11549428	ERR11549429	ERR11549430	ERR11549431	ERR11549432	ERR11549433	ERR11549434	ERR11549435	ERR11549436	ERR11549437	ERR11549438	ERR11549439	ERR11549440	ERR11549441	ERR11549442	ERR11549443	ERR11549444	ERR11549445	ERR11549446
ASV_1	504	0	1820	663	170	283	0	165	13	60	40	0	25	43	654	1383	270	71	883	1499	68	666	0	0	0	12088	20	3879	2334	41	30	751	65	9478	439	0	0	0	190	240	294	5912	2092	0	4153	1156	61	3784	141
ASV_2	2314	128	0	160	413	1167	39	1622	0	188	1583	253	3078	472	74	510	221	48	309	549	61	712	0	0	0	260	0	403	0	0	0	610	89	0	2301	4125	146	2615	327	216	1604	29	1199	1527	11680	641	745	10371	41
ASV_3	205	142	779	613	371	120	801	253	24	283	123	597	0	834	220	1252	1093	171	780	244	158	1878	478	1519	376	149	1220	1611	3244	654	317	189	2008	209	1210	798	124	374	975	594	400	1131	256	950	1542	1277	344	488	324
ASV_4	0	216	655	83	60	0	269	1282	18	0	0	2619	0	0	529	1988	1278	149	0	177	0	1096	3469	2786	3959	0	715	102	2541	3631	1760	49	35	2838	328	0	0	144	0	37	499	0	0	0	0	0	58	0	0
ASV_5	58	259	246	0	207	417	0	0	0	0	0	0	0	0	821	907	776	227	3171	1618	2351	470	0	0	0	0	159	329	2265	2001	614	0	0	663	533	1001	776	1727	0	2370	55	836	375	8	2794	0	0	476	0
ASV_6	130	74	0	1016	769	150	403	470	0	0	0	0	0	445	72	394	221	66	2712	948	108	0	0	1097	1338	68	0	1644	139	0	0	194	20	700	606	176	1234	1130	439	228	0	682	0	0	554	1570	198	103	343
ASV_7	30	23	39	9	11	63	59	90	0	197	4149	2894	383	89	20	429	188	147	49	49	13	158	1448	717	1993	0	26	0	0	199	205	58	37	0	0	0	0	0	396	91	348	0	533	4151	364	171	22	451	8
ASV_8	0	0	54	78	0	124	0	1411	22	0	0	0	264	556	47	0	31	0	346	95	0	1180	0	0	0	273	0	0	0	0	38	482	102	949	1108	2046	295	917	0	448	387	39	1364	3917	583	117	34	1556	0
ASV_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	807	1118	193	0	104	516	0	0	0	0	0	0	0	0	2032	702	6	1653	0	0	0	0	0	7505	0	0	0	0	0	0	1216	1003	0	622
ASV_10	517	12	33	0	200	156	106	65	52	11	197	125	0	247	24	19	29	17	293	328	3193	887	1072	878	191	0	0	88	783	179	168	32	61	178	930	1847	108	671	402	0	121	239	165	304	121	1086	133	225	57
ASV_11	0	0	0	0	0	0	0	1393	0	230	926	2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	627	0	0	0	0	0	588	0	0	0	0	0	0	8116	1998	0	0
ASV_12	10	53	31	0	33	219	35	71	6	305	2944	1258	17	18	12	693	75	56	13	74	6	456	0	0	0	55	100	160	0	572	1002	33	75	0	1173	1741	85	332	61	132	191	23	291	0	1122	51	12	1809	0
ASV_13	116	0	189	126	0	56	710	177	281	0	0	0	0	503	134	485	327	49	1764	383	0	344	0	0	55	153	0	0	110	85	67	181	245	22	0	0	0	0	0	1304	38	260	289	0	555	2436	715	1105	264
ASV_14	0	0	0	0	0	0	0	2815	251	0	0	0	0	0	344	0	192	0	0	1099	0	0	0	2053	0	75	0	681	148	391	219	2	767	47	0	0	0	0	1207	0	0	0	0	0	110	254	2013	144	10
ASV_15	0	21	41	0	0	0	0	46	20	271	2261	1611	161	49	0	0	0	0	153	58	0	0	0	0	0	66	447	182	508	111	194	0	0	182	678	1724	183	303	97	90	0	109	762	0	1000	0	29	1376	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420	1066	2120	343	0	215	451	0	0	0	0	0	0	0	3	2251	722	0	3018	0	0	0	0	0	0	0	0	0	0	0	0	874	858	0	320
ASV_17	101	5	11	17	111	12	391	304	90	2	320	468	0	2046	66	101	87	30	21	194	152	675	9	232	154	85	0	199	1567	224	201	89	120	84	0	0	974	832	521	49	0	321	102	474	39	203	12	460	67
ASV_18	94	539	267	469	309	60	675	105	42	34	28	87	34	258	44	46	13	12	67	86	32	486	19	182	38	8	959	1110	343	125	27	34	190	41	371	130	219	598	378	114	8	641	1187	254	815	238	44	10	304
ASV_19	0	0	0	0	0	474	49	314	0	0	30	0	307	438	0	0	0	0	58	0	0	0	0	0	0	0	0	1520	0	0	0	659	0	1635	21	186	5	8	0	0	0	0	0	0	3488	0	48	2861	28
ASV_20	0	0	0	36	0	0	0	818	24	0	0	0	0	11	549	198	365	12	154	534	0	522	329	335	329	255	0	260	0	0	0	661	49	277	297	1187	58	161	553	214	226	22	719	755	0	485	170	892	18
ASV_21	0	0	0	55	0	1757	12	522	0	86	464	217	416	1010	104	289	79	58	76	379	7	702	0	0	0	44	0	512	0	0	0	331	35	636	681	0	49	300	508	0	172	10	205	0	0	0	62	1217	24
ASV_22	235	0	15	0	0	72	0	62	0	465	281	0	336	129	0	10	16	0	0	21	10	58	432	329	1763	48	0	0	1606	657	1133	0	0	61	0	0	0	0	321	0	0	0	0	620	1463	0	0	0	0
ASV_23	15	8	4	146	170	22	119	106	19	276	58	1020	0	70	108	526	218	27	1724	223	0	80	22	68	52	44	0	714	457	64	194	242	547	124	253	0	0	0	0	1011	6	379	241	0	48	89	147	13	51
ASV_24	24	0	345	44	111	0	426	0	0	0	0	0	0	2161	292	105	18	0	63	1079	846	572	0	0	0	0	0	198	1244	57	0	153	0	0	0	562	0	0	726	0	0	0	0	0	4	74	38	0	116
ASV_25	0	0	0	0	0	0	0	0	0	424	7901	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0
ASV_26	24	25	0	24	33	33	45	0	90	0	0	342	9	33	196	91	44	26	11	179	15	207	0	0	0	208	0	141	0	337	723	158	0	187	438	3249	448	411	12	31	88	25	0	425	0	0	63	0	0
ASV_27	0	0	364	397	282	10	350	62	30	0	21	148	32	107	30	174	54	4	48	87	190	215	19	253	57	60	1540	291	201	57	13	63	10	28	40	0	656	725	168	182	0	0	0	0	243	616	74	7	417
ASV_28	0	0	0	0	0	0	0	0	1513	736	2500	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1595	1722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2212	2391	0	0	0	0	0	0	0	0	0	1278	0	0	1769	0	0	0
ASV_30	82	0	15	0	37	28	20	3	11	0	10	0	0	20	21	1703	247	392	514	0	67	0	71	172	46	3	167	31	3102	0	7	0	6	20	283	43	28	65	0	0	11	39	0	0	74	89	9	26	0
ASV_31	267	0	241	0	162	31	0	0	0	0	0	0	0	0	0	89	93	0	0	0	0	1006	87	283	39	0	0	0	975	212	21	47	28	2195	51	84	110	0	0	53	126	220	0	0	0	0	0	0	588
