	reads.in	reads.out
ERR11549398.fastq.gz	8048	7664
ERR11549399.fastq.gz	8137	7850
ERR11549400.fastq.gz	11295	10741
ERR11549401.fastq.gz	9099	8492
ERR11549402.fastq.gz	12326	11554
ERR11549403.fastq.gz	9197	8763
ERR11549404.fastq.gz	13700	12981
ERR11549405.fastq.gz	21623	20410
ERR11549406.fastq.gz	5836	5411
ERR11549407.fastq.gz	7841	7580
ERR11549408.fastq.gz	35359	33573
ERR11549409.fastq.gz	22512	21367
ERR11549410.fastq.gz	13084	12349
ERR11549411.fastq.gz	21541	19917
ERR11549412.fastq.gz	16973	16330
ERR11549413.fastq.gz	26061	24492
ERR11549414.fastq.gz	20421	19513
ERR11549415.fastq.gz	4729	4437
ERR11549416.fastq.gz	22490	21117
ERR11549417.fastq.gz	21917	20718
ERR11549418.fastq.gz	21374	20255
ERR11549419.fastq.gz	21449	20206
ERR11549420.fastq.gz	12647	12056
ERR11549421.fastq.gz	20794	19639
ERR11549422.fastq.gz	21714	20513
ERR11549423.fastq.gz	20146	19415
ERR11549424.fastq.gz	16979	15911
ERR11549425.fastq.gz	30376	28630
ERR11549426.fastq.gz	40756	38892
ERR11549427.fastq.gz	25565	24382
ERR11549428.fastq.gz	20894	19830
ERR11549429.fastq.gz	21202	19716
ERR11549430.fastq.gz	25813	24211
ERR11549431.fastq.gz	27039	25639
ERR11549432.fastq.gz	18897	17726
ERR11549433.fastq.gz	32489	30639
ERR11549434.fastq.gz	11148	10531
ERR11549435.fastq.gz	24782	23008
ERR11549436.fastq.gz	24256	23107
ERR11549437.fastq.gz	18832	18112
ERR11549438.fastq.gz	12935	12319
ERR11549439.fastq.gz	20177	18565
ERR11549440.fastq.gz	34099	31781
ERR11549441.fastq.gz	18656	17719
ERR11549442.fastq.gz	43517	41326
ERR11549443.fastq.gz	39470	36897
ERR11549444.fastq.gz	19775	18739
ERR11549445.fastq.gz	36995	35066
ERR11549446.fastq.gz	9231	8609
