ASV_ID	ERR3610705	ERR3610706	ERR3610707	ERR3610708	ERR3610709	ERR3610710	ERR3610711	ERR3610712	ERR3610713	ERR3610714	ERR3610715	ERR3610716	ERR3610717	ERR3610718	ERR3610719	ERR3610720	ERR3610721	ERR3610722	ERR3610723	ERR3610724	ERR3610725	ERR3610726	ERR3610727	ERR3610728	ERR3610729	ERR3610730	ERR3610731	ERR3610732	ERR3610733	ERR3610734	ERR3610735	ERR3610736	ERR3610737	ERR3610738	ERR3610739	ERR3610740	ERR3610741	ERR3610742	ERR3610743	ERR3610744	ERR3610745	ERR3610746	ERR3610747	ERR3610748	ERR3610749	ERR3610750	ERR3610751	ERR3610752	ERR3610753	ERR3610754
ASV_1	266	0	4386	1737	1151	7847	2481	1667	3208	1620	4221	159	1396	2727	1267	1255	0	4196	2870	0	650	645	564	1535	0	0	1737	904	1601	696	3846	2173	1244	2273	0	0	716	1222	1742	0	71	293	201	1109	0	0	0	0	0	1263
ASV_2	217	0	2818	1256	763	5603	1739	1171	2291	892	2616	111	971	1674	987	925	0	3205	2122	0	406	425	344	1046	0	0	1196	611	1233	457	2722	1548	847	1608	0	0	447	989	1224	0	45	184	124	734	0	0	0	0	0	890
ASV_3	196	18	2731	1196	799	5107	1601	1008	2016	981	2490	105	878	1654	905	859	0	2787	1805	0	405	408	386	1002	0	0	1057	520	1140	444	2594	1384	746	1536	0	0	530	833	1210	0	37	193	117	727	0	0	0	0	0	825
ASV_4	2028	0	289	0	1212	0	391	1902	46	0	0	189	280	61	357	0	4244	0	198	3151	919	0	881	0	1253	2532	1178	0	0	36	0	186	3241	0	1694	2455	0	412	0	0	853	161	0	0	1280	1468	0	679	1820	311
ASV_5	2260	433	469	628	0	116	954	2228	1518	0	626	641	46	0	0	0	430	0	4150	0	0	0	1656	0	888	2192	2540	356	0	0	822	124	285	794	2120	3199	0	1190	316	285	869	261	320	930	500	355	0	474	131	0
ASV_6	0	1512	1526	629	2711	1243	0	684	0	3309	169	0	76	913	4211	228	22	237	105	0	468	494	0	1243	2045	0	0	139	2058	735	0	1248	355	650	686	1300	132	601	181	118	61	52	36	329	0	128	26	0	39	1489
ASV_7	121	0	1890	763	460	3633	1165	751	1421	648	1601	51	657	1161	640	610	0	2026	1319	0	279	284	236	649	0	0	779	374	812	290	1665	973	540	1031	0	0	281	603	781	0	31	109	58	504	0	0	0	0	0	574
ASV_8	0	1372	3034	0	544	63	5015	54	0	81	1113	113	279	0	124	49	0	1672	0	30	1817	104	129	80	597	150	0	129	1232	0	718	391	394	122	74	72	3015	1235	40	1784	307	0	0	434	213	653	197	1217	9	189
ASV_9	131	0	1588	708	398	3143	963	626	1281	521	1429	68	541	875	518	589	0	1767	1238	0	231	218	214	599	0	0	656	302	748	268	1639	877	476	974	0	0	272	536	762	0	25	119	78	389	0	0	0	0	0	454
ASV_10	993	4	1017	0	0	0	2817	83	0	0	0	59	0	305	196	0	0	0	426	0	0	1600	0	0	56	0	0	2438	0	729	0	492	66	0	4816	939	1814	262	0	2776	174	0	89	0	1190	0	0	0	0	2115
ASV_11	1518	0	165	0	741	0	265	1304	0	0	0	115	202	50	266	0	2729	42	123	2212	624	0	560	0	843	1529	867	0	0	37	0	154	2232	0	1196	1678	0	317	0	0	550	105	0	0	866	1157	0	567	1241	214
ASV_12	1611	222	320	475	0	81	606	1469	997	0	375	494	32	0	0	0	290	0	2983	0	0	0	1048	0	565	1239	1821	246	0	0	610	72	209	584	1532	2275	0	902	215	169	560	156	232	662	332	315	0	369	82	0
ASV_13	1396	0	190	0	686	0	252	1200	0	0	0	136	184	48	242	0	2854	0	139	2019	645	0	508	0	850	1550	763	0	0	0	0	144	2087	0	1155	1552	0	295	0	0	566	101	0	0	805	959	0	440	1176	213
ASV_14	390	714	0	1022	595	411	659	935	923	0	0	326	1522	524	0	449	0	408	1180	0	0	694	616	564	490	642	774	158	390	182	600	651	954	1148	682	71	1175	197	391	0	260	234	350	0	725	0	0	154	304	582
ASV_15	1546	247	311	389	0	90	559	1343	939	0	410	457	20	0	0	0	288	0	2645	0	0	0	1048	0	561	1333	1604	230	0	0	549	63	234	568	1514	2066	0	837	205	187	558	154	203	634	280	269	0	322	85	0
ASV_16	0	879	997	449	1683	948	0	548	0	1850	91	0	60	620	3092	146	12	205	83	0	305	331	0	861	1435	0	0	93	1666	584	0	892	199	415	477	904	90	428	141	75	62	44	0	259	0	88	0	0	29	1047
ASV_17	0	92	931	0	104	1442	52	638	161	800	547	0	0	311	0	0	965	1766	1317	1194	308	1056	465	968	1673	0	0	0	188	0	423	0	0	1225	606	1057	0	0	0	0	0	0	0	467	292	0	447	0	301	1692
ASV_18	0	871	977	468	1691	806	0	464	0	1995	99	0	52	601	2703	137	6	185	85	0	264	314	0	807	1439	0	0	103	1569	507	0	794	200	444	457	829	103	394	118	66	55	27	31	215	0	81	0	0	38	949
ASV_19	346	1316	1021	122	379	106	149	215	194	0	4018	580	414	681	550	69	259	59	292	0	658	503	446	89	419	1253	596	74	0	57	146	408	598	399	0	438	789	471	72	0	86	173	217	394	311	386	0	179	0	300
ASV_20	85	0	1269	512	339	2489	766	478	990	427	1153	58	434	774	382	398	0	1373	915	0	172	164	140	465	0	0	541	244	556	197	1083	596	386	661	0	0	201	379	507	0	0	74	41	336	0	0	0	0	0	371
ASV_21	63	3089	0	467	109	433	150	0	0	420	0	0	0	0	0	135	537	98	0	1289	0	0	1101	36	73	570	0	0	0	32	0	322	78	62	413	0	262	147	145	0	0	0	0	941	585	0	6218	46	0	2101
ASV_22	0	735	1932	0	344	0	3581	47	0	0	696	76	185	0	89	39	8	1189	0	0	1214	0	0	45	418	98	0	69	968	0	483	263	286	73	46	66	1842	840	0	1233	182	90	0	314	116	532	127	869	0	122
ASV_23	0	832	1986	0	346	0	3273	24	0	46	635	53	170	0	74	41	0	1147	0	0	1164	0	0	56	381	87	0	58	828	0	502	260	243	67	55	71	1922	766	0	1218	178	0	41	298	125	465	122	776	0	105
ASV_24	661	0	702	0	0	0	1956	43	0	3	0	0	0	203	158	0	0	0	295	0	0	1025	0	0	39	0	0	1586	0	523	0	320	0	0	3431	681	1148	191	0	1902	108	0	0	0	748	0	0	0	0	1431
