	Var1	Freq
1	201	2
2	202	10
3	203	12
4	204	4
5	205	8
6	206	8
7	207	9
8	208	12
9	209	2
10	211	8
11	212	4
12	213	3
13	214	5
14	215	2
15	216	8
16	217	7
17	218	4
18	219	3
19	221	12
20	222	9
21	223	2
22	224	3
23	225	8
24	226	18
25	227	20
26	228	6
27	229	2
28	230	8
29	231	3
30	232	9
31	233	4
32	234	4
33	235	6
34	236	32
35	237	11
36	238	5
37	239	7
38	240	3
39	241	8
40	242	7
41	243	8
42	244	11
43	245	7
44	246	21
45	247	9
46	248	4
47	249	9
48	250	22
49	251	4
50	252	11
51	253	3
52	254	11
53	255	2
54	256	3
55	257	2
56	258	2
57	259	3
58	260	4
59	261	2
60	262	7
61	263	6
62	264	5
63	265	22
64	266	16
65	267	4
66	268	3
67	269	12
68	270	1
69	271	26
70	272	5
71	273	8
72	274	1
73	275	2
74	277	2
75	278	5
76	279	3
77	280	3
78	281	4
79	282	7
80	283	13
81	284	14
82	285	1
83	286	1
84	287	4
85	288	3
86	290	9
87	291	2473
88	292	14910
89	293	234
90	294	19
91	295	2
92	296	1
93	298	9
94	299	3
95	301	8
96	302	5
97	304	14
98	305	3
99	306	8
100	307	13
101	308	2
102	309	2
103	310	6
104	312	2
105	313	5
106	314	1
107	316	3
108	318	4
109	319	46
110	320	1
111	321	2
112	322	6
113	323	5
114	324	1
115	325	1
116	326	1
117	327	1
118	329	3
119	330	1
120	331	4
121	332	1
122	333	20
123	334	1
124	335	6
125	336	2
126	337	1
127	338	1
128	340	5
129	341	1
130	342	3
131	343	2
132	345	7
133	346	7
134	347	47
135	348	1
136	349	1
137	350	2
138	352	18
139	353	2
140	357	3
141	358	3
142	360	7
143	361	2
144	363	2
145	365	5
146	366	8
147	367	9
148	368	7
149	369	4
150	370	4
151	371	2
152	372	1
153	373	1
154	374	4
155	376	5
156	377	5
157	378	21
158	381	3
159	382	1
160	384	4
161	386	2
162	387	1
163	390	1
