	input	filtered	denoisedF	denoisedR	merged	nonchim
ERR3610705	125855	115104	113952	113244	105910	62451
ERR3610706	96370	88100	86706	86429	83933	43844
ERR3610707	165839	152061	150238	149613	145490	87074
ERR3610708	97064	89395	88117	87668	81809	45511
ERR3610709	119900	109785	107748	107218	103878	55370
ERR3610710	122967	113088	112133	111907	108466	69342
ERR3610711	139187	127652	126366	126191	121972	76702
ERR3610712	108904	101772	100981	100547	97685	61576
ERR3610713	100437	93009	92077	91742	88251	51770
ERR3610714	111462	102747	101479	101116	98536	50873
ERR3610715	99797	92556	91573	91160	89172	53748
ERR3610716	83449	76667	75657	74927	71594	38826
ERR3610717	115780	105862	104412	103971	100865	52505
ERR3610718	113859	105172	103507	103073	100074	56345
ERR3610719	174734	161496	160063	159615	147385	76896
ERR3610720	90289	83931	82735	82343	78523	43383
ERR3610721	104376	97621	96383	96206	91132	49493
ERR3610722	112911	104231	103447	102925	97158	57796
ERR3610723	127079	117241	116260	115937	112407	65189
ERR3610724	103716	97135	96137	95814	93576	49625
ERR3610725	108401	99745	98509	98200	93015	57322
ERR3610726	99857	89751	88607	88063	85098	46434
ERR3610727	88028	82075	80857	80410	77668	40550
ERR3610728	68297	62968	62148	61677	58062	33404
ERR3610729	121825	111552	110261	109764	104783	60179
ERR3610730	129603	119531	118229	117837	108237	57576
ERR3610731	117976	109794	108854	108635	105415	65662
ERR3610732	94586	80362	79118	78594	74402	44014
ERR3610733	122354	112990	112285	111870	109792	74053
ERR3610734	173032	158799	158003	157466	111358	58692
ERR3610735	115545	107643	106496	105971	98442	59283
ERR3610736	97474	90548	89663	89440	85719	51712
ERR3610737	118944	109523	108315	107799	91523	57133
ERR3610738	111646	103190	102081	101740	99222	59525
ERR3610739	114670	106176	105046	104749	96972	66480
ERR3610740	101297	93309	92367	92077	89681	53493
ERR3610741	115276	105394	103736	102901	99254	58445
ERR3610742	72480	67686	66843	66289	62810	42886
ERR3610743	64481	59590	58984	58545	49415	29792
ERR3610744	44206	40952	40380	40251	39205	27683
ERR3610745	67892	63212	61862	61335	55024	33474
ERR3610746	68713	63052	62070	61730	53008	29604
ERR3610747	48575	44356	43744	43426	33743	17805
ERR3610748	54311	50455	50012	49854	48841	29067
ERR3610749	59280	55041	54517	54215	53342	32896
ERR3610750	56539	52782	52366	52149	47787	29409
ERR3610751	88282	82316	81237	81071	78817	41599
ERR3610752	40861	37858	37418	37116	34757	22929
ERR3610753	47132	43302	42551	42432	40930	27298
ERR3610754	69404	64698	64085	63850	62416	40081
