	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR7581293	240872	21595	20814	19929	16917	8110
SRR7581294	292849	33936	32701	31407	26851	13213
SRR7581295	123149	11577	10811	9756	7165	5195
SRR7581297	307880	15772	15266	14452	12433	8052
SRR7581298	307317	36104	34155	32828	25969	14234
SRR7581299	272643	17811	17018	15789	12690	7909
SRR7581300	316489	26071	25005	24123	19691	12554
SRR7581301	359773	24908	23949	23483	20048	14144
SRR7581302	268019	38110	36819	35504	30376	14226
SRR7581303	327482	29314	28167	27350	21737	12445
SRR7581304	331830	32165	31189	30230	24992	14107
SRR7581305	152711	6631	6042	5187	3773	2892
SRR7581306	171752	10276	9992	9846	9019	7515
SRR7581307	319515	22257	21057	19542	13821	9375
SRR7581308	289150	23133	22004	21242	16802	11246
SRR7581309	235520	22125	21089	19976	16421	12189
SRR7581310	76016	9640	9084	8955	6745	3801
SRR7581311	71133	4668	4412	4113	3541	2143
SRR7581312	270069	13411	12485	11750	9549	7257
SRR7581313	354636	44673	43786	43570	38441	27641
SRR7581314	339676	32802	32082	31024	26901	19850
SRR7581317	154177	26351	25762	25600	22402	13588
SRR7581318	102638	14688	14135	13730	11024	6347
SRR7581319	77665	13963	13651	13353	12102	10193
SRR7581320	119808	17320	16775	16484	14291	10433
SRR7581321	111187	15988	15420	14965	13007	8880
SRR7581322	79269	14696	14264	14220	13178	9608
SRR7581327	319187	47996	46806	45760	39748	21622
SRR7581328	360556	38151	36671	35391	28619	19284
SRR7581329	352539	44480	43665	42794	36164	23459
SRR7581330	286315	22219	21652	21033	18199	13118
SRR7581331	284818	35632	34294	32995	27487	12640
SRR7581332	231594	25996	24889	24001	19147	10961
SRR7581333	226203	15896	15091	14370	11696	8554
SRR7581334	403440	31536	30817	30123	25443	19196
SRR7581335	318026	26780	25816	24991	20944	9255
SRR7581336	348704	13186	12664	11887	9271	7093
SRR7581337	380171	26209	24736	23594	18442	10173
SRR7581338	91373	13646	13269	13146	11720	8074
SRR7581339	298407	30886	30400	29571	26772	22954
SRR7581340	107787	14355	13652	13228	10519	7164
SRR7581341	79505	8409	7767	7365	5748	3933
SRR7581342	112446	19343	18913	18732	16854	10762
SRR7581343	96813	16061	15656	15327	13363	8961
SRR7581344	105257	8613	8309	7881	6843	3653
SRR7581345	96512	14535	14083	13860	11613	4668
SRR7581346	89071	12291	11642	11310	8734	5409
SRR7581347	98303	13845	12940	12536	9387	5657
SRR7581348	215374	26830	25533	25014	21054	8412
SRR7581349	297815	21811	20470	19306	14273	10275
SRR7581350	232171	14820	13896	13006	9501	7293
SRR7581351	84834	11362	10772	10566	8271	5253
SRR7581352	192751	20502	19553	18828	15396	8792
SRR7581353	334615	46240	44271	43403	35660	19694
SRR7581354	247386	28397	27812	26852	24539	21594
SRR7581355	207765	19032	18568	18022	15891	13564
