Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_age,Host,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Microbial_fraction,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample_index,Sample Name,SRA Study
SRR11733553,AMPLICON,502,12045992,PRJNA631001,SAMN14851203,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7433890,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292553,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_6_2_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,217,sample_6_2_IgA_pos,SRP260653
SRR11733554,AMPLICON,502,12645882,PRJNA631001,SAMN14851202,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7954516,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292552,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_6_2,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,216,sample_6_2,SRP260653
SRR11733555,AMPLICON,502,13156918,PRJNA631001,SAMN14851201,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",8322230,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292551,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_5_2_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,215,sample_5_2_IgA_neg,SRP260653
SRR11733556,AMPLICON,502,10785972,PRJNA631001,SAMN14851200,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6482012,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292550,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_5_2_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,214,sample_5_2_IgA_pos,SRP260653
SRR11733557,AMPLICON,502,11779932,PRJNA631001,SAMN14851199,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7248512,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292549,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_5_2,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,213,sample_5_2,SRP260653
SRR11733558,AMPLICON,502,12151914,PRJNA631001,SAMN14851198,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",7630854,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292548,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_4_2_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,212,sample_4_2_IgA_neg,SRP260653
SRR11733559,AMPLICON,502,8249366,PRJNA631001,SAMN14851197,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",5274447,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292547,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_4_2_IgA_pos,PAIRED,PCR,METAGENOMIC,IgA_pos,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,211,sample_4_2_IgA_pos,SRP260653
SRR11733560,AMPLICON,502,30057250,PRJNA631001,SAMN14851008,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",18885507,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292546,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_8_1,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 1,2020-05-08T10:24:00Z,1,22,sample_8_1,SRP260653
SRR11733561,AMPLICON,502,14139332,PRJNA631001,SAMN14851196,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9028680,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292545,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_4_2,PAIRED,PCR,METAGENOMIC,input,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:25:00Z,1,210,sample_4_2,SRP260653
SRR11733562,AMPLICON,502,16542406,PRJNA631001,SAMN14851195,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10326776,YALE UNIVERSITY SCHOOL OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",digestive tract environment[ENVO:01001033],fecal environment [ENVO:01001029],SRX8292544,Sweden,Europe,Sweden,1,Homo sapiens,Illumina MiSeq,sample_3_2_IgA_neg,PAIRED,PCR,METAGENOMIC,IgA_neg,human gut metagenome,ILLUMINA,2020-05-08T00:00:00Z,technical replicate 2,2020-05-08T10:24:00Z,1,209,sample_3_2_IgA_neg,SRP260653
