ASV_ID	SRR11733574	SRR11733576	SRR11733578	SRR11733580	SRR11733584	SRR11733587	SRR11733590	SRR11733593	SRR11733597	SRR11733600	SRR11733603	SRR11733607	SRR11733610	SRR11733613	SRR11733618	SRR11733621	SRR11733624	SRR11733628	SRR11733631	SRR11733634	SRR11733638	SRR11733641	SRR11733644	SRR11733647	SRR11733651	SRR11733681	SRR11733684	SRR11733687	SRR11733690	SRR11733694	SRR11733697	SRR11733700	SRR11733704	SRR11733707	SRR11733710	SRR11733715	SRR11733718	SRR11733721	SRR11733725	SRR11733728	SRR11733731	SRR11733748	SRR11733778	SRR11733781	SRR11733784	SRR11733787	SRR11733791	SRR11733794	SRR11733797	SRR11733801	SRR11733804	SRR11733807	SRR11733809	SRR11733812	SRR11733815	SRR11733818	SRR11733821	SRR11733854
ASV_1	1063	21	420	334	459	1078	420	447	613	516	562	1185	642	326	747	1043	1038	448	300	441	334	1052	26	3256	646	453	289	1370	197	699	321	594	450	584	46	357	467	553	904	677	1514	384	403	354	2800	1008	336	695	481	286	586	621	166	1611	369	280	325	492
ASV_2	0	2257	0	130	0	1138	1078	0	0	0	0	0	0	1810	966	0	0	0	787	0	260	0	243	0	1837	1665	650	5441	414	3	0	0	0	410	1861	0	2615	44	4	881	1671	0	0	0	1934	75	3666	0	56	245	0	55	168	0	59	0	926	964
ASV_3	160	0	182	720	858	35	62	624	375	905	928	492	252	960	1055	1230	51	824	407	276	386	156	101	748	704	498	688	0	99	2216	72	216	490	177	223	1453	0	716	71	2613	0	230	693	80	0	1020	77	0	978	700	118	111	41	0	446	0	306	263
ASV_4	333	0	0	0	951	1296	0	600	881	985	654	0	61	301	0	1538	0	87	48	476	1034	933	398	862	394	0	428	703	356	1436	224	704	304	99	171	356	0	472	278	1873	224	821	521	55	774	0	0	0	235	0	799	0	0	1889	0	418	551	1310
ASV_5	144	0	4	34	315	7	102	11	111	4	0	418	61	6	607	5	292	0	205	967	16	2188	266	20	37	537	9	38	2	14	8	36	594	5	0	290	0	2986	9	14	373	6647	0	9	172	23	903	60	62	91	0	14	3637	0	1767	26	11	82
ASV_6	447	174	525	0	585	219	354	516	341	437	82	515	417	572	953	0	424	282	526	386	584	0	257	636	176	45	469	442	541	380	472	557	290	117	165	478	335	451	571	269	628	77	345	130	181	0	776	570	453	0	201	218	501	342	95	589	416	399
ASV_7	107	22	399	350	166	52	374	327	142	548	456	607	297	355	832	1027	66	145	585	144	32	28	48	140	502	259	178	19	817	168	135	27	0	462	72	168	97	129	0	4184	73	83	273	0	0	1001	80	18	546	128	391	20	169	303	243	1184	795	651
ASV_8	492	554	241	272	141	142	0	88	458	437	0	212	570	730	0	0	0	255	659	313	147	0	75	68	279	67	274	0	0	375	266	0	483	354	157	371	0	623	748	0	776	304	192	212	449	0	0	1365	845	132	171	790	0	865	44	0	789	1165
ASV_9	928	0	121	620	541	58	0	33	0	321	302	483	779	49	537	0	0	267	779	0	513	0	364	0	571	408	431	0	459	0	780	590	0	413	1250	171	0	0	194	39	504	0	355	0	58	478	777	275	488	490	720	113	835	0	0	0	0	657
ASV_10	281	81	157	270	477	150	111	326	133	149	208	747	112	268	445	1041	0	365	476	181	379	63	70	260	738	19	47	304	185	63	26	403	38	394	86	151	209	326	703	803	560	86	323	28	0	0	0	0	296	221	458	926	0	0	50	0	328	338
ASV_11	440	202	218	424	170	229	339	266	666	146	0	271	407	257	0	0	333	276	180	424	248	424	0	404	33	244	236	486	48	67	137	174	76	320	0	222	332	625	291	0	628	153	347	266	418	0	0	163	554	223	89	605	0	84	75	0	416	750
ASV_12	256	0	18	502	0	20	499	205	397	487	167	582	527	1663	0	578	224	146	505	224	79	94	232	67	488	181	232	0	678	17	73	105	194	435	125	266	321	0	51	1557	31	0	66	11	207	0	0	17	116	229	0	0	111	105	525	756	0	0
ASV_13	306	0	416	620	451	133	304	586	187	0	244	144	151	1370	129	0	0	217	654	266	309	0	432	0	755	150	238	0	1268	288	40	0	216	473	0	519	467	0	133	0	135	0	244	0	0	0	0	672	571	236	97	180	0	0	430	0	0	266
ASV_14	29	27	737	95	95	255	75	171	113	0	0	921	622	700	802	0	88	226	294	74	151	45	119	0	103	71	274	404	260	357	40	98	40	50	285	108	0	0	2373	0	219	487	340	96	0	0	0	604	312	62	72	1334	149	0	31	0	321	120
