	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR11733574	21816	17012	16461	16375	13698	11760
SRR11733576	21208	16354	15784	15814	13942	13133
SRR11733578	22918	18638	17890	18037	14937	11572
SRR11733580	23168	18460	17516	17637	14302	11557
SRR11733584	25526	20494	19705	19694	16307	12964
SRR11733587	28150	21670	21059	21056	16014	13595
SRR11733590	18006	14555	13922	14007	11457	8999
SRR11733593	25820	20905	20085	20260	16520	12106
SRR11733597	23845	18024	17104	17274	13630	10933
SRR11733600	23561	17389	16766	16702	13805	10778
SRR11733603	15723	12522	12089	12107	9587	7427
SRR11733607	22094	17247	16648	16654	13657	10989
SRR11733610	32708	27009	25932	26000	22000	18943
SRR11733613	35911	29029	28234	28122	22929	17228
SRR11733618	25483	20810	20043	20090	16895	13557
SRR11733621	21509	17676	17176	17242	14412	11218
SRR11733624	14369	11901	11627	11632	10044	8176
SRR11733628	16938	13488	12880	13018	11162	10207
SRR11733631	21559	17072	16437	16506	14230	12405
SRR11733634	24226	19705	18912	18927	16109	14513
SRR11733638	34276	25620	24923	24750	18966	14543
SRR11733641	25597	16617	16130	16206	12079	9405
SRR11733644	19767	15161	14284	14492	10727	10152
SRR11733647	21329	17115	16909	16931	12546	9463
SRR11733651	24962	19477	18965	19013	15753	13471
SRR11733681	16129	13622	13096	13074	11238	9607
SRR11733684	21361	17429	16773	16780	14705	12964
SRR11733687	25502	20743	20168	20164	16591	15125
SRR11733690	22277	18637	18102	18117	14792	10925
SRR11733694	21832	17582	17176	17197	14045	10681
SRR11733697	23261	18534	17915	17989	13557	11532
SRR11733700	28253	18925	18439	18302	14070	11518
SRR11733704	20836	14585	13814	13823	11732	11255
SRR11733707	24884	18243	17615	17640	12938	10436
SRR11733710	19731	14787	14095	14116	11367	9609
SRR11733715	19999	14611	14079	14039	11415	10090
SRR11733718	15586	12394	12042	12068	9271	7759
SRR11733721	23646	18195	17618	17680	14445	12554
SRR11733725	29816	21552	20956	21001	16990	13979
SRR11733728	40251	32405	31886	31808	26331	20305
SRR11733731	27364	18476	17964	17996	14181	12118
SRR11733748	28528	22997	22324	22357	20167	18987
SRR11733778	17771	12932	12361	12472	9808	8136
SRR11733781	18729	13732	13154	13070	10462	9072
SRR11733784	22686	16835	16539	16476	12962	10508
SRR11733787	21746	16164	15758	15628	12234	10456
SRR11733791	26381	20140	19527	19529	15951	14764
SRR11733794	25162	19419	19038	19013	14937	12090
SRR11733797	26447	21074	20360	20338	16070	11847
SRR11733801	18348	14966	14273	14385	11542	8818
SRR11733804	18839	15578	14832	14910	11573	9232
SRR11733807	21168	16791	16281	16363	13455	11199
SRR11733809	22227	18571	17847	17952	15078	13641
SRR11733812	24745	19967	19419	19538	16057	12517
SRR11733815	23036	17851	17220	17202	14988	12342
SRR11733818	22644	18396	17827	17773	14670	11989
SRR11733821	29490	22146	21258	21308	18265	16112
SRR11733854	29205	23094	22188	22285	18700	16906
