ASV_ID	ZP0371	ZP0395	ZP0396	ZP0399	ZP0458
ASV_1	0	83	108	0	0
ASV_2	136	0	0	0	33
ASV_3	0	0	92	0	76
ASV_4	0	0	104	0	63
ASV_5	68	0	32	0	53
ASV_6	0	0	143	0	0
ASV_7	0	0	130	0	13
ASV_8	0	59	83	0	0
ASV_9	0	0	136	0	0
ASV_10	0	0	0	0	132
ASV_11	0	0	36	0	95
ASV_12	0	0	0	110	14
ASV_13	0	0	119	0	0
ASV_14	0	0	119	0	0
ASV_15	0	105	0	0	13
ASV_16	0	0	118	0	0
ASV_17	105	0	0	0	12
ASV_18	110	0	0	0	0
ASV_19	0	0	110	0	0
ASV_20	0	109	0	0	0
ASV_21	0	51	0	41	15
ASV_22	0	106	0	0	0
ASV_23	0	0	105	0	0
ASV_24	0	0	104	0	0
ASV_25	0	0	0	0	104
ASV_26	103	0	0	0	0
ASV_27	0	0	0	88	15
ASV_28	0	102	0	0	0
ASV_29	0	45	7	50	0
ASV_30	0	0	0	101	0
ASV_31	0	0	0	0	101
ASV_32	0	99	0	0	0
ASV_33	0	0	0	0	99
ASV_34	0	95	0	0	0
ASV_35	0	94	0	0	0
ASV_36	0	94	0	0	0
ASV_37	0	53	41	0	0
ASV_38	0	0	0	0	94
ASV_39	46	0	8	0	38
ASV_40	0	0	0	92	0
ASV_41	0	0	0	0	92
ASV_42	91	0	0	0	0
ASV_43	0	91	0	0	0
ASV_44	18	0	35	0	37
ASV_45	0	0	0	90	0
ASV_46	0	0	0	43	47
ASV_47	0	0	0	0	90
ASV_48	88	0	0	0	0
ASV_49	0	0	87	0	0
ASV_50	0	86	0	0	0
ASV_51	85	0	0	0	0
ASV_52	56	29	0	0	0
ASV_53	23	19	12	0	31
ASV_54	0	85	0	0	0
ASV_55	0	0	85	0	0
ASV_56	0	84	0	0	0
ASV_57	0	84	0	0	0
ASV_58	0	60	0	0	24
ASV_59	0	0	0	49	35
ASV_60	0	83	0	0	0
ASV_61	0	83	0	0	0
ASV_62	0	24	0	39	20
ASV_63	0	17	49	0	17
ASV_64	0	13	0	0	70
ASV_65	0	0	83	0	0
ASV_66	0	0	0	0	83
ASV_67	0	82	0	0	0
ASV_68	60	21	0	0	0
ASV_69	11	0	32	0	38
ASV_70	0	81	0	0	0
ASV_71	0	0	0	0	81
ASV_72	65	0	0	0	15
ASV_73	0	30	0	34	16
ASV_74	0	0	80	0	0
ASV_75	0	0	0	80	0
ASV_76	0	0	0	80	0
ASV_77	13	0	41	0	25
ASV_78	0	79	0	0	0
ASV_79	0	79	0	0	0
ASV_80	0	27	0	38	14
ASV_81	0	24	0	44	11
ASV_82	0	21	43	0	15
ASV_83	0	0	79	0	0
ASV_84	49	29	0	0	0
ASV_85	0	0	78	0	0
ASV_86	16	0	23	0	38
ASV_87	0	23	0	37	17
ASV_88	0	22	0	41	14
ASV_89	0	0	31	0	46
ASV_90	0	0	0	77	0
ASV_91	0	0	0	0	77
ASV_92	0	0	0	0	77
ASV_93	13	0	36	0	27
ASV_94	13	0	25	0	38
ASV_95	9	0	31	0	36
ASV_96	0	76	0	0	0
ASV_97	0	0	76	0	0
ASV_98	0	0	0	0	76
ASV_99	75	0	0	0	0
ASV_100	75	0	0	0	0
ASV_101	0	21	0	41	13
ASV_102	0	74	0	0	0
ASV_103	0	74	0	0	0
ASV_104	0	74	0	0	0
ASV_105	0	31	0	28	15
ASV_106	0	0	74	0	0
ASV_107	0	0	74	0	0
ASV_108	12	0	22	0	39
ASV_109	0	73	0	0	0
ASV_110	0	30	0	28	15
ASV_111	0	6	67	0	0
ASV_112	0	0	73	0	0
ASV_113	0	0	0	73	0
ASV_114	72	0	0	0	0
ASV_115	34	38	0	0	0
ASV_116	17	0	27	0	28
ASV_117	14	0	22	0	36
ASV_118	0	72	0	0	0
ASV_119	0	34	0	30	8
ASV_120	0	0	10	40	22
ASV_121	0	45	18	0	8
ASV_122	0	0	6	47	18
