ASV_ID	SRR21922134	SRR21922135	SRR21922136	SRR21922137	SRR21922138	SRR21922139	SRR21922140	SRR21922141	SRR21922142	SRR21922143	SRR21922144	SRR21922145	SRR21922146	SRR21922147	SRR21922148	SRR21922149	SRR21922150	SRR21922151	SRR21922152	SRR21922153	SRR21922154	SRR21922155	SRR21922156	SRR21922157	SRR21922158	SRR21922159	SRR21922160	SRR21922161	SRR21922162	SRR21922163	SRR21922164	SRR21922165	SRR21922166	SRR21922167	SRR21922168	SRR21922169	SRR21922170	SRR21922171	SRR21922172	SRR21922173	SRR21922174	SRR21922175	SRR21922176	SRR21922177	SRR21922178	SRR21922179	SRR21922180	SRR21922181	SRR21922182	SRR21922183	SRR21922184	SRR21922185	SRR21922186	SRR21922187	SRR21922188	SRR21922189	SRR21922190	SRR21922191	SRR21922192	SRR21922193
ASV_1	56	15	77	43	315	70	16	0	0	47	16	55	79	0	0	209	214	128	25	0	92	83	0	25	47	288	145	134	30	518	26	0	25	0	0	771	0	33	101	0	30	405	0	44	517	151	0	0	41	14	68	504	0	62	28	0	44	102	182	105
ASV_2	20	0	63	23	308	71	4	0	0	28	17	48	51	0	0	166	194	120	45	0	100	127	0	21	0	274	124	122	33	449	31	0	23	0	0	839	0	35	103	0	39	364	0	26	492	154	0	0	44	23	46	466	0	0	30	0	35	68	131	128
ASV_3	35	29	0	0	50	0	0	0	0	348	0	18	44	82	0	0	0	25	448	47	18	0	35	0	34	0	10	62	0	108	104	0	0	0	29	0	1235	293	0	80	41	43	0	42	0	48	36	54	0	57	213	172	731	39	509	31	174	0	100	0
ASV_4	36	52	0	0	37	0	0	0	0	369	0	18	44	0	0	0	0	31	450	69	10	0	58	0	44	0	15	57	0	96	125	0	0	0	24	0	1187	255	0	59	49	49	0	31	0	65	35	32	0	50	233	193	648	57	487	22	175	0	0	0
ASV_5	49	94	40	38	183	51	19	112	117	80	20	43	94	27	0	548	463	89	40	109	152	43	28	54	49	28	145	104	99	54	57	70	43	84	29	92	0	104	283	74	63	28	58	52	0	145	37	89	82	17	90	183	0	29	107	0	81	103	0	103
ASV_6	36	80	22	39	207	59	28	115	115	85	22	42	82	34	89	527	412	98	46	115	149	35	56	41	44	30	161	113	87	44	73	64	43	71	33	87	0	73	267	77	49	41	46	49	0	143	65	83	76	9	98	162	0	50	114	0	92	80	0	109
ASV_7	82	49	0	46	217	87	19	40	47	62	34	116	58	52	43	669	76	135	75	0	75	491	47	53	44	0	129	43	181	143	64	145	48	14	0	32	167	79	0	0	0	69	0	125	88	90	25	17	55	97	187	68	67	36	177	62	39	0	36	24
ASV_8	75	0	0	49	192	68	24	54	41	80	24	125	76	0	0	704	76	0	59	71	113	510	48	34	55	0	132	37	189	144	73	129	40	10	0	31	194	92	0	65	0	54	0	131	0	73	25	20	41	98	202	0	60	24	181	0	32	0	28	45
ASV_9	36	48	55	23	174	190	0	78	61	278	0	132	10	58	0	0	0	157	47	113	163	92	22	14	39	0	220	342	29	45	38	23	0	71	66	38	0	79	0	30	21	29	96	22	0	295	107	354	84	51	122	173	145	54	24	48	105	0	0	0
ASV_10	52	21	39	18	246	61	5	0	0	28	8	52	62	0	0	140	195	94	22	0	94	70	0	25	0	196	93	89	21	362	16	0	14	0	0	619	0	27	100	0	17	285	0	24	443	115	0	0	27	16	26	376	0	0	18	0	21	67	104	85
ASV_11	0	20	51	18	264	56	15	0	0	34	7	43	49	0	0	142	185	92	14	0	83	77	0	19	0	198	101	125	20	314	26	0	24	0	0	665	0	12	92	0	0	348	0	14	435	95	0	0	30	21	34	370	0	0	25	0	27	60	104	82
ASV_12	0	70	44	0	0	58	32	39	52	258	26	58	385	13	0	0	452	21	146	21	78	40	0	0	53	99	125	441	53	108	9	0	248	60	43	35	0	332	0	69	113	97	46	0	0	41	307	0	0	0	164	29	37	0	0	2	0	31	0	40
ASV_13	0	0	41	13	244	42	9	0	0	40	15	31	54	0	0	139	189	76	19	0	72	68	0	22	0	221	101	92	27	360	27	0	17	0	0	635	0	20	86	0	19	311	0	43	424	112	0	0	26	12	32	382	0	37	16	0	20	62	99	66
ASV_14	33	47	52	20	169	166	0	83	50	218	0	124	3	60	0	0	0	160	39	116	136	72	17	14	18	0	199	339	26	38	47	17	0	70	49	69	0	74	0	55	15	34	96	24	0	255	77	374	86	46	94	179	115	39	38	50	117	0	0	0
ASV_15	60	31	0	0	37	0	0	0	0	265	0	0	31	42	0	0	0	18	337	63	11	0	35	0	27	0	11	56	0	72	63	0	0	0	19	0	960	232	0	56	30	39	0	36	0	31	24	43	0	39	196	161	499	34	362	18	158	0	0	0
ASV_16	27	0	112	0	0	20	0	62	38	0	0	374	100	12	0	454	0	144	34	0	64	207	0	0	0	103	118	0	0	0	0	762	59	150	0	43	0	0	0	121	0	0	85	0	0	0	108	0	0	0	0	39	0	0	0	174	0	0	0	668
ASV_17	40	23	0	0	49	0	0	0	0	306	0	14	33	30	0	0	0	15	312	49	10	0	0	0	17	0	6	43	0	66	97	0	0	0	21	0	943	204	0	58	33	29	0	27	0	52	26	27	0	39	178	163	556	41	351	20	143	0	0	0
ASV_18	40	66	24	33	178	29	22	73	88	42	26	38	67	29	29	434	331	72	29	93	91	29	0	37	37	23	101	86	91	49	34	54	48	52	31	95	0	67	198	58	52	30	54	26	0	150	51	67	65	8	71	142	0	35	105	0	71	85	0	68
ASV_19	0	48	20	0	0	47	20	30	21	229	43	49	377	13	0	0	412	15	138	23	83	43	7	0	58	79	114	529	42	92	8	0	213	0	0	24	0	326	0	62	122	0	31	23	0	34	286	0	0	0	163	43	31	0	0	0	0	51	0	33
ASV_20	38	30	0	0	40	0	0	0	0	256	0	23	30	17	0	0	0	11	309	70	13	0	36	0	24	0	7	59	0	57	73	0	0	0	36	0	954	197	0	54	30	37	0	36	0	49	31	36	0	47	159	140	494	40	317	28	140	0	49	0
ASV_21	47	71	0	20	167	35	18	90	80	50	16	39	65	34	0	423	337	87	30	78	100	25	45	41	40	29	133	90	82	39	45	42	31	65	14	70	0	55	205	37	26	36	43	28	0	127	51	56	65	16	51	137	0	34	88	0	76	60	0	77
ASV_22	23	64	28	34	143	24	22	71	95	54	27	36	51	38	0	391	341	84	34	81	84	30	37	24	43	26	127	73	76	24	36	43	25	62	23	61	0	48	207	57	48	23	40	35	48	127	38	46	66	7	57	123	0	35	82	0	61	88	0	83
ASV_23	0	0	46	26	472	91	14	38	39	98	22	255	31	297	0	38	0	0	44	81	47	55	27	129	29	0	69	101	24	262	87	26	20	15	0	80	0	162	38	68	0	28	124	79	0	51	183	79	79	0	0	68	0	40	115	0	36	0	13	0
ASV_24	75	35	53	42	126	57	21	36	43	51	18	97	61	58	0	550	55	0	47	0	89	399	22	31	27	0	91	24	147	133	49	104	28	13	0	13	129	79	0	25	67	30	0	88	0	65	17	21	52	93	137	0	47	18	124	0	75	0	35	17
ASV_25	0	32	0	0	29	33	0	42	29	44	0	26	0	0	75	45	26	39	0	0	0	15	64	0	118	372	0	27	178	0	0	80	0	20	61	0	0	0	256	48	55	68	652	0	520	0	0	32	84	128	0	42	186	52	33	46	27	0	58	41
ASV_26	19	17	32	366	0	0	0	106	123	0	0	44	0	189	0	0	0	255	0	28	0	0	36	57	0	315	0	0	0	0	70	0	0	380	158	0	0	0	0	263	30	16	0	162	16	0	0	200	203	34	21	0	0	241	0	17	27	0	254	0
ASV_27	43	0	79	0	0	27	0	35	31	0	0	426	104	26	0	436	0	119	41	0	84	181	0	0	0	106	99	0	0	0	0	677	42	0	0	17	0	0	0	128	0	0	69	0	0	0	97	0	0	0	0	37	0	0	0	129	0	0	0	635
ASV_28	0	0	50	28	476	29	17	28	42	101	35	220	10	289	0	40	0	0	42	98	60	58	0	136	27	0	68	93	29	229	78	24	17	36	0	109	0	169	22	57	0	0	143	62	0	46	212	102	83	0	0	46	0	34	104	0	42	0	0	0
ASV_29	0	0	87	0	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1618	0	51	0	0	97	113	0	0	71	0	0	0	0	0	607	0	0	108	0	0	314	0	0	0	0	0	0	0	0	0	49	0	0	0
ASV_30	39	80	32	58	179	65	105	103	84	109	134	28	0	55	0	0	88	60	107	78	49	324	67	57	13	0	61	102	46	30	29	44	83	98	32	24	0	167	107	39	0	0	5	20	0	43	0	195	128	0	39	131	0	0	64	26	56	0	0	97
ASV_31	20	40	22	14	149	143	0	54	43	186	0	89	11	42	0	0	0	149	42	93	98	55	8	13	32	86	160	288	22	42	35	27	0	53	40	36	0	69	0	33	13	41	79	24	0	205	64	300	60	41	87	136	93	34	19	35	98	0	0	0
ASV_32	72	0	21	39	117	44	13	33	36	54	19	123	45	0	0	497	44	0	78	0	98	386	21	43	13	0	89	22	153	129	55	105	39	18	0	21	150	73	0	44	35	21	0	94	0	50	37	25	35	68	157	0	50	22	137	0	32	0	21	20
ASV_33	34	57	63	37	186	36	44	69	74	40	24	34	41	53	0	0	69	38	44	58	86	96	68	33	41	34	99	58	38	68	58	91	0	46	18	81	0	48	176	88	56	45	21	96	0	92	59	138	41	50	57	145	25	35	50	58	64	183	0	53
ASV_34	253	127	0	0	0	0	0	0	0	408	0	192	0	0	0	0	0	138	0	34	0	0	0	0	82	0	0	364	221	0	0	874	0	0	0	0	0	0	0	0	0	0	0	245	0	0	53	0	0	0	0	0	0	0	370	52	0	0	0	0
ASV_35	59	0	0	43	146	50	13	31	31	46	26	117	39	0	0	512	71	0	59	0	87	355	32	33	36	0	131	17	160	113	48	93	36	18	0	20	163	70	0	0	0	38	0	98	0	61	6	22	21	86	158	0	46	26	136	0	0	0	31	26
ASV_36	19	39	34	11	134	125	0	52	50	185	0	99	0	40	0	0	0	113	36	90	99	82	27	11	26	59	123	251	25	41	36	16	0	56	50	45	0	67	0	37	24	24	71	21	0	236	67	294	65	40	96	109	88	25	44	36	78	0	0	0
ASV_37	0	0	85	0	0	503	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1543	0	0	0	0	88	103	0	0	47	0	0	0	0	0	558	0	0	88	0	0	314	0	0	0	0	0	0	0	0	0	27	0	0	0
ASV_38	17	22	40	342	0	0	0	91	106	0	0	51	0	148	0	0	0	259	40	31	0	0	25	36	0	219	0	0	0	0	59	0	0	334	141	0	49	0	0	258	14	7	0	120	25	0	0	176	175	36	31	0	0	229	0	22	27	0	212	0
ASV_39	0	25	0	0	31	22	0	34	49	43	0	32	0	0	73	38	23	26	0	0	0	21	0	0	129	348	0	17	150	0	0	0	0	25	0	0	0	0	295	32	0	0	604	43	541	0	27	40	87	104	47	30	171	45	27	56	28	0	47	0
ASV_40	0	19	0	0	65	50	29	0	0	0	34	0	0	0	358	0	0	0	0	25	0	52	21	40	62	16	0	50	0	112	88	0	28	30	106	0	0	54	668	25	75	0	0	86	192	0	0	11	24	0	48	0	0	0	45	11	808	0	17	58
ASV_41	24	41	29	14	144	137	0	42	44	177	0	101	14	50	0	0	0	101	32	86	120	74	19	12	22	0	145	294	27	31	42	23	0	56	45	41	0	50	0	31	27	33	76	19	0	191	62	268	55	42	71	131	81	28	27	41	72	0	0	0
ASV_42	0	29	39	0	0	38	22	33	31	231	49	36	323	8	0	0	285	25	89	24	65	28	0	0	36	89	86	372	60	91	2	0	185	0	0	22	0	273	0	38	102	0	27	14	0	32	226	0	0	0	136	29	24	0	0	1	0	20	0	29
ASV_43	18	82	16	57	195	31	111	92	92	77	128	51	0	76	0	0	0	59	114	70	32	299	53	67	12	0	62	95	40	38	34	71	68	89	34	20	0	164	0	31	0	0	9	18	0	43	0	177	79	0	39	149	0	27	80	33	54	0	0	0
ASV_44	0	29	38	0	0	32	30	34	35	199	46	44	292	9	0	0	323	26	89	11	55	28	4	0	41	75	88	385	32	92	15	0	173	0	0	15	0	248	0	59	72	0	24	33	0	25	209	0	0	0	105	35	26	0	0	9	0	19	0	33
ASV_45	24	0	37	16	154	44	0	0	0	41	10	22	38	0	0	95	127	66	16	0	57	49	0	22	0	161	86	82	30	288	14	0	14	0	0	437	0	17	78	0	0	226	0	19	280	81	0	0	31	14	27	239	0	0	12	0	7	29	79	55
ASV_46	0	25	0	0	62	65	31	0	0	38	11	0	0	0	318	0	0	0	0	11	0	0	36	41	44	24	0	48	0	107	56	0	40	33	87	0	0	63	649	30	56	0	0	81	164	0	0	31	33	0	35	0	0	29	39	14	748	0	20	40
ASV_47	0	15	0	0	30	0	0	0	0	202	23	13	19	0	0	0	0	15	296	48	8	0	25	19	5	0	11	52	0	57	91	0	0	0	0	0	725	154	0	12	23	17	0	22	0	19	32	35	0	43	138	116	461	26	234	0	81	0	38	0
