ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	SRR21922134	SRR21922135	SRR21922136	SRR21922137	SRR21922138	SRR21922139	SRR21922140	SRR21922141	SRR21922142	SRR21922143	SRR21922144	SRR21922145	SRR21922146	SRR21922147	SRR21922148	SRR21922149	SRR21922150	SRR21922151	SRR21922152	SRR21922153	SRR21922154	SRR21922155	SRR21922156	SRR21922157	SRR21922158	SRR21922159	SRR21922160	SRR21922161	SRR21922162	SRR21922163	SRR21922164	SRR21922165	SRR21922166	SRR21922167	SRR21922168	SRR21922169	SRR21922170	SRR21922171	SRR21922172	SRR21922173	SRR21922174	SRR21922175	SRR21922176	SRR21922177	SRR21922178	SRR21922179	SRR21922180	SRR21922181	SRR21922182	SRR21922183	SRR21922184	SRR21922185	SRR21922186	SRR21922187	SRR21922188	SRR21922189	SRR21922190	SRR21922191	SRR21922192	SRR21922193
ASV1	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	56	15	77	43	315	70	16	0	0	47	16	55	79	0	0	209	214	128	25	0	92	83	0	25	47	288	145	134	30	518	26	0	25	0	0	771	0	33	101	0	30	405	0	44	517	151	0	0	41	14	68	504	0	62	28	0	44	102	182	105
ASV10	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	NA	52	21	39	18	246	61	5	0	0	28	8	52	62	0	0	140	195	94	22	0	94	70	0	25	0	196	93	89	21	362	16	0	14	0	0	619	0	27	100	0	17	285	0	24	443	115	0	0	27	16	26	376	0	0	18	0	21	67	104	85
ASV100	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	32	50	0	21	75	0	18	50	65	29	17	25	48	19	0	227	201	55	18	76	62	20	0	25	14	24	90	53	66	24	41	38	0	46	23	42	0	47	166	42	0	15	29	29	0	80	35	44	43	17	38	77	0	24	59	82	44	55	0	60
ASV1000	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA	65	28	0	0	0	85	41	0	0	0	37	70	0	0	0	0	68	22	56	0	0	0	0	0	0	35	0	0	0	0	75	0	93	0	0	59	0	0	0	43	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10000	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Barnesiella	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10001	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10002	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10003	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Dialister	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10004	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10005	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
