	Var1	Freq
1	37	1
2	42	4
3	48	1
4	67	1
5	72	2
6	80	1
7	85	4
8	89	1
9	91	1
10	92	1
11	95	1
12	99	1
13	100	1
14	103	1
15	104	1
16	107	1
17	119	1
18	127	1
19	134	2
20	138	1
21	140	1
22	147	1
23	158	7
24	161	1
25	171	1
26	175	1
27	185	1
28	196	1
29	200	1
30	202	1
31	203	1
32	204	1
33	211	1
34	219	1
35	221	1
36	222	1
37	223	1
38	225	1
39	227	1
40	238	1
41	239	1
42	240	6
43	241	1
44	249	11
45	250	27
46	267	1
47	270	1
48	271	2
49	274	4
50	277	1
51	282	2
52	285	3
53	286	8
54	287	2
55	288	1
56	289	14
57	290	40
58	291	45
59	292	1
60	294	8
61	295	56
62	296	10
63	297	96
64	298	385
65	306	1
66	316	1
67	341	2
68	346	1
69	347	1
70	354	1
71	372	1
72	373	8
73	374	1
74	381	2
75	383	1
76	389	1
77	392	1
78	396	1
79	397	2
80	401	1
81	402	3
82	403	1
83	405	3
84	406	2
85	407	4
86	409	11
87	410	4
88	411	7
89	412	14
90	413	27
91	414	19
92	415	15
93	416	6
94	417	2
95	418	1
96	420	1
97	422	12
98	424	33
99	427	1
100	428	3
101	431	1
102	433	1
103	434	5
104	435	11
105	436	24
106	437	21
107	438	212
108	439	4021
109	440	39861
110	441	10177
111	442	5835
112	443	6413
113	444	605
114	445	1300
115	446	1731
116	447	3096
117	448	202
118	449	1155
119	450	360
120	451	5
121	454	6
122	455	6
123	456	8
124	457	63
125	458	968
126	459	5235
127	460	94182
128	461	894
129	462	20
130	463	151
131	464	3472
132	465	29034
133	466	2418
134	467	17
135	473	1
136	474	2
137	475	18
138	476	6
139	479	1
140	480	1
