	input	filtered	denoisedF	denoisedR	merged	nonchim
SRR21922134	141882	133127	129500	130662	118254	50740
SRR21922135	105763	99578	96637	96921	87265	36657
SRR21922136	113297	106315	103535	103456	94878	36576
SRR21922137	133257	122951	120255	120385	111115	40082
SRR21922138	186526	175694	172775	173613	162715	67310
SRR21922139	174949	164633	161536	162339	149452	72494
SRR21922140	66026	62060	59196	59307	49317	23719
SRR21922141	177306	166414	162707	163510	151835	64049
SRR21922142	167299	157727	153936	154667	143264	60038
SRR21922143	170921	161074	157669	158030	146841	66579
SRR21922144	93935	88304	85049	85587	71154	32129
SRR21922145	157684	148026	144531	144857	131923	59276
SRR21922146	123245	115255	112682	112824	104252	41860
SRR21922147	184786	172987	169391	169559	157212	50529
SRR21922148	112726	106107	104340	104684	99188	38111
SRR21922149	166427	156250	153855	154039	147690	58069
SRR21922150	161931	144882	141995	142266	129319	66951
SRR21922151	191205	178992	175068	175780	159130	64630
SRR21922152	163872	153003	150107	150426	139457	56989
SRR21922153	93895	88274	85595	85715	78972	37448
SRR21922154	99558	93579	90447	90409	77589	29729
SRR21922155	139459	130161	128397	128057	121595	40265
SRR21922156	139526	130784	126928	127513	113058	41939
SRR21922157	88204	82719	80006	80182	73019	31267
SRR21922158	98932	92474	89994	90304	83859	35945
SRR21922159	233708	218452	215019	215539	204141	90010
SRR21922160	147843	138996	135088	135206	115952	39331
SRR21922161	182171	170530	166287	167007	151417	68629
SRR21922162	118068	110939	107468	107596	90143	36931
SRR21922163	177400	166589	163508	164033	152781	64074
SRR21922164	151157	140832	137064	137934	123376	53596
SRR21922165	140941	132136	129133	129276	118844	55212
SRR21922166	118816	111780	108652	109090	97692	43644
SRR21922167	173401	162479	158795	159262	148246	52879
SRR21922168	146440	134180	129947	130762	117671	48822
SRR21922169	138048	130387	126916	127445	115401	56360
SRR21922170	89482	83233	82365	82320	81086	30464
SRR21922171	296280	278795	274887	275139	256862	96381
SRR21922172	165421	156051	154332	154183	150873	66373
SRR21922173	147723	138096	135065	135741	125995	50798
SRR21922174	151804	141264	138115	138521	129271	54263
SRR21922175	122457	115047	112467	113077	106568	40277
SRR21922176	103587	97199	95261	95038	87834	38943
SRR21922177	119762	112381	109326	109435	100582	45503
SRR21922178	161087	151572	149411	149805	142733	64893
SRR21922179	135796	125932	123339	123640	114027	50910
SRR21922180	164127	153983	150721	151325	138824	59724
SRR21922181	208452	194920	191197	191859	179767	67628
SRR21922182	147562	136109	134030	133797	127342	41121
SRR21922183	98225	91112	88511	88743	81702	30463
SRR21922184	149911	140251	136866	137167	127305	59409
SRR21922185	174737	163949	161134	161725	150841	67642
SRR21922186	124570	115967	113987	114080	107459	43364
SRR21922187	170395	158936	156268	156332	147234	45787
SRR21922188	163399	153489	150253	150902	140073	60250
SRR21922189	100268	94036	91755	92169	84584	35198
SRR21922190	169661	155264	152038	152409	140056	62338
SRR21922191	166259	156055	153163	153554	142531	54159
SRR21922192	195826	183695	181159	181557	171990	47102
SRR21922193	190421	178890	175749	176367	165588	58205
