	reads.in	reads.out
SRR3932818.fq.gz	113136	111374
SRR3932819.fq.gz	111190	108731
SRR3932820.fq.gz	55680	54705
SRR3932821.fq.gz	77247	75768
SRR3932822.fq.gz	58373	57058
SRR3932823.fq.gz	108601	106670
SRR3932824.fq.gz	99638	97634
SRR3932825.fq.gz	90180	88637
SRR3932826.fq.gz	107566	105733
SRR3932827.fq.gz	127492	125336
SRR3932828.fq.gz	76800	74496
SRR3932829.fq.gz	110204	108126
SRR3932830.fq.gz	117284	114955
SRR3932831.fq.gz	25961	25230
SRR3932832.fq.gz	33668	32299
SRR3932833.fq.gz	36506	35567
SRR3932834.fq.gz	51358	49977
SRR3932835.fq.gz	87981	86378
SRR3932836.fq.gz	66590	65349
SRR3932837.fq.gz	95598	93485
SRR3932838.fq.gz	117071	115218
SRR3932839.fq.gz	65650	64324
SRR3932840.fq.gz	91536	90147
SRR3932841.fq.gz	17576	17159
SRR3932842.fq.gz	76196	74794
SRR3932843.fq.gz	106400	104622
SRR3932844.fq.gz	60239	59086
SRR3932845.fq.gz	36089	35082
SRR3932846.fq.gz	32414	31383
SRR3932847.fq.gz	39380	38445
SRR3932848.fq.gz	44432	43113
SRR3932849.fq.gz	71876	70765
SRR3932850.fq.gz	110194	108157
SRR3932851.fq.gz	67712	66542
SRR3932852.fq.gz	34148	33310
SRR3932853.fq.gz	83743	82133
SRR3932854.fq.gz	95956	94303
SRR3932855.fq.gz	118478	115722
SRR3932856.fq.gz	74731	73173
SRR3932857.fq.gz	59861	58726
SRR3932858.fq.gz	91807	90143
SRR3932859.fq.gz	76393	75092
SRR3932860.fq.gz	63414	62424
SRR3932861.fq.gz	74618	73205
SRR3932862.fq.gz	102816	101267
SRR3932863.fq.gz	40467	39579
SRR3932864.fq.gz	113642	111610
SRR3932865.fq.gz	140682	138280
SRR3932866.fq.gz	124536	121225
SRR3932867.fq.gz	37095	36293
SRR3932868.fq.gz	41082	40014
SRR3932869.fq.gz	50446	49364
SRR3932870.fq.gz	46500	45319
SRR3932871.fq.gz	96866	94614
SRR3932872.fq.gz	154354	152225
SRR3932873.fq.gz	118212	115718
SRR3932874.fq.gz	37544	36575
SRR3932875.fq.gz	61301	60039
SRR3932876.fq.gz	83365	81675
SRR3932877.fq.gz	82653	81045
SRR3932878.fq.gz	49980	48905
SRR3932879.fq.gz	70095	68607
