	input	filtered	denoisedF	nonchim
SRR3932818	113136	111374	109327	38806
SRR3932819	111190	108731	107387	48046
SRR3932820	55680	54705	53076	38448
SRR3932821	77247	75768	71818	55901
SRR3932822	58373	57058	55891	25284
SRR3932823	108601	106670	104488	67854
SRR3932824	99638	97634	96443	83755
SRR3932825	90180	88637	87247	54171
SRR3932826	107566	105733	103915	51437
SRR3932827	127492	125336	124723	20604
SRR3932828	76800	74496	73352	37186
SRR3932829	110204	108126	106293	48100
SRR3932830	117284	114955	112494	60598
SRR3932831	25961	25230	23496	15935
SRR3932832	33668	32299	30334	21557
SRR3932833	36506	35567	34295	27220
SRR3932834	51358	49977	48095	27171
SRR3932835	87981	86378	83912	59713
SRR3932836	66590	65349	63118	37279
SRR3932837	95598	93485	91718	55600
SRR3932838	117071	115218	113704	52559
SRR3932839	65650	64324	62600	44542
SRR3932840	91536	90147	88846	45383
SRR3932841	17576	17159	16246	10912
SRR3932842	76196	74794	73353	45857
SRR3932843	106400	104622	103047	64352
SRR3932844	60239	59086	57452	36791
SRR3932845	36089	35082	33686	23202
SRR3932846	32414	31383	30104	22914
SRR3932847	39380	38445	37250	23724
SRR3932848	44432	43113	41210	28907
SRR3932849	71876	70765	69185	52934
SRR3932850	110194	108157	106099	68082
SRR3932851	67712	66542	65277	43843
SRR3932852	34148	33310	31648	17833
SRR3932853	83743	82133	80324	42809
SRR3932854	95956	94303	93098	58224
SRR3932855	118478	115722	112852	51636
SRR3932856	74731	73173	71624	51404
SRR3932857	59861	58726	57384	37823
SRR3932858	91807	90143	88638	59014
SRR3932859	76393	75092	74034	51936
SRR3932860	63414	62424	59364	38460
SRR3932861	74618	73205	71335	31812
SRR3932862	102816	101267	99514	59269
SRR3932863	40467	39579	38109	27012
SRR3932864	113642	111610	109260	56178
SRR3932865	140682	138280	136944	66008
SRR3932866	124536	121225	119273	83522
SRR3932867	37095	36293	34571	23219
SRR3932868	41082	40014	38259	24280
SRR3932869	50446	49364	49020	24259
SRR3932870	46500	45319	44809	33183
SRR3932871	96866	94614	92109	53314
SRR3932872	154354	152225	150459	33193
SRR3932873	118212	115718	114501	79852
SRR3932874	37544	36575	34828	26852
SRR3932875	61301	60039	58737	32060
SRR3932876	83365	81675	79986	44129
SRR3932877	82653	81045	79697	20373
SRR3932878	49980	48905	47306	33159
SRR3932879	70095	68607	66986	33026
