ASV_ID	SRR11733560	SRR11733574	SRR11733576	SRR11733578	SRR11733580	SRR11733584	SRR11733587	SRR11733590	SRR11733593	SRR11733594	SRR11733597	SRR11733600	SRR11733603	SRR11733607	SRR11733610	SRR11733613	SRR11733618	SRR11733621	SRR11733624	SRR11733628	SRR11733631	SRR11733634	SRR11733638	SRR11733641	SRR11733644	SRR11733647	SRR11733648	SRR11733651	SRR11733681	SRR11733684	SRR11733687	SRR11733690	SRR11733691	SRR11733694	SRR11733697	SRR11733700	SRR11733704	SRR11733707	SRR11733710	SRR11733715	SRR11733718	SRR11733721	SRR11733725	SRR11733728	SRR11733731	SRR11733748	SRR11733749	SRR11733778	SRR11733781	SRR11733784	SRR11733787	SRR11733788	SRR11733791	SRR11733794	SRR11733797	SRR11733801	SRR11733804	SRR11733807	SRR11733809	SRR11733812	SRR11733815	SRR11733818	SRR11733819	SRR11733821	SRR11733854	SRR11733890	SRR11733920	SRR11733927
ASV_1	696	1063	21	545	334	451	1078	417	447	1320	611	512	561	1185	642	326	743	1065	1038	448	291	441	334	1052	26	3261	1262	646	512	289	1369	197	0	698	321	594	447	584	46	357	467	553	904	677	1514	481	0	403	422	2800	1007	1259	336	695	482	284	586	612	166	1611	369	280	0	325	491	191	2153	0
ASV_2	1013	0	2257	0	129	0	1126	1078	0	0	0	0	0	0	0	1810	966	0	0	0	787	0	260	0	243	0	0	1838	1665	650	5553	414	0	3	0	0	0	410	1924	0	2615	44	4	881	1671	0	6053	0	0	1934	75	0	3664	0	56	245	0	55	168	0	59	0	0	926	964	0	17	0
ASV_3	1252	448	173	524	0	585	219	354	536	887	341	437	82	515	477	569	966	0	422	281	525	386	660	0	256	636	747	176	45	469	442	541	3037	380	472	640	290	117	165	477	335	451	571	269	628	77	65	345	130	181	0	746	776	570	453	0	201	218	563	342	95	589	2348	417	399	5715	156	1017
ASV_4	1041	144	0	4	34	315	7	102	11	21	111	4	0	418	61	6	607	5	292	0	205	988	16	2188	266	20	9	37	537	8	38	2	3097	14	8	36	594	5	0	290	0	2986	9	14	373	6643	810	0	9	172	23	20	935	60	62	91	0	14	3637	0	1766	26	203	11	82	2624	223	4708
ASV_5	3114	333	0	0	0	952	1296	0	695	0	881	985	654	0	61	301	0	1538	0	87	48	476	1034	933	513	862	1644	394	0	426	724	356	0	1436	224	705	302	99	170	356	0	472	278	1870	224	821	0	521	55	773	0	0	0	0	235	0	799	0	0	1889	0	481	0	550	1310	260	2176	0
ASV_6	1593	160	0	182	720	856	35	62	624	52	375	905	928	491	252	956	1055	1230	49	824	407	276	386	156	101	748	736	704	493	688	0	99	0	2216	72	216	490	177	223	1453	0	702	71	2614	0	230	0	693	80	0	1019	1231	77	0	978	698	118	111	41	0	444	0	0	306	263	0	0	0
ASV_7	4119	107	22	397	344	165	52	374	327	528	142	548	453	607	296	355	832	1027	66	145	584	144	32	28	48	140	229	502	258	178	18	818	7	168	135	27	0	462	72	168	96	129	0	4203	73	83	0	273	0	0	1044	1815	79	18	546	128	387	20	169	303	243	1184	0	795	651	0	3468	0
ASV_8	0	492	554	241	272	141	142	0	88	1080	458	437	0	212	555	730	0	0	0	255	659	305	147	0	74	68	989	279	67	273	0	0	0	375	266	0	483	354	157	371	0	622	748	0	776	304	0	192	212	449	0	0	0	1365	845	132	170	790	0	864	44	0	0	789	1164	937	0	0
ASV_9	2721	928	0	121	619	541	58	0	33	0	0	321	302	483	779	47	537	0	0	266	779	0	577	0	364	0	0	571	408	431	0	459	0	0	780	655	0	413	1250	171	0	0	194	39	580	0	0	355	0	58	478	0	777	275	488	490	720	112	835	0	0	0	0	0	656	0	0	0
ASV_10	438	49	0	0	0	0	0	47	38	319	0	0	165	195	10	0	0	383	302	16	38	30	35	49	0	375	323	91	0	25	62	48	3095	25	29	0	81	0	0	47	29	0	0	601	102	0	1750	0	0	237	341	440	293	132	0	0	113	146	146	374	47	455	0	29	0	2107	2553	940
ASV_11	449	440	201	218	424	170	229	337	267	0	663	145	0	270	403	255	0	0	401	274	180	500	248	424	0	404	95	33	244	237	487	48	0	67	137	174	76	320	0	222	332	624	289	0	628	153	0	347	264	417	0	0	0	163	537	223	89	603	0	84	75	0	0	513	750	0	1734	0
