ASV_ID	SRR6010742	SRR6010743	SRR6010744	SRR6010745	SRR6010746	SRR6010747	SRR6010748	SRR6010749	SRR6010750	SRR6010751	SRR6010752	SRR6010753	SRR6010754	SRR6010755	SRR6010756	SRR6010757	SRR6010758	SRR6010759	SRR6010760	SRR6010761	SRR6010762	SRR6010763	SRR6010764	SRR6010765	SRR6010766	SRR6010767	SRR6010768	SRR6010769	SRR6010770	SRR6010771	SRR6010772	SRR6010773	SRR6010774	SRR6010775	SRR6010776	SRR6010777	SRR6010778	SRR6010779	SRR6010780	SRR6010781	SRR6010782	SRR6010783	SRR6010784	SRR6010785	SRR6010786	SRR6010787	SRR6010788	SRR6010789	SRR6010790	SRR6010791	SRR6010792	SRR6010793	SRR6010794	SRR6010795	SRR6010796	SRR6010797	SRR6010798	SRR6010799	SRR6010800	SRR6010801	SRR6010802	SRR6010803	SRR6010804	SRR6010805	SRR6010806	SRR6010807	SRR6010808	SRR6010809	SRR6010810	SRR6010811	SRR6010812	SRR6010813	SRR6010814	SRR6010815	SRR6010816	SRR6010817	SRR6010818	SRR6010819	SRR6010820	SRR6010821
ASV_1	192	148	145	237	0	118	107	210	255	395	329	2080	695	2916	283	1668	0	1857	1438	1214	2091	4474	3381	2692	3395	1513	61	0	0	0	0	162	88	0	158	254	460	507	4396	208	325	1120	3053	362	1330	225	0	1100	331	71	9477	0	667	913	2771	1310	325	0	2676	1081	1915	3834	535	517	2294	3269	935	0	0	217	0	0	628	0	0	251	0	0	0	0
ASV_2	0	242	0	0	0	183	210	293	181	516	237	2367	784	3128	339	1769	101	1581	1130	987	1463	2822	2073	3218	3210	1340	0	0	0	0	0	120	159	0	119	157	453	449	3078	0	248	962	3053	282	1235	190	0	794	328	196	10467	0	525	705	3189	1014	282	0	2211	846	1546	3592	516	471	1694	2912	800	0	0	192	0	0	617	0	0	0	53	0	0	0
ASV_3	0	0	35	0	0	153	166	194	103	2990	306	222	254	444	194	3110	186	602	702	415	166	537	189	483	243	339	0	0	0	0	0	0	191	0	0	375	1040	76	953	0	708	113	1152	1007	161	133	0	2541	0	0	151	0	2491	1766	283	130	246	0	1758	693	282	1254	1530	674	1525	1582	3253	0	0	2316	0	0	1004	0	0	0	0	35	0	0
ASV_4	21	0	0	40	0	0	174	0	272	3819	181	0	316	198	225	2718	0	1497	1143	402	1102	262	376	227	1301	0	0	0	0	0	0	0	0	0	0	254	0	209	412	257	249	104	1159	924	158	0	23	2776	144	0	0	29	5075	2214	0	58	76	0	1945	142	249	746	2039	107	623	808	187	0	0	4049	0	0	1504	0	21	210	0	30	0	0
ASV_5	0	0	0	0	0	211	0	209	208	3328	401	258	312	543	78	3351	0	568	653	307	274	466	180	686	264	361	0	0	0	0	0	0	91	23	0	410	1099	0	707	225	584	142	1310	1060	159	142	0	2229	0	0	114	0	2019	1356	0	72	351	0	1544	631	385	1193	1593	640	1119	1507	3201	0	0	1991	0	17	842	23	0	0	0	0	0	0
ASV_6	0	20	0	0	0	0	0	0	173	4141	131	0	368	222	323	3051	139	1264	912	415	968	195	266	352	1235	0	0	24	0	0	0	0	0	0	0	195	0	217	391	0	222	144	1592	1063	0	0	0	2372	141	0	216	0	4360	1735	123	0	0	0	1800	151	224	828	2023	178	503	806	193	0	0	3552	0	0	1566	0	0	0	31	0	0	0
ASV_7	0	0	0	0	855	1739	404	0	0	843	241	270	241	0	0	101	4556	0	0	142	152	0	205	105	0	0	0	0	0	0	0	0	3851	0	0	6650	3827	132	0	1883	135	174	0	0	729	0	38	1265	0	40	0	0	424	0	3529	129	1515	0	319	284	136	1319	0	215	154	318	0	0	0	0	0	0	0	0	0	1379	28	0	0	0
ASV_8	0	82	0	0	0	122	46	163	152	439	155	983	245	1217	182	815	78	1151	673	613	901	1417	1499	1232	1388	641	0	0	0	0	0	87	133	0	85	146	258	197	1805	0	207	553	1390	182	617	159	0	517	143	150	3676	0	338	397	1336	792	254	0	1230	501	914	1524	311	347	1004	1538	513	0	0	174	0	0	344	0	0	0	0	77	0	0
ASV_9	0	0	0	0	655	1538	505	0	0	893	0	271	210	120	0	160	3836	0	0	0	176	0	180	0	220	0	0	0	0	0	0	0	3212	0	0	6422	3944	114	0	1797	122	115	0	0	734	0	0	1126	0	0	0	0	294	0	3893	106	1708	0	0	198	0	1331	0	205	66	278	151	0	0	205	0	0	0	0	0	1073	0	0	0	0
ASV_10	0	0	46	71	0	76	0	183	246	339	324	1167	324	1415	191	884	0	1031	554	473	624	907	976	1518	1278	483	0	0	0	0	0	0	124	0	89	222	253	221	1296	58	218	387	1486	284	557	167	0	470	0	0	3787	0	285	302	1408	672	299	0	1128	393	801	1398	287	335	809	1347	403	0	0	198	0	0	306	0	0	84	0	0	0	0
